,start,end,length,delta_x,delta_y,angle,interval
0,343,467,124,-2.840079436925606,-2.19902697529362,37.75003180367683,42.0
1,509,736,227,-6.21335246437674,-5.519175457689784,41.61393534486063,327.0
2,1063,1489,426,-7.0353745375490035,-5.256760021494344,36.76671012776742,1193.0
3,2682,3340,658,-10.986579158410848,-2.790960386838478,14.253550480684828,874.0
4,4214,4699,485,-7.784799001296548,-4.275892957934957,28.778312270621033,77.0
5,4776,5213,437,-13.017447931397626,-4.518557379399979,19.142678207579745,69.0
6,5282,5831,549,-9.694967185856783,-1.1217034553613985,6.599752029156967,674.0
7,6505,6718,213,0.7546241005498899,-1.2248737965640828,-58.36347740146786,50.0
8,6768,7176,408,-7.530300439386949,-12.345090317602583,58.61750119972087,71.0
9,7247,7635,388,-7.96218755257506,3.4648293297318418,-23.516771384471532,62.0
10,7697,8370,673,-30.376235537542883,4.012508976077001,-7.524846252310925,3173.0
11,11543,31423,19880,-5.048848381582118,-0.04842087827918817,0.5494771684208243,351.0
12,31774,45361,13587,-3.7031524960399906,-2.794135866333434,37.03561136549497,287.0
13,45648,49836,4188,0.8681998621641185,-1.8852164302069383,-65.27248288567672,134.0
14,49970,81051,31081,2.10986917541004,-8.3544902947242,-75.82669910143544,19427.0
15,100478,117107,16629,-3.506343106214132,-1.5510231589197616,23.86209715138298,262.0
16,117369,120448,3079,-0.8384712217722665,-0.34139265360587956,22.154228954017917,41294.0
17,161742,162325,583,-0.4603870915083803,-1.3122522507230912,70.66722449467649,107.0
18,162432,206644,44212,-4.661543738401193,-3.8804905294884406,39.77560527157838,29474.0
19,236118,269232,33114,-4.515119808257381,-3.081001223901481,34.30861854647809,
