,start,end,length,delta_x,delta_y,angle,interval
0,319,518,199,-11.533393021164656,-7.59070242990154,33.35091295697012,32.0
1,550,736,186,-5.139359917449127,-5.220965084731176,45.45129230777403,276.0
2,1012,1143,131,-7.115285149210337,-1.1926361111068218,9.515240489465873,168.0
3,1311,1423,112,-4.442275413441237,-0.17083062398701543,2.2022617330399687,219.0
4,1642,1814,172,-8.188972603049251,-1.4664593971790367,10.152759800117385,129.0
5,1943,2007,64,-6.443418059798347,-1.3628884379710797,11.94296598241219,24.0
6,2031,2068,37,-2.9997609908055978,-0.33550362349132,6.381636724756856,427.0
7,2495,2678,183,-4.814455777055301,-1.5668236486087892,18.02703742290632,756.0
8,3434,3589,155,-6.395676181568135,-2.209732104396025,19.060239118298387,431.0
9,4020,4182,162,-8.740097474744218,-0.28042837611717175,1.837720032740905,52.0
10,4234,4348,114,-8.55076570178447,-3.581692684642647,22.72753834735481,39.0
11,4387,4559,172,-11.71655961893525,-5.801177009692168,26.341222783582772,247.0
12,4806,4954,148,-9.175294617082912,-8.36362787662172,42.350354793982724,892.0
13,5846,6044,198,-5.237642781593223,-8.316792315010503,57.798623014619416,120.0
14,6164,6545,381,-10.068062170439319,-6.413333774616518,32.49704806466347,35.0
15,6580,6921,341,-6.509897211846862,-4.088274559048671,32.12919406229285,69.0
16,6990,7109,119,-2.8966039266563115,-0.06060919943148235,1.1986950047541887,273.0
17,7382,7516,134,-3.8650196175878477,-0.4731350217258665,6.979119484968549,502.0
18,8018,8452,434,-8.775897418799275,-3.916261617078007,24.04891243991143,344.0
19,8796,9024,228,-8.318110223597401,-1.5464328175989976,10.531709868439771,584.0
20,9608,10449,841,-5.285911053614299,0.07520263693859874,-0.8150918518728913,74.0
21,10523,10953,430,-3.948143799854847,0.42284396039833894,-6.11304374391617,136.0
22,11089,13417,2328,-17.273161454889475,-4.879461388831743,15.774350926664363,64.0
23,13481,13742,261,-3.0620289583801394,1.6067564853394458,-27.687608715451937,60.0
24,13802,13858,56,-2.5844075141779257,-0.08987537466742879,1.9917157997666721,23.0
25,13881,13943,62,-2.8822378456930977,-0.18003356409758453,3.5742294382012885,409.0
26,14352,14780,428,-6.825056020259453,-6.9465847450698135,45.50559714729061,1628.0
27,16408,16963,555,-17.23330516559183,-6.511476716425676,20.69870051897278,207.0
28,17170,17420,250,-10.01923544404201,0.3438953746714901,-1.9658207903762688,57.0
29,17477,17925,448,-11.769731008706188,-7.549743938763157,32.678314576098835,142.0
30,18067,18136,69,-4.600403960244108,-1.058542771825941,12.958085701033363,29.0
31,18165,18765,600,-12.733505667727044,-6.0429036666533875,25.387480383567805,570.0
32,19335,21388,2053,-7.70019821950342,-0.18753916807388293,1.3951691490898963,87.0
33,21475,22159,684,-5.296802497064775,0.2629715272542086,-2.842242563568766,53.0
34,22212,24574,2362,-7.8192333844337725,-2.0631371160534826,14.780864790373137,141.0
35,24715,26007,1292,-6.258465800125023,1.0563759130291004,-9.58073558066015,103.0
36,26110,26506,396,-5.041852049226705,-0.32062483620212845,3.6386919170936873,56.0
37,26562,28055,1493,-4.582927789820388,-2.6141130283562006,29.700539269899394,66.0
38,28121,29122,1001,-5.8803808120186005,-0.84722033701631,8.198515859850847,503.0
39,29625,33680,4055,-17.00229437562622,-4.101298650922473,13.561825368813164,209.0
40,33889,35801,1912,-6.979803654263662,-0.4099464308825418,3.3613048447436134,330.0
41,36131,39812,3681,-10.91346093863234,-2.478090928439869,12.793077643977984,61.0
42,39873,39947,74,-0.45999933349958155,-0.027092041157430913,3.370588707596196,34.0
43,39981,43559,3578,-11.699333264099181,-4.025327280839903,18.986530419931828,133.0
44,43692,46122,2430,-3.1056238225797586,-0.14220547649863136,2.6217232942219093,58.0
45,46180,47524,1344,-4.57955742949342,-1.7904128810450146,21.353392235388828,6056.0
46,53580,53957,377,-3.103650187634173,-1.037674666965927,18.486847483771268,59.0
47,54016,54731,715,-3.414460323870699,-1.279568021245197,20.543471713386843,155.0
48,54886,55136,250,-6.135542929172431,-0.2230488674297959,2.0819890764641804,3600.0
49,58736,63336,4600,-6.593013849354307,-4.323093101656582,33.253183515663956,98.0
50,63434,64383,949,-3.892075130319853,-0.6058991522010331,8.848501535064226,65.0
51,64448,67257,2809,-5.506031366938188,-2.501679044578367,24.43479107356411,326.0
52,67583,70343,2760,-4.427287054859306,-3.379384758233897,37.35479289919363,5389.0
53,75732,76660,928,-5.957737743847716,-1.45640714377123,13.736914890129807,9408.0
54,86068,88879,2811,-8.748906435293577,-1.4120714246447932,9.168458423689936,
