,start,end,length,delta_x,delta_y,angle
0,243,442,199,-4.710747644361277,-3.403652037272991,54.15079504368925
1,495,821,326,-7.690212103762846,-4.102434707591883,61.921780965874646
2,850,1006,156,-5.180749545356846,-4.178428885239882,51.11278930767077
3,1208,1600,392,-17.551090111981765,-4.558943451790853,75.43905541096383
4,1632,2072,440,-11.774426568507295,-2.636990362577123,77.37639278829322
5,2447,3425,978,-18.687691856542102,-4.914070511666054,75.26717072224899
6,3476,4272,796,-8.227201423847774,-1.075747879344803,82.55055151090495
7,4339,4998,659,-6.061122932068841,-0.9686612875548803,80.92003154484428
8,5075,5380,305,-6.364005452841084,-2.496399503752045,68.58148203195442
9,5442,6097,655,-10.492455465646813,-1.0346215453144367,84.36848382867309
10,6170,6401,231,-2.4798275076541785,-4.0105671113960994,31.72947189688562
11,6448,7397,949,-13.755932107711587,-1.6645650151147038,83.10035171844109
12,7472,8383,911,-5.295537778899899,-3.0009455234826845,60.460064776508496
13,8444,9403,959,-8.93942498664748,-1.1664498926459714,82.56583211061104
14,9518,10421,903,-8.156310756684846,-1.523105381616631,79.42244417733023
15,10521,10997,476,-5.230088828571539,-2.2590366367152654,66.63899520182322
16,11070,11896,826,-7.471418717919278,-1.6787854372412454,77.33628719233268
17,11989,13181,1192,-6.472698529163182,-2.7411139714868114,67.04789668537218
18,13248,14616,1368,-8.493417259357486,-2.5729190151538006,73.14681477468265
19,14745,15544,799,-6.688446976033632,-0.9947854817028627,81.54030508833856
20,15612,16490,878,-7.48132838598292,-3.022972117906022,67.99789818491446
21,16570,17475,905,-4.6780591756320575,-0.37319882906666635,85.43880750417411
22,17584,18729,1145,-3.2152500184265165,-2.5729909414286,51.33159867984256
23,22904,23975,1071,-2.7374683736283743,-0.8967966323812107,71.86116647516081
24,24320,26124,1804,-6.402816069243556,-0.018481879289197423,89.83461484317434
25,26222,29558,3336,-6.457805881068225,-4.495204700810973,55.15866565166796
26,29725,31122,1397,-3.8283555773709566,0.09390392177387241,-88.59490069257302
27,31218,35855,4637,-5.300826268547283,-3.8891763930336083,53.73278301991887
28,36109,41134,5025,-7.447627002894265,-1.9035162794807974,75.6628760318745
29,41676,42797,1121,-4.62839187600072,-0.880949471657118,79.22345492233761
30,42955,46564,3609,-3.9435975325697967,-2.642046597076998,56.17955681067958
31,46710,49715,3005,-1.9565882709980826,-5.314459635399572,20.21184828507338
32,49813,52152,2339,-3.490399899200142,-1.5079095444048107,66.63486994842569
33,52339,55204,2865,-2.318450084673657,-2.0283065700634495,48.81879562626762
34,58505,67002,8497,-6.465555072642701,-4.927282874156134,52.68962858290731
35,67302,73554,6252,-2.4414478638336448,-3.3648473088599786,35.96368681306313
36,73752,81108,7356,-7.08058955101518,5.399717097212417,-52.67055214545253
37,81447,85148,3701,-4.919657590096648,-2.566528949548143,62.449467208290656
38,85257,88124,2867,0.9587439594048277,-3.709003735962341,-14.49319990351766
39,88331,91608,3277,-2.596424118262007,-0.41826210531320385,80.84875079406692
40,102755,106562,3807,0.12745163009554972,-5.135334535235671,-1.4217071274487707
41,106715,111028,4313,-1.1562013022874567,-6.032962326097021,10.849037628183186
42,111327,113739,2412,-0.2855106366933313,-3.9273389870352133,4.157987654248243
43,125609,129218,3609,-5.274413316574012,-2.1915466505453196,67.43685676727463
44,136084,136891,807,-3.4250168883214513,-0.27841112762422426,85.35278596118708
45,136957,138922,1965,-6.859889111873116,-2.0522505847466164,73.34456665783607
46,139835,140636,801,-6.658268202743386,-3.6784885302011787,61.08069889041698
47,145407,148314,2907,-7.510679164399605,-2.615057680378584,70.80297678611095
48,148502,149816,1314,-4.00646660641759,-0.6297745999548994,81.0668002445161
49,149909,154368,4459,-5.201638763002222,-6.497617793820126,38.6788614336284
50,159189,161863,2674,-9.19560885373599,-6.820348005295671,53.43581305104222
51,164589,166334,1745,-4.648195027240263,6.628448328136301,-35.040033625235665
52,169155,170778,1623,-2.05221580477442,-2.189275985382139,43.14917990643082
53,175115,179234,4119,-11.445679960270283,-4.157438381104072,70.03735355428115
54,187730,190028,2298,-3.5359849221020596,-0.24211879965176308,86.0829115194468
55,190170,193253,3083,-7.103105617048968,-4.587395246003197,57.144432486440024
56,193417,194741,1324,-2.3801559420608385,-1.497472022365102,57.82400282943074
57,194862,196342,1480,-3.258211982171929,-0.7938158710405645,76.3074794942845
58,196643,200126,3483,-5.2818655952104905,-1.4247805489726062,74.90380365252946
59,200303,202683,2380,-2.98658018582384,-2.570971373869881,49.27677343185078
60,202820,209053,6233,-4.80464840030794,-4.223531779634669,48.682875259501174
61,209205,210062,857,1.3756162503432137,-1.9945855307836666,-34.59306778399887
62,210109,210797,688,-5.392453196221425,-2.9081173393171014,61.662283921352014
63,211027,211322,295,-1.8625683582815498,1.985449053965766,-43.17096630307742
64,213199,214325,1126,-2.3130373945164138,-1.393447969839741,58.933890944722535
65,215022,217025,2003,-6.785489534460453,1.1122168402788475,-80.69136310114274
66,217154,219033,1879,-6.3324629774227645,-2.400707346023566,69.23772328171432
67,219173,221281,2108,-4.238779271677032,-3.6713706945543265,49.10289675717532
68,221369,222358,989,-5.9370857848015675,-4.069096486338353,55.574456362659355
69,228981,230693,1712,-6.955501838768768,-5.4104000310613,52.12211518143645
70,234821,236381,1560,-1.5536894773960626,-1.1909087894787689,52.52970032735199
71,236694,238220,1526,-6.185156466646745,-1.0417215552499215,80.4398045000981
72,238323,239225,902,-5.979732048444703,-1.6411731131218232,74.652732274952
73,251115,252914,1799,-8.50823582686914,-3.1538368918324835,69.66124036433376
74,255114,257292,2178,-3.9820169497958062,-0.5901635574857664,81.56972060100341
75,257470,259422,1952,-5.605745188706493,0.2624179429873976,-87.31980822193421
76,261926,263544,1618,-2.0556804674968987,-4.231066225553278,25.912984832582637
77,263688,265171,1483,-3.1145578067646653,-1.7391797063065013,60.82086003084806
