,start,end,length,delta_x,delta_y,angle,interval
0,272,483,211,-8.381625677556428,-4.307095400609526,27.19743084904507,272
1,514,651,137,-16.060700870634278,-2.513258529579801,8.89380144106104,31
2,715,916,201,-20.92458568520378,-3.221850658964925,8.753340547729278,64
3,947,1063,116,-10.721174542074479,0.07473253203994545,-0.3993768885628816,31
4,1112,1311,199,-21.112123049311748,-0.2139767645239914,0.5806874904614258,49
5,1354,1478,124,-10.620767155518891,-2.998874207641819,15.76752910852798,43
6,1509,1684,175,-15.96426927916798,-0.23401523473482655,0.8398207783790507,31
7,1710,1792,82,-8.378154409695838,-1.3884778860502252,9.409873770970572,26
8,1821,1914,93,-9.531496568702806,-1.5044275069066089,8.96942644173587,29
9,1946,2141,195,-18.078797425109656,-2.7043143550950077,8.507501744995466,32
10,2159,2380,221,-13.211922037412847,-1.2489826799510837,5.40037972590775,18
11,2412,2709,297,-13.62721428318784,-6.312200296260627,24.853830566303834,32
12,2725,3058,333,-11.223904889493298,-0.20041261712154324,1.0229574383330764,16
13,3107,3793,686,-11.613733988964796,-2.846730602478516,13.77265695142906,49
14,3834,4735,901,-13.37307096129166,-2.2166599647256646,9.411519270770963,41
15,4776,6156,1380,-12.994898211702989,-1.9422680754431525,8.500722496561059,41
16,6221,6569,348,-5.779479583489874,-0.3533874436964055,3.499005703301973,65
17,6609,7712,1103,-13.09506522631959,0.6239421107375307,-2.7279156354542535,40
18,7800,8443,643,-9.605615732264766,1.8576009062294645,-10.945147717632869,88
19,8574,9467,893,-9.709317563911114,0.17730680901323126,-1.0461912197376988,131
20,9518,11072,1554,-9.50058244381286,-2.498264850371868,14.732911278786771,51
21,11146,11418,272,-4.72979580853459,1.1421702179999755,-13.576104652135884,74
22,11816,13991,2175,-10.030673836871486,-2.83447298822945,15.779258136088806,398
23,14094,18217,4123,-10.0180122441583,-0.27610262147997844,1.5787075245905955,103
24,18523,20099,1576,-9.80843626910864,0.3730064199523042,-2.1778598796423987,306
25,20366,22305,1939,-5.4752573092542605,0.05542000142543202,-0.579922288398381,267
26,22858,23064,206,-5.563425352127354,-2.868653975719184,27.27686734448383,553
27,23137,25487,2350,-17.42856695269178,-4.126073929557194,13.319100587409006,73
28,25661,26427,766,-7.823576205930536,1.2118246428682369,-8.804799381210392,174
29,26600,27212,612,-20.63102792897675,-10.133421697432155,26.159064336640856,173
30,27268,27865,597,-10.632897105133765,0.5263697227166659,-2.8340501559236273,56
31,29686,30005,319,-7.0503470886609705,-4.2189447331631555,30.896404086787868,1821
32,30060,32145,2085,-8.242450858250194,2.8553850379582144,-19.107327196437065,55
33,33541,33693,152,-5.555662446284671,-2.8420002014036214,27.092023484223983,1396
34,33766,35058,1292,-9.810659695279853,-0.2628195610081576,1.5345401178588338,73
35,35478,36421,943,-8.866947159274261,-2.732996443150256,17.13049790201229,420
36,36464,39075,2611,-10.913416327723482,-1.2061186806841846,6.306567983489803,43
37,39134,42244,3110,-4.947690372196448,-1.1565644591372006,13.15712016333884,59
38,42310,44141,1831,-8.192426298710885,-0.9525129174891447,6.6318605091363585,66
39,44212,46726,2514,-5.582654887016687,-3.250226857336699,30.208003912627973,71
40,46881,49439,2558,-3.4403527899586237,-0.11440812566071656,1.9046558187631073,155
41,49510,50163,653,-7.106250462296785,1.3282420108741348,-10.587094585295796,71
42,51901,53867,1966,-5.212857105892127,-0.0932074392329838,1.0243564653828792,1738
43,54348,54575,227,-6.149716136594151,-1.4053691950463332,12.872520512858227,481
44,54646,55400,754,-8.374268273695264,2.8035577453966027,-18.509639879365498,71
45,55533,57255,1722,-8.537714946179292,-1.9476071532816803,12.850313927735083,133
46,57442,59475,2033,-10.084674575723142,3.0636406861090393,-16.898347431808936,187
47,61175,61612,437,-12.319570526025046,-5.546787553924531,24.23927289403527,1700
48,61666,62845,1179,-8.600496638613194,-7.125486816863528,39.64165089062318,54
49,67351,68293,942,-12.53667610992764,-3.70823075312164,16.477721031516918,4506
50,68395,72583,4188,-5.490431481192999,-4.452636037074996,39.04139841295749,102
51,72712,75193,2481,-4.89463029997674,-0.5510838939460143,6.423849588932864,129
52,75304,76159,855,-3.0020981791462447,0.052188551058179655,-0.9959309706832915,111
53,76609,78657,2048,-8.197758144624387,1.1897151854242622,-8.257507932534699,450
54,79102,86841,7739,-4.632256114593062,-1.3347125039998389,16.073512955175193,445
55,87326,92067,4741,-3.1295279306859385,0.6123811157328021,-11.071651533941777,485
56,92761,95709,2948,-11.190470152399882,0.5775365915362158,-2.9543956778968767,694
57,95764,98246,2482,-5.9887834282612005,6.806944972586635,-48.65852374775519,55
58,128605,132648,4043,-4.277415972887599,-3.457745956287539,38.9511255572088,30359
59,134224,134861,637,-1.9020259183118,-0.5353605631479752,15.720243655297342,1576
60,134953,136595,1642,-4.902212337460657,-3.942649328305137,38.80830042055563,92
61,136730,139033,2303,-4.400148953572799,-1.9295768321475748,23.678668843602,135
62,139700,140076,376,-2.1912157241996013,-0.5904914944550228,15.08186743397183,667
63,140146,140518,372,-3.685354670796592,0.31184104519904565,-4.83663503846254,70
64,140578,142452,1874,-2.7891182748666843,0.17856432321106297,-3.663178520826083,60
65,142514,144625,2111,-2.9130737326900125,-1.2339778927422316,22.95751338338703,62
66,144730,147237,2507,-3.4370987809408398,-2.7174788038223596,38.331009536805084,105
67,147400,150085,2685,-2.1997377065331385,-1.2887765685291868,30.365072745897468,163
68,150139,152055,1916,-3.040008777983463,-3.4607027231311775,48.70273659139019,54
69,152407,154102,1695,-4.477835758400062,1.2292381038771936,-15.350473082676062,352
70,154337,155456,1119,-2.4424667938758162,-3.2140866927008886,52.76786779731734,235
71,155542,157932,2390,-2.8225838763581166,-2.397711226713909,40.34703102554976,86
72,157990,158617,627,-2.15567209746121,-0.5966612554170467,15.471377890460735,58
73,158665,160174,1509,-4.600245659313618,-4.251960057803828,42.74688836218508,48
74,160369,162146,1777,-3.5701420215486657,-0.4943718440389091,7.883839842720861,195
75,162325,163204,879,-3.2982102266941027,-1.6693810326353997,26.846140744181817,179
76,163290,166915,3625,-3.310223683411884,-3.4394565347944024,46.09688046186442,86
77,167030,167322,292,-1.3806793753166247,-0.13438315266306233,5.559155327634659,115
78,167370,169871,2501,-4.953357567230643,-3.759215260683007,37.19568619775488,48
79,169990,170749,759,-0.7871816842718289,0.891178589537077,-48.54570794284137,119
80,170796,174231,3435,-4.237591061998373,-3.8394072427285124,42.17768950541086,47
