,start,end,length,delta_x,delta_y,angle,interval
0,305,507,202,-9.757321659457261,-6.724150383734553,34.57223980558033,305
1,541,758,217,-18.105051896268776,-6.491091053069937,19.723962396250666,34
2,785,1024,239,-27.036565669591198,-17.362747710003404,32.70837460595148,27
3,1051,1117,66,-6.502409336416335,-4.945302789216612,37.25421966447854,27
4,1154,1254,100,-11.514802734647702,-4.919733646870213,23.13473991361425,37
5,1278,1388,110,-16.759284951850063,-3.045199793962638,10.298416523127488,24
6,1438,1633,195,-36.687117928085215,-11.441561536986939,17.321062750270297,50
7,1689,1878,189,-30.83164275922293,-10.778493599343363,19.26921461717337,56
8,1924,2102,178,-22.096334515755657,-8.693487847992543,21.476449762069638,46
9,2149,2225,76,-20.5922061515991,-8.289088350301355,21.92652209386901,47
10,2257,2476,219,-28.153955873026447,-13.731377332035592,25.999631010935342,32
11,2531,2622,91,-16.829530820580132,-5.039041527908097,16.66857489719857,55
12,2652,2813,161,-18.68602177929762,-9.36920894747719,26.62927870354729,30
13,2846,3046,200,-23.556234115836148,-7.284594434593032,17.183844035695337,33
14,3092,3264,172,-19.56365519257153,-7.78504028526919,21.699282791590335,46
15,3292,3467,175,-19.08421394281801,-7.042532199890658,20.25526908622509,28
16,3499,3664,165,-16.996501071770908,-4.148669590498329,13.717083402201778,32
17,3697,3891,194,-16.09118302269097,-5.92848022787139,20.225328575020562,33
18,3933,4170,237,-17.705247795870108,-6.232440866890812,19.39262607018912,42
19,4189,4460,271,-15.93578328647034,-3.3865992511230303,11.997743165297326,19
20,4503,4747,244,-15.619343786359593,-5.875726448795476,20.61542988731588,43
21,4902,5263,361,-20.58520364570822,-3.754585546194008,10.33669300300868,155
22,5326,5702,376,-14.118938918945346,-6.394691583777288,24.36652697308744,63
23,5735,6500,765,-14.717725798164338,-2.8296378539678244,10.88292154415387,33
24,6536,7134,598,-11.774250765474022,-1.7242214256754806,8.331178293947437,36
25,7220,7705,485,-12.890881751454899,-4.903649109000611,20.826650560190554,86
26,7768,8296,528,-12.439369064377416,-4.300133856581169,19.06962572611821,63
27,8336,9315,979,-13.693626149333952,-0.7709674584984612,3.2224186539403235,40
28,9399,9805,406,-6.521687568955443,-3.9477522898825157,31.187643478677302,84
29,10826,11807,981,-9.437674826928529,-2.5087531464955646,14.88629033461675,1021
30,11863,14431,2568,-12.008766369026958,-4.245628539809928,19.470747644194347,56
31,14585,16615,2030,-6.988346810546645,-1.5760348510465718,12.708917000338996,154
32,16758,18490,1732,-3.516215862101177,-12.291716144922361,74.03608789864668,143
33,18556,19195,639,-3.412663170575925,1.8083991127251267,-27.919495256190636,66
34,19639,27284,7645,-12.047624066761301,-0.9302796650979275,4.4154383248751365,444
35,27368,32837,5469,-4.299362417702213,-1.728645534307816,21.903589956137218,84
36,215743,217539,1796,-5.008719822839268,-3.3021662603484003,33.39620515862732,182906
