,start,end,length,delta_x,delta_y,angle,interval
0,820,3548,2728,-5.379902977426568,-0.6480090210734346,6.868186081443919,114.0
1,3662,3872,210,-0.7409097831534268,-1.8235530263341815,67.88808765032091,208.0
2,4080,4321,241,-1.4533195488452577,-1.876350948491094,52.2405815303639,241.0
3,4562,6493,1931,-1.4421734425641972,-0.14387058359537264,5.696952837634846,271.0
4,6764,7779,1015,-2.6354675901439464,-1.4221906163644746,28.352853375209577,8103.0
5,15882,17413,1531,7.37754851156204,-3.8858776328084303,-27.77652308965211,6344.0
6,23757,24793,1036,-0.6565941274198366,1.3030268920221744,-63.2565044008047,3536.0
7,28329,29160,831,2.479249046637946,-3.503227870674678,-54.712797363291756,164.0
8,29324,30414,1090,3.967243205094846,-2.669687226756224,-33.9378951341984,207.0
9,30621,31281,660,2.118804925982346,-1.631730976630024,-37.60053507243331,18606.0
10,49887,51669,1782,1.0434365307440032,-3.149486867310685,-71.66977729924982,15219.0
11,66888,68394,1506,6.7148590325725905,-2.315622237124515,-19.026777409922097,2179.0
12,70573,72198,1625,5.070000243982818,-1.435915499870319,-15.81307849898581,6173.0
13,78371,79255,884,2.186581293966995,-5.725162114752422,-69.09690406251737,114.0
14,79369,80069,700,3.980904833546262,-4.071837786009638,-45.64696628302994,6879.0
15,86948,88472,1524,2.8080392416689364,-3.581508769735848,-51.90220285766128,216.0
16,88688,89659,971,1.0678586906877285,-3.368083124441398,-72.40865908171506,
