,start,end,length,delta_x,delta_y,angle,interval
0,631,736,105,-1.9764464567033997,-1.2038700155203657,31.34594249769712,31.0
1,767,1121,354,-7.44184549430193,1.3493111812786083,-10.276883935067088,40.0
2,1161,2284,1123,-13.27493625617555,3.121207230170583,-13.23108393395988,105.0
3,2389,2479,90,-1.9242118103025803,0.857890076770488,-24.029211801170646,323.0
4,2802,3904,1102,-18.433248610115342,-1.4492725460065117,4.495503460797283,56.0
5,3960,4505,545,-7.6429374311518075,-0.39055541573550556,2.9252797563262947,31.0
6,4536,4908,372,-5.7318448281990015,-0.4484264556389661,4.473379350942677,305.0
7,5213,5306,93,-2.609392844605466,1.4892048414379602,-29.713806040070683,46.0
8,5352,7912,2560,-23.38247457048388,2.8175906162598423,-6.8710188266981405,56.0
9,7968,8138,170,-1.3445551443799246,-1.0455717842098622,37.86985018270148,33.0
10,8171,8335,164,-1.9614658496333988,1.5142182064718597,-37.667528728726005,20.0
11,8355,9429,1074,-14.217049209071945,1.6003231262828734,-6.422388698971955,34.0
12,9463,10748,1285,-7.818783551253233,-0.14529134982661418,1.0645675403831132,64.0
13,10812,11053,241,-1.1227270404590115,0.44280490597321176,-21.524336290002214,257.0
14,11310,12079,769,-12.409256428918852,-1.2646626277157296,5.819085280852988,56.0
15,12135,12760,625,-9.377297075960243,0.3046757276002623,-1.8609301117226773,68.0
16,12828,13239,411,-7.393319252595532,-0.8082705407271646,6.239052113694121,40.0
17,13279,13981,702,-6.6958319874314185,-0.22424037738299063,1.9180928136188597,35.0
18,14016,14235,219,-4.529926419302569,0.5970970176288262,-7.508962497688692,65.0
19,14300,14462,162,-2.47466488169421,-0.16413180091007007,3.7945769474209605,718.0
20,15180,16257,1077,-13.569627030260548,1.0113107477667782,-4.2622331064960965,45.0
21,16302,16818,516,-5.462010392005908,-4.17347065539029,37.383104235407856,107.0
22,16925,17964,1039,-11.35035647183878,2.771597433300954,-13.722291225668577,113.0
23,18077,20412,2335,-9.982621395514244,2.136187671394552,-12.078592540015135,247.0
24,20659,21902,1243,-7.091027470994732,-0.7871670059610238,6.334405608716284,122.0
25,22024,24127,2103,-5.747587823843503,-0.8443650131443121,8.357411520312121,67.0
26,24194,25970,1776,-6.147477390374561,-0.7899556294210299,7.322424490966942,54.0
27,26024,27915,1891,-5.531949532933766,-2.1568958882608626,21.30070928425003,56.0
28,27971,28681,710,-2.652569815085215,0.2181310621258632,-4.701075447339039,54.0
29,28735,29246,511,-3.2287400243897793,-4.22638635292337,52.62204845164516,40.0
30,29286,29809,523,-4.177119014036819,-1.6003268226282543,20.96270382501987,74.0
31,29883,32669,2786,-6.649739908105161,1.3705445045698212,-11.645870308300545,93.0
32,32762,33777,1015,-5.398017477997925,-0.5636755415479371,5.961374642572422,62.0
33,33839,34493,654,-3.331546621555219,-2.4299420115335124,36.106022382600436,28.0
34,34521,36756,2235,-5.6168750285229265,2.1455829116516725,-20.906292975246707,59.0
35,36815,40558,3743,-4.056776442550458,0.3604928228410813,-5.078073072646535,58.0
36,40616,41985,1369,-4.492956449598765,-0.13390656639862186,1.7071188522769738,68.0
37,42053,44345,2292,-2.982733502932078,0.9312912024051059,-17.339795606562106,75.0
38,44420,45042,622,-3.2517749115351933,-1.0821404821859915,18.406645993996516,35.0
39,45077,47176,2099,-3.7323373448380437,0.5278395935332298,-8.0495781103761,44.0
40,47220,48452,1232,-3.3274717990831135,-0.7265387512262862,12.316971871190132,39.0
41,48491,49793,1302,-3.4164708141647253,-0.6578834949519035,10.899594357934818,118.0
42,49911,50741,830,-2.678062788247658,-0.515813813803149,10.902067207506965,47.0
43,50788,53466,2678,-5.397395224508003,0.02578002370294996,-0.2736644733197061,55.0
44,53521,54245,724,-4.054921759306822,-0.9992124758148861,13.843010465866573,530.0
45,54775,56145,1370,-3.3906134175593223,-0.49493203077787484,8.304881509378975,502.0
46,56647,59063,2416,-2.8474278540186333,1.0690218954507884,-20.577854514582594,56.0
47,59119,60008,889,-1.9452192441641216,-0.8047303164523925,22.47470651291829,75.0
48,60083,60579,496,-3.196602614222158,-4.494411325099719,54.578061534030105,286.0
49,60865,64156,3291,-9.240817803952837,11.795079748601161,-51.92318843559019,48.0
50,64204,65511,1307,-4.031345171023887,-1.403916521132615,19.200679421041297,89.0
51,65600,68703,3103,-4.5913513179196315,-0.8070883665134829,9.96985222971766,76.0
52,68779,71214,2435,-4.850458938512588,0.8508075666818513,-9.9489060941496,209.0
53,71423,73630,2207,-4.729373264029505,-0.0809145070091688,0.9801737407719154,48.0
54,73678,76104,2426,-5.470800821213388,1.1154909514186926,-11.524575965063185,70.0
55,76174,78149,1975,-2.706040706571244,0.04173941177174356,-0.8836905139337756,57.0
56,78206,79328,1122,-3.3727302372047916,-0.17408514606978542,2.954728018299293,68.0
57,79396,82519,3123,-3.564454768398676,-0.9229281557887248,14.516533870758439,59.0
58,82578,83687,1109,-2.741750590600006,-0.7267404366688339,14.845673980936839,64.0
59,83751,86079,2328,-3.49021168109536,-0.6068338278942349,9.863265293268872,38.0
60,86117,87739,1622,-2.8704621758446365,-0.9485356817762209,18.285984130756226,51.0
61,87790,89185,1395,-2.701220384350961,-0.4524664953346047,9.509021214926095,
