,start,end,length,delta_x,delta_y,angle,interval
0,339,675,336,-8.32358312922122,-7.264820315439877,41.114443849960644,339
1,1422,1662,240,-16.411936390876832,0.37404870835042914,-1.3056169715764105,747
2,1695,1937,242,-11.290555393146263,-5.122599772257594,24.404110453830405,33
3,3748,3940,192,-20.114564703716297,-3.1617377827474797,8.933029702494279,1811
4,4320,4502,182,-15.46898676208545,-2.9628537779977293,10.842832820158511,380
5,4530,4685,155,-12.10755046533842,-1.8179636548651388,8.539239872391096,28
6,4722,5932,1210,-25.42986611643495,-0.007503524015127994,0.01690611515988569,37
7,6030,6202,172,-4.208882329679284,-0.5840589046088951,7.900376886929721,98
8,6237,7487,1250,-15.307934553548364,-0.61456133642384,2.298995430947364,35
9,7729,9282,1553,-21.572174981272923,4.3917054867123255,-11.507133085659234,242
10,9346,10314,968,-6.71689162408552,-0.06899929149032857,0.5885503835704539,64
11,10375,11746,1371,-8.291868786230424,2.542732654428974,-17.048354494567967,61
12,11817,13080,1263,-6.291283811145547,-0.29526693046888397,2.687073821132324,71
13,13605,14954,1349,-11.480412853993982,-0.9431730035916388,4.696585707335064,525
14,15051,17814,2763,-6.954619732389546,3.2637672479243776,-25.140423624727152,97
15,17862,18546,684,-5.493117882920103,-0.23245116469161076,2.4231282939831393,48
16,18999,21255,2256,-12.002941035564248,-0.9699028645947934,4.619772837970268,453
17,21710,24591,2881,-13.136215749240336,5.407139217439408,-22.373083245198483,455
18,24655,26513,1858,-3.375454680059306,1.741570244936426,-27.2915306100221,64
19,26606,30371,3765,-3.9543664556470333,2.8115804308417864,-35.41307600915743,93
20,30688,34005,3317,-2.8630393480508474,0.29527384323228034,-5.8882679487170355,317
21,40448,45347,4899,-1.2454394370018065,0.9886239697613775,-38.44238096446243,6443
22,45425,50024,4599,-2.3238592112215883,-0.04677402695736532,1.153078682341502,78
23,50099,53300,3201,-2.3943741952726327,-0.8197805578265616,18.900065103006877,75
24,53534,55524,1990,-3.642964522561101,-2.437621876185389,33.78772240074743,234
25,55624,58730,3106,-0.5324169224920468,2.2410921679102103,-76.6359691806428,100
26,59247,63846,4599,-1.4897027556432363,-0.17084940500447487,6.54249114700009,517
27,64027,66714,2687,-4.578798902186122,-2.9960312432538956,33.19780256882577,181
28,67117,72718,5601,-0.3897403097052745,3.5710322423349226,-83.77142540569392,403
29,73820,77592,3772,-8.60975186124901,-2.8180274506776755,18.1236062750873,1102
30,77842,85378,7536,-4.039880651638072,1.7216250345825586,-23.081637264772446,250
31,85456,89899,4443,-2.48071458468371,-3.4965061590503552,54.644915408460605,78
32,90634,97096,6462,-2.180908877595982,2.648890294915148,-50.534374356220205,735
33,97220,105565,8345,-2.894517493853556,-1.767196147760032,31.405409467755703,124
34,105741,112855,7114,-2.232481118118301,-2.4576039203457754,47.748072583700264,176
35,123481,127920,4439,-1.5530364614886878,-2.67404677222045,59.85277973967509,10626
36,128098,133010,4912,-3.28571365530874,-3.0174158586428064,42.56263022387103,178
37,133064,135872,2808,-0.9030816651753355,2.1127368275217577,-66.85589070097639,54
38,135979,142390,6411,-4.614556100845846,-2.553868609667404,28.961788759557972,107
39,143883,149885,6002,-6.116002037278747,7.148484755231323,-49.45082141360553,1493
40,150172,154403,4231,-1.7245901817958043,3.2055973368190536,-61.72004217131467,287
41,154945,161502,6557,-1.8894820940297166,3.1372241447383686,-58.94035593647438,542
42,162292,166786,4494,-2.0831026278323463,-1.275636447364917,31.482190459013037,790
43,166979,177285,10306,-2.3434830227464545,4.8966293541023305,-64.42464014137839,193
44,192490,193863,1373,-6.537871126508719,1.6371035211420804,-14.057981419161138,15205
45,194315,194878,563,-6.494826780006747,-4.611133574287123,35.373617278163195,452
46,200630,205173,4543,-3.2272084964170347,-0.2745258981108236,4.862220469537164,5752
47,205264,205945,681,-4.003973500628206,-1.4431488817977254,19.82064227565742,91
48,205996,213174,7178,-5.070779892719429,3.776160329608132,-36.6746959638949,51
49,213562,218200,4638,-4.945676391895034,3.521424400594711,-35.451656438776794,388
50,222952,225478,2526,-2.764743311948962,0.2672370907416166,-5.52099642847785,4752
51,225581,232319,6738,-5.6429405932216525,1.2226815290844968,-12.22555328284025,103
52,232374,234807,2433,-0.8507365243343656,-0.2357710420716046,15.490051079879397,55
53,234944,239299,4355,-1.750165269516799,0.04280530425540974,-1.4010530674891781,137
54,239393,244095,4702,-3.750277955250681,-1.7621671353478945,25.167724192244528,94
55,244241,247482,3241,-2.121649198098339,0.9445641656102879,-23.998762273552227,146
56,247694,251084,3390,-1.6953230262815282,-3.1341970777079524,61.590537751105366,212
57,252488,254687,2199,-5.509272952462624,-0.4155753668199509,4.313764718108708,1404
58,254884,257396,2512,-4.916586198446566,1.357004396568982,-15.429793153819782,197
59,257599,262713,5114,-4.748715076300471,-0.7351362034304714,8.799956040860403,203
60,262908,268375,5467,-7.695605232136074,2.7592164270336923,-19.725012675729076,195
