,start,end,length,delta_x,delta_y,angle,interval
0,5312,5520,208,-3.210998239927889,-0.19355503530285034,3.44954534136205,5312
1,5563,5714,151,-1.8539254524376503,0.18055508673903375,-5.562533224124125,43
2,5761,5858,97,-1.8474298424201976,-0.7390485497037389,21.803457776368102,47
3,5991,6207,216,-6.126563280679733,0.6174198406981759,-5.754697153669665,133
4,6257,7073,816,-12.12747111342182,0.33578931458330885,-1.5860187214556425,50
5,8586,11051,2465,-12.316192409626183,1.6683100052539572,-7.714141296323001,1513
6,11168,13083,1915,-11.782200672169452,1.3288564837039019,-6.434916141798681,117
7,13174,15037,1863,-8.105161092908233,1.1262451843126229,-7.910827028498684,91
8,15158,16753,1595,-6.691881775840528,0.8011245594095726,-6.8267254543108935,121
9,16845,19178,2333,-6.863678083385693,0.41794971336412345,-3.484607260535259,92
10,21312,21652,340,-6.956636886172774,0.47673183179020384,-3.920297074864712,2134
11,21716,22010,294,-2.7673577899468143,-0.03525593985938258,0.7299046360777248,64
12,24695,29212,4517,-14.22189431616411,-10.016306293863309,35.156568394536194,2685
13,29650,29861,211,-3.216859956466905,-1.8690558337558656,30.1573893799461,438
14,30394,32703,2309,-2.317669845303797,-1.858376722878873,38.72367755045178,533
15,32797,35900,3103,-2.4711796404892397,-0.14157043990131513,3.278811541410379,94
16,36029,43027,6998,-1.6763209273824629,0.47797137215818,-15.914503375801335,129
17,53240,58124,4884,-4.472333176123158,-0.7877268793165371,9.989238147612415,10213
18,59284,67542,8258,-4.008214826869519,-1.382228632870678,19.026699474480864,1160
19,67892,69455,1563,-0.8207873003975976,-0.4637504413290827,29.46674547299351,350
20,73233,74396,1163,-0.38661228379049817,-0.2087445037106903,28.36604807726387,3778
21,80651,81247,596,-3.4229872994296073,1.9916206677396247,-30.192428557325453,6255
22,81336,82470,1134,-0.3265709927297564,-0.01726219987430966,3.0257787805001737,89
23,82910,86204,3294,-0.6229125898787657,-0.4302075016262705,34.630457235644684,440
24,86562,87223,661,0.3682651365850944,-0.15602216733478258,-22.96082078524321,358
