,start,end,length,delta_x,delta_y,angle,interval
0,318,427,109,-10.608391264953696,-0.4714490967777323,2.5446159365375465,318
1,508,724,216,-9.910055020515713,-1.4748605006549411,8.464893726948421,81
2,747,915,168,-6.728595156259999,-1.7728620143895597,14.76091511003249,23
3,939,1073,134,-6.21197063119503,-1.9980023768232371,17.829735287433802,24
4,1182,1441,259,-7.336065228176835,-0.5410500224055994,4.218045772541203,109
5,1498,2299,801,-4.0097136864403495,0.041465632738379554,-0.5924914471503481,57
6,2387,3297,910,-4.815847975346188,0.7948217845590619,-9.371781036377689,88
7,3879,4293,414,-2.7590302666393143,-3.1841656673011016,49.091577026318895,582
8,13798,14565,767,-1.0500220221722003,-1.465895164424225,54.38594081599169,9505
9,14634,15745,1111,-2.5479490876405606,-1.3784465145674005,28.413493443545587,69
10,16389,17427,1038,-1.3255733007023167,-4.159281635604927,72.32279153085155,644
11,17488,18129,641,2.118106722671044,-6.063898665607056,-70.74580184356304,61
12,18216,19473,1257,26.053242914688113,-5.136968526681244,-11.15404449028198,87
13,19556,20415,859,-1.0241380571259242,-3.017673909950105,71.25381714221422,83
14,20482,21075,593,-0.31540746905666595,-4.4823060408164395,85.97488934969124,67
15,21229,21682,453,-3.592211244149553,0.44522803292800006,-7.065356615104038,154
16,21768,21924,156,0.6673546947341435,-1.575648964393011,-67.0452654964429,86
17,22007,22763,756,-3.2086511027503093,-4.761132890292288,56.02294663347753,83
0,337,2764,2427,-7.3655347961503,-3.5501550184198862,25.73385996297722,337
1,2795,3312,517,-3.4854864961885,-3.2382041831218373,42.89373861187432,31
2,3433,3928,495,-5.733263068116102,-1.3890668408512568,13.619300856288195,121
3,4012,4657,645,-8.9512211759085,0.7648828558216962,-4.8840664941602,84
4,4741,5290,549,-5.888747857058803,0.5845207660523357,-5.668646186282729,84
5,5677,6050,373,-5.917583635770413,1.0261590221786463,-9.837742395527817,387
6,6118,7356,1238,-4.283435283986535,1.50875679364529,-19.40382125673888,68
7,14404,19004,4600,-3.3066498040442696,-2.0709070001018404,32.05831925510015,7048
8,29827,30493,666,-3.883864923912327,-1.7417640416704074,24.15439975241696,10823
9,30544,35369,4825,2.2328525532225,-4.634895065667777,-64.2776396611217,51
10,48881,49663,782,-1.1376874269502082,-3.0800710637692106,69.72725676001505,13512
11,49721,53655,3934,3.1443083080051366,-3.455244608397294,-47.69748167840607,58
12,54059,59299,5240,-0.4321776035264122,-3.827678336176106,83.5580987942096,404
13,59380,60367,987,-2.125575963497539,-2.865355836117317,53.431266534204376,81
14,60482,61181,699,-2.8415716823126047,-3.138102344841073,47.83895894186552,115
15,61281,61869,588,-3.4599891840155976,1.1090565793269036,-17.77260756405472,100
16,62944,63921,977,-1.3784415401427026,-0.9804332518560415,35.42280121777509,1075
17,70689,77861,7172,-2.0058459857605158,-1.7610396772671209,41.281630961372834,6768
18,78218,80156,1938,0.2413505014366848,-1.1054685475611876,-77.68419895518228,357
19,80902,81364,462,0.6322474040816388,-1.492664013487385,-67.04395116530569,746
20,81399,85026,3627,4.501519628294702,-5.355451965890197,-49.951304340735334,35
21,85122,85574,452,0.9791732502816757,-2.9276609674594027,-71.50718829532708,96
22,85645,86390,745,2.0375410097686455,-2.483184638858674,-50.62990808964603,71
23,86468,87251,783,-0.784198294410217,-3.309227624703084,76.66835615819221,78
24,88670,88879,209,0.6542903974313248,-3.9779845541653174,-80.65974072184997,1419
25,88926,91847,2921,1.862042657072081,-2.3206162182305548,-51.256739707164854,47
26,91926,92150,224,1.5855025034392867,-1.6333487502654407,-45.85160385373268,79
27,92234,93812,1578,-0.2704380984266379,-2.0685859841790375,82.55163812795178,84
28,93948,94451,503,-2.0076080838047545,1.103377356251599,-28.793106442140687,136
29,94516,97284,2768,0.04768236145048377,-2.242946785290343,-88.78214381435696,65
