,start,end,length,delta_x,delta_y,angle,interval
0,274,424,150,0.03049457163393754,-5.279445631455168,-89.66905790036199,274
1,464,740,276,-3.136855225271759,-6.916601786445433,65.60449662152323,40
2,771,866,95,-2.064179167123001,-3.3587293848747706,58.426303713011066,31
3,911,1188,277,-11.710975128955184,-4.2698226814381,20.03186053171566,45
4,1230,1338,108,-3.1570828831783757,-1.3109135452229168,22.549660364615516,42
5,1374,3936,2562,-25.44284226905856,-0.3115438083890396,0.701543212701605,36
6,3994,7433,3439,-9.11430496524872,0.8115819953126078,-5.088474079345405,58
7,7496,10193,2697,-10.739526029245582,-0.3354429490716342,1.7890192500324655,63
8,10285,11017,732,-5.015355429419074,0.0776036144709451,-0.8864785055635694,92
9,11075,13240,2165,-9.512644492460367,1.0599668257620607,-6.3580777618608115,58
10,13315,13485,170,-0.9769633612871189,-1.2631364578301572,52.28011149435835,75
11,13549,15884,2335,-11.583085078973085,-1.9076436214849082,9.35221532395814,64
12,15946,19211,3265,-9.00683451218839,0.7596675244022109,-4.821113325321241,62
13,19286,21148,1862,-4.837217946648778,-1.3914728177132787,16.048396197658445,75
14,21264,22102,838,-0.3756337033130137,-3.7308829224491618,84.25070622095802,116
15,22162,24225,2063,-7.519116947241386,4.608934213706803,-31.506721529689752,60
16,24302,36851,12549,-8.33221361619843,0.05263067955982592,-0.3619057127716566,77
17,36943,44363,7420,-2.3615304490225384,1.3934874921961296,-30.543925725877894,92
18,68913,71845,2932,-4.754239119566378,0.15773198738894934,-1.9002122639797336,24550
19,72072,73356,1284,-2.721910505812545,-1.195970934014845,23.720041893712455,227
20,73627,74653,1026,-1.7384464956119245,-1.0033459374956948,29.99143145544347,271
21,88702,96559,7857,-6.592699072056448,-0.16320322461056946,1.4180757306041487,14049
22,96690,102326,5636,-4.876209630604208,-0.4873090449597015,5.706964344304337,131
23,102451,112109,9658,-6.213989412505768,-1.6655927626328548,15.00481158905704,125
24,112182,116791,4609,-3.5794321687979505,-1.8807174272936038,27.718486953384584,73
25,116910,125627,8717,-6.411170409479524,-0.5568951336664298,4.964437029800557,119
26,125703,137595,11892,-6.063642172865684,-0.9441040483819592,8.849848434009118,76
27,137737,156235,18498,-1.370525091245753,-1.6936975112611492,51.02052104039029,142
28,156370,175512,19142,-9.759951963650693,-0.7341155853738996,4.3015242305723405,135
29,177125,179087,1962,-3.302461179278069,-3.0055059996821214,42.30472181319841,1613
30,179179,181059,1880,-0.25345241666133234,0.29672876784772484,-49.49753184637427,92
31,181146,182050,904,-0.7512035743201579,0.432805354303909,-29.948361922821036,87
32,182128,185524,3396,-4.034504399562707,-1.447462741676162,19.736508899670145,78
33,185614,188664,3050,-0.42164603015818614,-1.106538903706408,69.14068578774939,90
34,188807,195393,6586,-2.397452916034169,0.5870404555978865,-13.758736286306409,143
35,195506,197455,1949,-0.9887913929128018,-0.5811472802984667,30.444243100390608,113
36,197534,202593,5059,-5.954287215736599,-1.072385246590244,10.209692265194162,79
37,202688,207936,5248,-5.377974471145819,-2.1437704034327254,21.733235253018684,95
38,208183,209916,1733,-2.111657978941466,-1.1366297566906098,28.29198692692223,247
39,223132,236954,13822,-3.3949696912601013,1.134762500552256,-18.482111948278288,13216
40,247852,264438,16586,-6.14875689048948,1.6119651791932768,-14.690139281419109,10898
