,start,end,length,delta_x,delta_y,angle,interval
0,1665,3554,1889,0.36904894165292035,-2.895681889472044,-82.73692181015109,28.0
1,3582,5519,1937,-0.9369007387197428,-2.2155943211502347,67.07812360915071,47.0
2,5566,9312,3746,0.668653965731437,-2.3998304279555214,-74.43080696939644,137.0
3,9449,12131,2682,-0.9225340656531529,-2.192066939220709,67.17614832506509,1216.0
4,13347,15397,2050,-1.4197153786880392,-1.622497591135513,48.81347509693752,28.0
5,15425,17916,2491,-0.7881736969629998,-2.5178843822615846,72.61830721735731,26.0
6,17942,21106,3164,-0.08692494687559815,-0.8892434976486214,84.41698517404241,888.0
7,21994,22330,336,-12.964296516582593,-2.981103389341925,12.949890019942494,450.0
8,22780,23381,601,-2.626852210681548,-2.7781728137434953,46.60364989388703,5352.0
9,28733,31361,2628,0.6441155669528342,0.17675520794193744,15.345104553855988,37.0
10,31398,34312,2914,3.2025857258310992,-2.2483985206081343,-35.07105223293874,59.0
11,34371,37081,2710,4.4684672727766355,-1.0703583331113293,-13.470587925314232,6554.0
12,43635,45016,1381,-0.6048419453948384,-2.31817661724223,75.37680685784957,10708.0
13,55724,56620,896,-1.0971273980390208,-3.1895385136125896,71.01796920068679,7647.0
14,64267,65951,1684,0.5649239171920897,-0.737955403955425,-52.56501109076253,6444.0
15,72395,72718,323,-1.2610045141718444,-1.9208806235672569,56.71621864762385,33.0
16,72751,73417,666,-3.638285255521282,-1.042457151480363,15.988294667027548,
