,start,end,length,delta_x,delta_y,angle,interval
0,109,249,140,-0.7950897736814397,-0.1292976169909963,9.23659300873372,109
1,268,373,105,-3.2370109797493,-3.747787224713832,49.18241489775758,19
2,400,676,276,-45.60808105918855,-8.014153574626732,9.96614778835347,27
3,699,975,276,-8.318275356578866,1.7188176986326766,-11.674805345710302,23
4,1007,1251,244,-19.64822397104156,-1.667642954276289,4.851352085688899,32
5,1353,1425,72,-7.00684237284392,-1.5528849055770593,12.496144610957183,102
6,1453,1743,290,-24.122128188970706,-0.8248000011102761,1.9583328080662155,28
7,1770,2219,449,-5.5563759021975585,-5.353773909987098,43.9361369737021,27
8,2336,2890,554,-5.7850864839760305,-0.18328839524168927,1.8146901948398502,117
9,3288,3708,420,-11.218582437173566,1.3658582556109167,-6.941576196928458,398
10,3747,4069,322,-2.111022162127952,-3.2476683615135613,56.97566454715141,39
11,4103,4815,712,-30.33441100342239,-1.4368229501026377,2.7118511651099517,34
12,4850,5353,503,-5.319208069447697,-0.05921406401238016,0.6377971636805713,35
13,5525,6391,866,-26.14830868778536,-3.6403430570427844,7.925721482448413,172
14,6435,6669,234,-3.624652333462052,-0.30021308797351764,4.734735743406417,44
15,6827,7764,937,-10.07075081759234,-3.4609547741003013,18.966002320044772,158
16,7798,13596,5798,-15.24291951838346,-10.54995311313563,34.68794332425528,34
17,13692,13918,226,-1.6615065259957902,-0.20490677969210935,7.030553510333434,96
18,13945,14655,710,-21.20073839448426,-1.5107544820893395,4.075980006859719,27
19,14736,15834,1098,-16.135904541105944,-10.367769059565774,32.72187680378564,81
20,15867,16308,441,-14.639647671883523,-0.032315101137200486,0.12647270918300246,33
21,16380,17004,624,-39.45627826481494,0.35660181848764694,-0.5178193123641489,72
22,17612,26321,8709,-7.807702968066849,-5.784592290248327,36.53410806351939,608
23,26497,33034,6537,-8.050480565212638,-5.58345766377667,34.74346778104478,176
24,33108,33783,675,-5.625766236783605,0.5544256984487248,-5.628389981402853,74
25,37192,38121,929,0.6973044236887915,-3.127475911285657,-77.43087449641044,3409
26,38170,48152,9982,-6.0637452447852525,-5.111748330768421,40.1309499667302,49
27,48198,49387,1189,-4.180165788642796,0.7020835571012327,-9.534179019624414,46
28,50230,50431,201,-3.313167284644109,-3.9550073506151904,50.04660102998722,843
29,50456,54049,3593,-13.17472373007611,-4.716150506155017,19.695823159471725,25
30,71311,76352,5041,2.3106563902421016,-3.4002921747336927,-55.802072369972755,17262
31,87402,88368,966,0.4822474025537389,-1.7453926013788532,-74.55466360988834,11050
32,88415,88670,255,-2.022777578440099,-0.7587947115929126,20.562330717055264,47
33,90721,91368,647,-2.0207088744849386,-4.945099735246558,67.77367398182868,2051
34,91459,95055,3596,1.0868819902522375,0.39221488524508175,19.842609084892807,91
35,103823,104070,247,-5.428078251370877,1.956432755393621,-19.820595261786238,8768
36,104486,104703,217,-0.3228677266646969,-0.7316023201468909,66.18737030943389,416
37,106147,114476,8329,-0.2737864271283428,-3.6813496620180786,85.74667386726887,1444
38,155977,160821,4844,0.03578363232246318,-1.0441974844918605,-88.03729742572189,41501
39,160932,164338,3406,1.4230198899730908,-1.7124519570406989,-50.27396655947922,111
40,174411,181673,7262,-0.2593646938678944,-2.5343036608976064,84.15660239505907,10073
41,182745,187544,4799,-6.6950194280592825,-1.9234339740101944,16.02900184959833,1072
42,187933,191252,3319,-0.42637001615555903,-2.4887533942004865,80.27853656206315,389
43,191313,193147,1834,1.486651618773692,-1.0632353429516002,-35.571893689119456,61
44,201601,206522,4921,1.3798014592422874,-4.044909945139082,-71.16444209719612,8454
45,227392,228965,1573,-0.7132900243655342,0.7448590696117208,-46.24026448082393,20870
46,256150,258625,2475,-2.839288498647875,-2.1042296512847685,36.54257340802309,27185
47,259292,264484,5192,4.147298693832113,-5.592072845807635,-53.43793089269754,667
48,268317,270389,2072,1.150095510299522,-1.9567620225639644,-59.55492902610842,3833
