,start,end,length,delta_x,delta_y,angle,interval
0,4609,5182,573,-1.1889828323948706,0.06257736064355868,-3.012754674070111,4609
1,5212,6720,1508,-4.271487894732019,-2.7543701140738364,32.8150097431084,30
2,6878,7260,382,-0.33518110595755957,-2.217618058047293,81.40510471293554,158
3,9031,9169,138,-1.1935626374367843,-0.667889702327102,29.230354668935533,1771
4,9346,9889,543,-2.9439615290375087,-0.009553796886123678,0.18593664112239844,177
5,10377,10787,410,0.37510591538642757,-0.751092350063999,-63.46182267774548,488
6,10848,11114,266,0.992580444538774,-3.259539090434828,-73.06369045241756,61
7,12661,12993,332,-3.0292332001866527,1.5007162729134222,-26.354333557211497,1547
8,13043,13277,234,-0.777893968931096,-1.0350357795645095,53.072853394426645,50
9,15711,15903,192,-6.559746669365481,-1.7868831638906215,15.237730518130748,2434
10,15937,16117,180,-3.707901432492207,-1.8764978252041544,26.843097289784943,34
11,16142,16832,690,-8.376721913042559,0.7121783429638526,-4.859528942238681,25
12,16952,17142,190,-5.547633184304274,-5.660562690376167,45.57727088395138,120
13,17380,17684,304,-1.8063256467548285,-1.1561451963129628,32.62142086355387,238
14,18961,19102,141,-2.2317512993435145,0.4737834709595461,-11.985509078816865,1277
15,23960,25500,1540,0.021789989497065676,1.62968228223248,89.23396108769191,4858
16,25551,25980,429,-1.7218533773029918,-3.0613295659605626,60.644300974905505,51
17,27564,27851,287,2.6963088385022758,-3.152825472775035,-49.46280712311077,1584
18,27899,28944,1045,-4.267469871042451,-0.7876561071494734,10.457513792997672,48
19,29485,29758,273,0.25784526530696894,-1.7910114027936999,-81.80762893166259,541
20,32631,32700,69,0.4709770684208934,-0.9150804917180153,-62.76585534955281,2873
21,32746,32904,158,-0.053710358734036845,-0.932682431370992,86.70414952885889,46
22,33710,33992,282,2.35209176247524,0.8604651163627182,20.094022494898862,806
23,34761,35254,493,4.565976741015078,5.1770115430746415,48.5886241533398,769
24,35854,36679,825,-7.4242502812432605,-3.6437525914942768,26.141372454476198,600
25,38600,39412,812,1.259564373252715,-1.229443244326518,-44.30665968707351,1921
26,39443,39549,106,-0.5605879460821797,-1.5315147913584752,69.89560810546132,31
27,39577,40319,742,-3.6866245372504807,-1.3479727584080194,20.08437025761498,28
28,41112,42122,1010,0.4462538961060005,-1.9645288558610474,-77.20211080282105,793
29,42543,43045,502,-0.8613267091050574,-3.272569400035877,75.25440295716336,421
30,43085,44943,1858,-3.1795543792630383,-0.5437705388624465,9.704891028075751,40
31,47701,51847,4146,-4.985438709171561,-0.6705798199774193,7.6607432791600285,2758
32,51943,54167,2224,-1.573034335686657,-1.2624579647997223,38.749212115418224,96
33,72544,72672,128,-0.02204961300842001,-1.4522822907020867,89.13016036004092,18377
34,72702,73220,518,-0.08916857315318794,0.7917939988904124,-83.57465724313803,30
35,75117,76191,1074,1.8711925438052361,-1.8592663076411924,-44.816826643348904,1897
36,77186,80138,2952,2.43552296375519,-2.0061608897785987,-39.47857251268441,995
37,84450,85017,567,-1.6687207713471963,-0.9632615285491255,29.995496964071833,4312
38,85301,85428,127,-2.831842787932999,0.09292688327541043,-1.8794858085888286,284
39,85453,85847,394,-1.706547681507061,-2.8609648620733736,59.18418734283264,25
40,85997,87700,1703,3.3632288078824644,-1.5708425963330228,-25.03557790501613,150
41,88675,90337,1662,-3.6651219236402994,0.35863648406302673,-5.588667732387242,975
42,107880,115166,7286,0.2663902393319404,-1.0074220943038057,-75.18841966307721,17543
43,115243,119558,4315,-1.1567141343408593,-0.504054881491669,23.545859718984346,77
44,126151,127121,970,0.2652032408197158,0.23783500703562765,41.88584344952371,6593
45,129298,132648,3350,1.2328337991917948,-7.375390816473839,-80.51045408730015,2177
46,132857,134133,1276,1.9110944966479053,-1.1472238731270323,-30.976258025053994,209
47,134698,134795,97,1.26301386958923,-0.2404150255400026,-10.77733534549328,565
48,134833,135129,296,1.3421264110164515,1.1558851929074763,40.73615674153313,38
49,135666,136072,406,1.9335008872255912,2.4250536423764117,51.434563327990915,537
50,136105,137760,1655,2.1806527412739882,-0.7845734388768193,-19.788139981700844,33
51,143320,145263,1943,2.353921769978342,-0.61050165687206,-14.539601310611433,5560
52,149114,154784,5670,-3.886946061021874,0.13487513498787962,-1.9873382739770111,3851
53,154837,162464,7627,-4.574561499707016,-0.5469517223861544,6.818131618017712,53
54,162524,166567,4043,-1.9096552684181205,-0.9196716085733385,25.715018809106745,60
55,169426,170518,1092,-0.8814252250575407,-2.8433103262705686,72.7765817535795,2859
56,183324,184132,808,1.5359369299933832,0.6756767593329442,23.74525990285449,12806
57,185477,186848,1371,3.2997230516529186,2.3187988681054605,35.09668348049121,1345
58,187559,189252,1693,2.708980999002378,-2.1280203120024908,-38.151148357038146,711
59,189320,191932,2612,-1.9103627251281239,-2.0618531085873144,47.1840593496999,68
60,193195,198428,5233,0.7628112088423791,2.2372938658673576,71.17305557138558,1263
61,199711,199857,146,0.4328916306449173,-0.360263192471848,-39.76807007647221,1283
62,199896,200803,907,1.19872511650604,-0.7887714458214248,-33.34526060244319,39
63,201205,201616,411,0.3119471539129961,-0.7549953023282683,-67.55068185071187,402
64,204118,206220,2102,-5.740067957152036,1.3174332680190304,-12.926384313426347,2502
65,215020,224910,9890,-3.4967674116414003,0.8664571655654072,-13.916900956097464,8800
66,224974,231512,6538,-2.8005101885170944,1.6211903792892883,-30.06616747111958,64
67,233242,233454,212,1.8882994605933163,-1.1165363281741634,-30.595484446621636,1730
68,233534,235105,1571,3.780442029626059,-0.13223476706174608,-2.003312391062242,80
69,235321,237400,2079,4.5010700237391745,-0.21020219192502054,-2.6737985201929777,216
70,237606,238571,965,0.8110136003244293,-2.396631702303196,-71.3043216316584,206
71,238619,239199,580,-0.3974243175767356,-0.4967614562931004,51.3391261073314,48
72,239251,239861,610,-6.28771246872212,0.5003804436581447,-4.55004807146477,52
73,239915,240524,609,-1.830243344854722,0.0037346905906474603,-0.11691435034564074,54
74,242271,243750,1479,-2.4544929753658664,-2.7384594228243486,48.129990346211514,1747
75,245989,248401,2412,-0.43459361602771196,0.9078874214729069,-64.42018257802555,2239
76,249198,250018,820,-6.644847465538817,-1.7564717720363916,14.806668121976168,797
77,250076,250611,535,4.219293193087964,-3.429113608619886,-39.10152964398075,58
78,252556,253935,1379,-6.152158319624149,4.893540737114577,-38.49938991545177,1945
79,266052,270327,4275,-0.7926097797613352,-0.27339801848557954,19.031052189467648,12117
