,start,end,length,delta_x,delta_y,angle,interval
0,637,731,94,-13.424149346057732,-3.480571900088293,14.535402448010219,637
1,933,1005,72,-16.001616038246098,0.029164163199780546,-0.10442580362963177,202
2,1036,1158,122,-10.347575788343306,4.6977581163043425,-24.41785906252113,31
3,1284,1442,158,-6.859881926997858,1.4171465525949998,-11.672233003827742,126
4,1470,1702,232,-7.786990819609159,-1.325792980471988,9.66237960970259,28
5,1740,1880,140,-3.8424110294605924,-0.6328558835932085,9.352807719329553,38
6,2427,2618,191,-9.215659024152956,-5.09117775388097,28.918393209035017,547
7,2649,2761,112,7.852937969571698,-4.528790764947161,-29.972056744493045,31
8,2830,3023,193,-8.337330602872271,-6.283589732752461,37.0042098013501,69
9,3200,3293,93,-5.680453304200256,-7.825353328556702,54.02396192522814,177
10,3319,3516,197,-9.332413893134913,-6.461252993828879,34.69661052838975,26
11,3685,3795,110,-7.266604300880672,-0.7570104350001543,5.947428464301603,169
12,3834,3964,130,-4.618185645283077,-1.6216401145407247,19.348329498296263,39
13,3982,4096,114,-10.592028934599028,-5.8598891660159325,28.952937297972827,18
14,4358,4442,84,-6.741025668579155,-3.648160637050836,28.421709895297624,262
15,4530,4633,103,-3.818667236353079,-4.290948706623766,48.332982176595095,88
16,4648,4784,136,-7.189283660842278,-2.9699728893716895,22.446063117154566,15
17,4813,4975,162,-10.849080723012264,-7.403527292825743,34.310040459129105,29
18,5007,5054,47,-6.254027661028047,-2.8770149014414415,24.70365650748427,32
19,5077,5176,99,-18.2012887815102,-7.348847014087454,21.98660058129973,23
20,5339,5513,174,-20.378638021262603,-5.6503127973169,15.496909584784895,163
21,5755,6492,737,-32.57352011917604,-10.625958278615798,18.06708290901955,242
22,6543,8864,2321,-16.757913480685502,-10.08427344788987,31.03792533786714,51
23,8929,9037,108,-2.1049336730070394,-2.6869224997871584,51.924869691961554,65
24,9073,9172,99,-4.151893705803786,-1.5134544623948898,20.027884770911445,36
25,9188,9306,118,-5.795416109960186,-7.178354214242717,51.08446400018063,16
26,9355,9484,129,-9.711935019090802,-1.8650102236690742,10.870338660361298,49
27,9506,9630,124,-16.469671696595555,-6.576104459097309,21.7661196413767,22
28,9692,9829,137,-17.06501471789079,-5.750487554607076,18.622542860726277,62
29,9857,9948,91,-1.212074390417257,-10.493064802843776,83.41085549649988,28
30,9970,10077,107,-8.16872932485768,-5.264926114267496,32.802672580593715,22
31,10645,10737,92,0.7227125341853622,2.757388837377931,75.31312121942311,568
32,10858,11503,645,-1.7359842090919244,-11.778717407408294,81.61592681565413,121
33,12201,12354,153,-4.060467924850286,-4.5276750691369045,48.113902108546085,698
34,13815,13960,145,-3.6533914351558963,1.043153378284444,-15.935641088753446,1461
35,14114,14182,68,-0.5085148321838062,-7.949559912077973,86.33990919362526,154
