,start,end,length,delta_x,delta_y,angle,interval
0,97,212,115,-4.818794208114895,-2.307050549537337,25.583279905614333,97
1,239,383,144,-8.406151947762169,-8.04120817617293,43.72889587113088,27
2,409,543,134,-2.8211620496661283,-3.362884636218425,50.00633148300489,26
3,655,779,124,-6.391682384907142,-6.598418595349443,45.91177985767854,112
4,800,876,76,-1.7951462695426699,-0.5512687701578471,17.071119883011008,21
5,1043,1723,680,-30.115918261464557,-3.1766880275200577,6.021408380636316,167
6,1764,3779,2015,-35.162853007252366,-13.22819448041676,20.61619863383086,41
7,3851,3961,110,-1.6055282876921808,-0.07038325835242176,2.5101291363918024,72
8,3980,4133,153,-1.3755209056044748,-4.5619692381471,73.22093725882475,19
9,4160,4270,110,-2.30463588280395,-5.866106405077787,68.55146762563301,27
10,4284,4427,143,-2.0807485599850537,-6.156362725364033,71.32559904687665,14
11,4448,4545,97,-2.151095749877072,-4.416012935513862,64.02870118788542,21
12,4884,4948,64,-3.659295120113171,-6.414126782102301,60.29500058602579,339
13,5072,5186,114,-2.7373269354060596,-4.409494976318612,58.16881076747812,124
14,5420,5566,146,-4.5076526684557905,-1.3475282420008483,16.643632296183032,234
15,5958,6108,150,-3.9942498538864157,-6.583022319930848,58.75271092579622,392
16,6523,6687,164,-1.6386863987439995,-4.246736524386932,68.89991598747575,415
17,6724,9591,2867,-30.88063287785897,-17.325099668010154,29.293927537296863,37
18,9654,12815,3161,-15.8950033782166,-9.894753771155834,31.90256040605462,63
19,12885,15803,2918,-11.76398850367471,-10.22643133328188,41.00042206328498,70
20,15850,16005,155,0.33386903827249625,-1.8385376141563654,-79.70753822433088,47
21,16049,16174,125,-2.009503959627807,-4.2005575067565815,64.43402206589845,44
22,16201,16298,97,-3.230862608152364,-4.318635626821219,53.199060992292196,27
23,16327,16398,71,-2.504142930001109,-3.3985638200538943,53.616325521319,29
24,16409,16524,115,-2.366641182796272,-7.354655456838586,72.16243846483904,11
25,16547,16703,156,2.6082870236654543,-2.569818140983429,-44.57434930312212,23
26,16728,16915,187,-0.8494696920774771,-4.788737995034424,79.94099346700375,25
27,17075,17290,215,-0.05344666850771773,-4.059301088635777,89.24566039032005,160
28,18205,18404,199,-0.9001821011933799,-4.8009111897898435,79.38021498639839,915
29,18564,18785,221,-0.7709062480962388,-4.841104632945999,80.95208502156959,160
30,18913,19172,259,-2.5031426634374014,-4.682425789316042,61.87182194475832,128
31,19208,19417,209,-0.8248211777376468,-4.912508737516163,80.46881230540511,36
32,19724,19936,212,-1.013152925722551,-5.005713471613035,78.55794600271088,307
33,19955,20211,256,-2.3374704653137997,-4.793776618273483,64.00589594697504,19
34,20250,20439,189,-2.479387018112675,-4.545517118671768,61.389403899495065,39
35,20465,20694,229,1.3759291148032418,-5.736190978435474,-76.51141375260978,26
36,20722,20954,232,-4.242227959928769,-2.7969296166321556,33.39713510609684,28
37,21014,21201,187,-2.7902780516712085,-4.405026386166881,57.64858336448801,60
38,21406,21479,73,-1.533511295620741,-4.806800942209122,72.30578308765388,205
39,21858,22169,311,-2.715192136370746,-6.8745739776774855,68.44788764844209,379
40,22205,22538,333,-1.7366390615983818,-9.880785146762946,80.03155260626528,36
41,22608,23021,413,-4.525894790380676,-6.265234663647348,54.15631881613727,70
42,23089,24504,1415,-15.725642129483589,-9.891029584523338,32.16885038131155,68
43,24570,27314,2744,-12.09772531675695,-10.49044495490007,40.929930225730935,66
44,27372,28996,1624,-8.054881594014859,-5.796973980160175,35.741982863938595,58
45,29063,29342,279,-4.89933550888145,-2.480236212575363,26.850325612590083,67
46,29370,36009,6639,-17.824008008722373,-13.998222334256297,38.14459286600973,28
47,36145,36281,136,1.1758829820326469,-2.154232425325276,-61.37217889642703,136
48,36314,36406,92,-0.5516889584940827,-2.2553680664263993,76.25470032243318,33
49,36422,36517,95,0.7628920423361478,-3.218470378904513,-76.66497186804409,16
50,36539,36627,88,-3.157774478730232,-4.747166712477906,56.368490648355625,22
51,36651,36836,185,-3.4854235779043563,-4.14760845788625,49.95814066498593,24
52,43489,47318,3829,-3.704183823388007,-7.780107741975954,64.54043335440934,6653
53,47370,47539,169,-2.1227098120741914,-3.048948781635815,55.15396342539982,52
54,47571,47680,109,-2.2924391100636115,-1.8570244830104627,39.009718184554394,32
55,47746,47842,96,-2.71367347883654,-2.1152179168059178,37.935225743349996,66
56,47868,48130,262,-4.884408134022664,-6.655585118513429,53.725758421578,26
57,48162,48380,218,-4.218338769207946,-6.392531854325924,56.579760765468826,32
58,52193,57275,5082,-2.7778606106250265,-9.001708653671187,72.85016163230145,3813
59,57350,60848,3498,-2.34060862024171,-6.3010993395601105,69.62196433173166,75
60,60888,64740,3852,-3.7688592327929484,-4.706307167309305,51.311894088605364,40
61,64816,65122,306,-0.6948687231804911,-5.391608083078623,82.65621973271011,76
62,65203,66433,1230,-1.6019583592299114,-4.581061972951332,70.72570288523053,81
