,start,end,length,delta_x,delta_y,angle,interval
0,712,2413,1701,-9.586498637638385,-4.402301380489746,24.665481667273585,712
1,4087,4335,248,-4.406198510628627,-1.8325019458318366,22.582026784011898,1674
2,4354,5570,1216,-12.11493257265171,-5.146071884164641,23.014377153581947,19
3,5600,6118,518,0.9751869197212812,-4.167198563794713,-76.82894396462551,30
4,6153,6321,168,-2.959469606762795,-2.282892978768757,37.64608606970812,35
5,6362,10903,4541,-19.208692515345078,-13.647236276139623,35.392723973730426,41
6,10975,11153,178,-2.3513291651884174,-2.735162535071751,49.31543617562777,72
7,11203,11573,370,-2.8965537835907043,-4.952206599160164,59.676564579660166,50
8,11928,12563,635,-5.232064429253597,-1.103484157286644,11.90959628316822,355
9,12613,13050,437,-3.928174570589235,-2.7527535986267537,35.021684303952625,50
10,13097,14214,1117,-12.188205048063892,-7.785914218302338,32.57073686664623,47
11,14289,15829,1540,-2.001432306617815,-3.495973986730533,60.20902070759033,75
12,15888,16080,192,-2.215145699579608,-3.67681230547619,58.93256525718501,59
13,16101,20844,4743,-10.358803909595508,-10.691407966417202,45.90522713841856,21
14,20905,21101,196,0.19769484058092246,-3.2696812621586417,-86.53993579486779,61
15,21143,25057,3914,-5.438592537610248,-11.086320422486153,63.868915080107456,42
16,25142,27117,1975,-4.5760221497409646,-6.103061132771401,53.137755949289364,85
17,27195,30191,2996,-5.160873481501554,-9.276071177087616,60.91000554604877,78
18,30266,30438,172,-0.5561972757612921,-2.4239768240266812,77.07681385214823,75
19,30475,32583,2108,-6.8309691478159635,-6.322700398459332,42.78714425795912,37
20,32636,36880,4244,-3.657464636092385,-13.563356403066578,74.90870169760554,53
21,36925,41367,4442,-5.331734644124268,-5.091240187578009,43.67822065641767,45
22,41429,42213,784,0.04583976810782531,-2.4742356598874977,-88.93861168946417,62
23,42269,46687,4418,-2.5929694837244455,-9.03483496132884,73.98668588313893,56
24,46759,49816,3057,-1.8922771916808188,-6.23975070021902,73.12946079620347,72
25,49910,51193,1283,0.13304405477298076,-4.25723020536104,-88.21001395193261,94
26,51284,51898,614,0.3332350477551955,-3.1111228739847547,-83.88630891333538,91
27,51958,56521,4563,-1.0073769924407259,-8.83498046630885,83.49514657184454,60
28,56586,57714,1128,-0.25894348298551506,-3.4066650918431947,85.65325799675189,65
29,57758,60753,2995,-1.6368362910852028,-6.760629585056321,76.38984951842001,44
30,60808,65269,4461,-4.083720108318644,-4.911838536135718,50.25974359956426,55
31,65327,67371,2044,0.2266238787918411,-4.216792083911216,-86.9237012669153,58
32,67431,71181,3750,0.10019636072235016,-4.598646386015588,-88.75182392233549,60
33,71238,72459,1221,0.1327792147804132,-3.7886301655597947,-87.99279005969898,57
34,72495,74884,2389,-0.12985256777584198,-6.2142963914653535,88.80293422528581,36
35,74929,75159,230,-0.732236923465905,-2.5171178624931088,73.78013255181287,45
36,75178,75244,66,0.8759290071323846,-1.7692286524129344,-63.66040691518472,19
37,75256,75411,155,1.3148799153409954,-3.4249998467961404,-68.99787635339548,12
38,75443,77948,2505,-0.06422080555330467,-3.1588700069040243,88.83531950261002,32
39,81303,87609,6306,-3.0722315048179922,-8.518067857720908,70.16702817377491,3355
40,87688,88795,1107,1.2578409876352907,-3.8101423443418696,-71.73041103358655,79
41,88850,92179,3329,-0.9796722127207005,-6.186972524044577,81.0022401767381,55
42,92235,96485,4250,-1.9903079707198827,-5.486548266664428,70.06118246654782,56
43,96548,97795,1247,-0.7736993299157575,-3.0463585546359297,75.74959685344484,63
44,97859,102599,4740,-1.3395908925121063,-6.035727712897881,77.48640803815154,64
45,102651,104320,1669,-0.45778391265235996,-3.590692754600539,82.73445339049343,52
46,104384,108979,4595,-0.2281542528802163,-5.658754270755978,87.69115275476933,64
47,109079,109815,736,0.7676348735461147,-2.7529130051490114,-74.41915976580964,100
48,109872,114970,5098,-1.662780456217675,-7.095096310848518,76.8104054171408,57
49,115033,117703,2670,-0.9349247014509672,-4.8566601513096685,79.10364739065902,63
50,117761,121354,3593,-0.6019930632738806,-4.50538384796036,82.38942332865027,58
51,121401,126846,5445,0.05105926665369509,-7.72155675922798,-89.62113367332404,47
52,126930,130442,3512,-1.0339371948685283,-3.685325721247409,74.32826126165905,84
53,130491,136580,6089,-0.10304226673194705,-8.06740203094563,89.26821968851631,49
54,136642,137629,987,0.04373063893180529,-2.4960408546410235,-88.99628055939993,62
55,137679,143279,5600,-0.5108934666310603,-4.909873886406274,84.05950632082552,50
56,143341,144159,818,-1.061352692014495,-0.6671181747267241,32.15160624139548,62
