,start,end,length,delta_x,delta_y,angle,interval
0,152,285,133,0.8492886121089356,-0.664995448762923,-38.06104713770281,152
1,311,510,199,-3.5788735015562168,-3.34474814158672,43.06325559817718,26
2,747,865,118,-1.3386135114824782,-3.681119816707451,70.01655685328335,237
3,1145,1271,126,-3.018008564084397,-1.8998644261254185,32.1907960911571,280
4,1294,1658,364,-13.23292233916942,-0.30487567790339654,1.3198142819005492,23
5,1682,1923,241,-8.198658143736381,-2.846074284195879,19.143883932400332,24
6,1956,2174,218,-9.342071190530575,-1.2421766210988352,7.5739560184887535,33
7,2497,2613,116,-3.4639291647416286,-1.3307193566207047,21.01501361744163,323
8,2740,3074,334,-5.414004106275343,-0.8621726202352278,9.048295054342033,127
9,3301,3507,206,-10.159956270253915,-2.3819296204283376,13.194298508496518,227
10,3535,3795,260,-12.997553031348957,-7.365192795629099,29.538491110362113,28
11,3828,3952,124,-11.99783890041212,-6.041721670039038,26.72833960776446,33
12,4534,4809,275,-8.146572167136583,-4.154631045159519,27.020907577499184,582
13,5271,5502,231,-0.12032783161964744,-6.823122706236475,88.98967633673604,462
14,5522,5641,119,-0.42501516231658343,-1.9825711620406423,77.90031130839638,20
15,5663,5871,208,-0.9278038589867492,-4.845066743288925,79.15940798402806,22
16,5904,6160,256,-6.961903081716514,-3.424642874825622,26.193121261011136,33
17,6190,6769,579,-5.1955365840220225,-0.6028213696214237,6.6182517864602115,30
18,7026,17867,10841,-8.704110712159661,-4.4988067538305785,27.33263431339299,257
19,17932,23740,5808,-1.930011966200908,-3.5561093518655014,61.50992933615793,65
20,23846,32368,8522,-2.054059075460927,2.327520356943978,-48.571287787219745,106
21,32486,42832,10346,-4.437029139132861,-1.9767405905356128,24.013447423254785,118
22,43043,50259,7216,1.9225558157017275,-3.7056001919394816,-62.57861389102957,211
23,54375,63107,8732,-0.8149674022300815,-1.9257178057817441,67.06182711813963,4116
24,63235,77168,13933,-2.066787558187002,-3.466985992349379,59.19940113442718,128
25,77309,80025,2716,-0.9639444553772165,0.10314447462474163,-6.1075533182623065,141
26,80134,86861,6727,0.7751741727658015,-2.1711958963572044,-70.35209576969478,109
27,87021,92365,5344,0.17566917999013754,-1.2475309886633852,-81.98468172176491,160
28,92612,109730,17118,-2.7604627032370956,-2.095774020763102,37.2061728244449,247
29,110168,115574,5406,1.5549482457823558,0.7869138835656457,26.842639338906796,438
30,115693,128230,12537,3.041572052624602,-3.802661011772642,-51.34530724150395,119
31,146756,156222,9466,-0.07318326119766994,-1.3225482205952375,86.83276566032559,18526
32,216040,226376,10336,-2.3754497117483737,-3.7831096683219556,57.87490643486031,59818
33,237407,251411,14004,-28.256803800643837,-5.067588968256359,10.167368118981447,11031
