,start,end,length,delta_x,delta_y,angle,interval
0,641,703,62,-0.4525416184513631,-0.02178663683471882,2.7562532009397858,409.0
1,1112,1188,76,-1.6933883400367478,-0.3780646326158035,12.58541716961084,429.0
2,1617,1798,181,-2.9302030959277516,-5.000867745595542,59.63230202311079,29.0
3,1827,1928,101,-3.0861189685697923,-1.3287810738828085,23.29511780129571,24.0
4,1952,2051,99,-3.9364103963143435,1.3505655726270192,-18.936875319843306,152.0
5,2203,2469,266,-9.59526181307578,-4.946887979035452,27.273608042928526,273.0
6,2742,2875,133,-6.807348256021868,-4.414422365327042,32.96256164163198,28.0
7,2903,2993,90,-7.16607443247878,5.770392247135206,-38.842322872852456,149.0
8,3142,3290,148,-6.32181978995672,5.3870868115078565,-40.43570389877877,44.0
9,3334,3441,107,-3.6622791229570026,-0.3102573365995198,4.842364701654355,23.0
10,3464,3526,62,-2.088827648139187,0.39484510781313986,-10.704158639293103,28.0
11,3554,3636,82,-5.960494336858858,-10.162703849367404,59.60808952315086,150.0
12,3786,3915,129,-7.473752171035471,-1.3944516729916216,10.568717447329368,37.0
13,3952,4053,101,-7.245690827926595,-3.485921353084791,25.69233249683195,41.0
14,4094,4178,84,-6.0232877241237475,-0.6500077984970289,6.159282637034736,31.0
15,4209,4321,112,-7.389504168893666,-4.775191101749783,32.871055881408694,35.0
16,4356,4454,98,-8.356676962744572,0.07425068687217617,-0.5090706575152711,223.0
17,4677,4822,145,-12.698111244478298,-3.2104116631819153,14.188530851386318,65.0
18,4887,5036,149,-11.975823737548922,-3.909480440454402,18.079153873896715,40.0
19,5076,5259,183,-13.177586395896142,5.368829149018083,-22.167027632244157,289.0
20,5548,5722,174,-17.44653366134426,-9.578194407207889,28.766905768535104,25.0
21,5747,5906,159,-19.56603200060931,-13.834465454166462,35.26281137173066,33.0
22,5939,6079,140,-21.926073288669855,-7.7010647241944525,19.352735249872516,40.0
23,6119,6230,111,-12.017599871448368,-9.015298285755279,36.87629990211294,19.0
24,6249,6426,177,-21.881272754372958,-8.679815075925703,21.63712846220677,23.0
25,6449,6535,86,-12.809900172979908,-7.487298388522049,30.30599163402865,26.0
26,6561,6728,167,-21.964006391295626,-5.950602007833808,15.158969822275054,33.0
27,6761,6901,140,-15.761071933970427,-8.30947464419829,27.798873842782736,20.0
28,6921,7052,131,-13.374183430412714,-4.6243653185403275,19.07375034037021,29.0
29,7081,7125,44,-6.033825537515725,-8.93121518608308,55.95749523890537,20.0
30,7145,7309,164,-20.433093068449452,-13.814678295915513,34.062364124961654,21.0
31,7330,7485,155,-19.99679030188736,-8.615370875060734,23.308198791188545,17.0
32,7502,7626,124,-15.929190732046763,-9.385981163121315,30.50793231429384,19.0
33,7645,7796,151,-22.95377723946477,-12.27670787207343,28.139866258193724,27.0
34,7823,7984,161,-21.76046627811253,-5.544517281438871,14.294669359630452,19.0
35,8003,8171,168,-19.84564575474397,-9.95496187897669,26.63923313422899,30.0
36,8201,8368,167,-23.462794970196384,-9.715849845782628,22.494250997327605,19.0
37,8387,8503,116,-12.618735517024064,-10.619494469877395,40.08281350800628,22.0
38,8525,8630,105,-15.989044785028284,-6.7374822791812505,22.849641147610146,115.0
39,8745,8961,216,-29.95106155420318,-19.093474178261943,32.51706506549336,21.0
40,8982,9084,102,-12.495663894748446,-10.517261340255516,40.086409409322265,20.0
41,9104,9146,42,-4.10110419589175,-5.172125565882922,51.58824518821367,15.0
42,9161,9327,166,-17.857373268231612,-2.7046589245596806,8.61250006072653,20.0
43,9347,9493,146,-17.355672130588147,-4.4919108752608,14.510609504419651,28.0
44,9521,9668,147,-15.96896089778194,-9.367693315406058,30.39668904621113,37.0
45,9705,9860,155,-18.35489797818849,-9.923697082700642,28.398166120008508,405.0
46,10265,10422,157,-20.29925685822947,-9.398297789652716,24.84353660672909,26.0
47,10448,10575,127,-15.515386587598286,-7.692692135011484,26.372698656952675,31.0
48,10606,10726,120,-18.74507490132953,-4.18882317907196,12.59651392207063,26.0
49,10752,11004,252,-28.389807749788076,-10.69641571901552,20.64488246445524,177.0
50,11181,11477,296,-26.721328016547297,-8.915976921682443,18.452059575447798,166.0
51,11643,11809,166,-14.721726450855371,-12.192440153741344,39.63133798137794,103.0
52,11912,12093,181,-17.66016284641178,-8.965206375103492,26.914691024976275,36.0
53,12129,12303,174,-19.532419314135055,-7.336875447926644,20.587460559998128,154.0
54,12457,12503,46,-3.39962715097856,-1.484907165141351,23.5949981589151,138.0
55,12641,12944,303,-29.82379244432576,-14.03421245979169,25.20031615284294,115.0
56,13059,13256,197,-14.171570757178145,-7.541838808321003,28.021053750911697,91.0
57,13347,13913,566,-20.56160893554801,-8.97685034831025,23.585266901306795,571.0
58,14484,14666,182,-4.108196297710393,-10.577455992594082,68.77424237412819,804.0
59,15470,15551,81,-0.9763690099848077,0.05701426795199893,-3.3419449797715464,451.0
60,16002,16050,48,-1.9286007941939687,-1.0624544126564643,28.8501007313064,13.0
61,16063,16205,142,-6.139621426575189,-4.911562434183367,38.65904171862815,34.0
62,16239,16319,80,-4.766120699695037,-2.8062340517430613,30.489060591009295,255.0
63,16574,16793,219,-5.357988465165022,-3.6071217503602497,33.94935173270127,784.0
64,17577,18715,1138,-6.316815228543348,-8.515569781867981,53.43212545275606,99.0
65,18814,21199,2385,-7.75054215913346,-10.022610232378767,52.28501250140743,627.0
66,21826,23278,1452,-3.099790076792175,-9.14911945757352,71.28323548677416,72.0
67,23350,25702,2352,-1.3321551953843311,-4.884030783992756,74.74327839018443,101.0
68,25803,27906,2103,-6.295800143173551,-5.129499618522274,39.17140664927227,75.0
69,27981,28458,477,-2.0857841484592257,0.25581891423944114,-6.992336641689695,707.0
70,29165,32257,3092,-2.0779473803022768,-6.818382321451608,73.05105105813293,73.0
71,32330,34858,2528,-6.944668876941151,-5.123357408458759,36.41766622944699,877.0
72,35735,38599,2864,-7.8597964882761175,-5.448251773589504,34.72891628356992,319.0
73,38918,40694,1776,-9.168950316067736,-2.774739766314042,16.837048173566554,2248.0
74,42942,43088,146,-6.3868925411099156,-11.320496770291044,60.56881450392958,282.0
75,43370,43490,120,-7.477901158057989,1.2636851628508055,-9.591752758779629,1209.0
76,44699,45591,892,-1.6244053045652578,-1.6857599806207304,46.06186887909065,602.0
77,46193,46272,79,-4.603826822300107,-1.2169802868446737,14.806942121484278,1454.0
78,47726,47987,261,-2.531683432884961,-4.234553880338225,59.126355108102615,36.0
79,48023,48305,282,-3.7141437045757044,-1.9374139626708455,27.547959360961087,518.0
80,48823,53265,4442,-5.612411172439963,-9.3833329715319,59.11527804733769,752.0
81,54017,55206,1189,-4.833383181248394,-2.965979568317181,31.53513540789896,12519.0
82,67725,69808,2083,0.9308640510054289,-0.6379352758840184,-34.42343321039321,
