,start,end,length,delta_x,delta_y,angle,interval
0,268,360,92,-4.079884829521205,-1.879078460442571,24.729447733371636,268
1,459,1451,992,-19.34725169104418,-6.157774446956324,17.65504725845534,99
2,1476,3052,1576,-9.410156629984854,-4.836337423614836,27.200837228572034,25
3,3893,4059,166,-4.685003722174713,-0.12862606647297525,1.5726518755191898,841
4,4086,4656,570,-16.204343896121898,-2.514491809682468,8.820464672576149,27
5,4679,5574,895,-13.723861330869397,-1.9128828076449764,7.934975848265345,23
6,5698,6724,1026,-7.735972779960051,-1.2167528547826834,8.938540566145347,124
7,7576,14466,6890,-19.30475085640822,-6.6801133495882965,19.087394804033007,852
8,14568,17164,2596,-5.807897216968058,-1.9998593224916448,19.00035221066131,102
9,17248,21631,4383,-6.69562714628421,-3.7704168430082916,29.384570938707157,84
10,21715,23935,2220,-5.833485667937211,-0.44636106609684134,4.375577381064497,84
11,29434,31319,1885,-7.3251249499116255,-0.9593442831551613,7.461348424317143,5499
12,31546,32698,1152,-4.937934367508433,-3.127764769998919,32.35080842311775,227
13,34088,34901,813,-5.9226192439428615,-5.2630593230923495,41.62548014367838,1390
14,65107,67790,2683,-0.8066076789118171,-4.266271798192818,79.29368191746573,30206
15,73636,77710,4074,-1.8433640818869463,-5.467216225648443,71.36759906425056,5846
16,77789,81096,3307,-1.9873147932846251,-5.270674355534766,69.34098193343995,79
17,81205,87056,5851,-6.326626503320782,-3.320906659661375,27.69540993867953,109
18,96432,101326,4894,-0.5773125503088181,-5.492160173200148,83.9993473131463,9376
19,101390,103460,2070,-2.7599646264397535,-1.9648841074265704,35.447963280019714,64
20,103527,106776,3249,-3.3794023777953726,-5.437490954133466,58.139035490374255,67
21,108940,111246,2306,-4.578244301271042,-1.467758248687602,17.77554541709205,2164
22,111309,113102,1793,-3.104705642306385,-2.859194540948394,42.64268155589613,63
23,128404,130335,1931,-2.37401072227658,-2.4254999505870245,45.6146464722911,15302
24,130414,131577,1163,-6.079365092585107,-10.006079584516215,58.7185098069915,79
25,143392,145338,1946,-0.02200525268953868,-4.592867594007274,89.72548774091466,11815
26,145406,151403,5997,-3.2856602003877953,-8.062556211686683,67.82807719972202,68
27,151473,152179,706,-3.618660218126095,2.447686467678693,-34.074688789706386,70
28,152257,154262,2005,-1.3167662479229847,-4.231720627355543,72.71565075679678,78
29,174109,177068,2959,-1.1452092774570133,-5.93062474511764,79.07064994553446,19847
30,177149,180416,3267,-1.93613637993775,-6.846452412589343,74.2094097105957,81
31,180508,182625,2117,-0.5616265635413384,-4.207723749767325,82.39737314806415,92
32,182695,184158,1463,-1.7195586273639378,-3.881039204888083,66.10347027962881,70
33,189928,190691,763,-2.8880447889166874,-1.5880614317179749,28.80526135673392,5770
34,190754,198975,8221,-3.6503495901145158,-7.715712582051481,64.6808899597191,63
35,199120,201094,1974,-5.937479940470411,-1.0183770183666212,9.732484214218228,145
36,226054,229296,3242,-1.4333071278248184,-2.2775871633404847,57.81740490892866,24960
37,229383,232309,2926,-2.6278867782646245,-2.382444301097138,42.195477723214054,87
38,232442,236126,3684,-2.7999493926196806,-4.308809538416696,56.98339454316154,133
39,236197,240788,4591,-3.3733050651179184,-2.9038549664510356,40.722981408723435,71
40,240906,243216,2310,-1.8966399702132577,-1.598356226918284,40.121858810085065,118
41,243281,246691,3410,-1.137424731146524,-4.535300536464149,75.92096475426412,65
42,246783,247910,1127,-1.5258026263292663,-1.443158499814686,43.40552401575064,92
43,248069,251622,3553,-2.367841690607918,-5.958482863496883,68.32762038756296,159
44,265275,270246,4971,-4.680753333885292,-3.3404062404281376,35.51344362848205,13653
