,start,end,length,delta_x,delta_y,angle,interval
0,1122,1260,138,-14.507804244831732,-9.894709212869486,34.295030242778495,138.0
1,1398,1490,92,-15.687561954966739,-6.6496274196896366,22.97106586147268,94.0
2,1584,1708,124,-14.99094806843334,-15.51080380810808,45.97642445025288,50.0
3,1758,1870,112,-15.126775322783189,-2.1447771401745115,8.069994033725315,28.0
4,1898,2010,112,-12.66208228686456,-10.321574283330648,39.18540968897002,57.0
5,2067,2204,137,-18.46875379930792,-8.383843051868368,24.415550576941847,32.0
6,2236,2332,96,-12.743996312214065,-1.1014353693845322,4.939672307602187,207.0
7,2539,2703,164,-21.33888370065452,-9.285593260212053,23.5162170653228,27.0
8,2730,2852,122,-17.144581471306253,-7.534439149924765,23.723795919240363,720.0
9,3572,3667,95,-13.962860452004321,-2.5383026341926467,10.303260523140363,21.0
10,3688,3799,111,-14.468464391442751,-10.034187519356664,34.74213031677153,259.0
11,4058,4185,127,-17.64874619758902,-8.848723689724523,26.62825865652647,21.0
12,4206,4335,129,-18.12882883184146,-7.163806812965461,21.562000951344423,20.0
13,4355,4421,66,-10.634817828492913,-7.221276789477201,34.177372966188514,230.0
14,4651,4744,93,-12.539642019423681,-6.063066152951919,25.80431960093843,30.0
15,4774,4854,80,-11.116285387163359,-0.4225020023317967,2.1766205450384803,22.0
16,4876,4989,113,-14.364495546028849,-5.881845950977237,22.26768212709608,304.0
17,5293,5371,78,-9.997011217208595,-2.7550053767107983,15.407296386107793,335.0
18,5706,5816,110,-12.068902564860664,-3.705400322897802,17.067558834779632,31.0
19,5847,5968,121,-15.236858627404729,-7.229043764194458,25.381743858851,308.0
20,6276,6434,158,-20.973501167831245,-5.34551474920778,14.298554111169622,18.0
21,6452,6566,114,-13.786908569912242,-8.151474347800303,30.593593367963443,17.0
22,6583,6709,126,-14.124592390819885,-8.548384358873435,31.182863660706342,64.0
23,6773,6924,151,-19.274420789156764,-3.3708249477788854,9.919903698514952,96.0
24,7020,7182,162,-18.288524008088558,-11.071658294996439,31.190221658509373,34.0
25,7216,7299,83,-11.544772108492523,-6.12927342119346,27.964428391945372,22.0
26,7321,7430,109,-12.525925404685722,-6.349612397558857,26.881253730853395,61.0
27,7491,7567,76,-9.226633130927823,-3.3925352025459006,20.18794010411541,23.0
28,7590,7705,115,-13.739073322438443,-2.575414916616481,10.61699098199222,21.0
