,start,end,length,delta_x,delta_y,angle,interval
0,4801,6906,2105,0.009885310801891478,-3.517910325271515,-89.83899956365613,4801
1,6978,7879,901,2.6898576437841086,-4.915601985451559,-61.312160368570645,72
2,7938,8683,745,4.441350205125175,-4.57483931708056,-45.84823016793818,59
3,8729,8851,122,2.3946745975739248,-4.794974146861804,-63.46184044666626,46
4,8880,10306,1426,2.487450358004949,-2.4571487642095775,-44.64888322374067,29
5,10373,12630,2257,5.972249172939797,-8.407565550498262,-54.612212263999496,67
6,13594,14508,914,3.580939975061753,-7.511093877832096,-64.51036661261261,964
7,14560,14902,342,2.8185721514098105,-6.1636246722417525,-65.42579246025815,52
8,14968,15463,495,1.6208962299775038,-4.972851007161196,-71.94666863042303,66
9,15512,16637,1125,3.869623558467282,-5.787159855656242,-56.23106530833718,49
10,16699,19672,2973,4.121377687664307,-9.013378930791077,-65.42769770975274,62
11,19850,19958,108,1.5567660054491341,-3.012437273503309,-62.67100354080763,178
12,21905,25382,3477,1.6785354339795049,-6.336519196184554,-75.16319852250412,1947
13,25776,25929,153,-1.7684042789136782,-3.895970659882508,65.58641912951008,394
14,26119,27901,1782,-0.5354089414105232,-4.31785692516992,82.93147437255996,190
15,27948,28873,925,3.7836100124572596,-7.20372458191666,-62.290211549092895,47
16,28929,31835,2906,5.01466483518594,-11.203313140872083,-65.88644703269767,56
17,32035,32491,456,-1.14222091948875,-2.2769186480937833,63.35927423900056,200
18,32536,37690,5154,3.7870905980255714,-13.050385609929236,-73.81780305091137,45
19,37745,38118,373,2.9655130992665875,-4.316076401528932,-55.50761056875727,55
20,39246,41021,1775,3.3776623983468426,-10.238665018976363,-71.74264649422622,1128
21,41092,43610,2518,6.067040882032117,-8.888790491414838,-55.68452261584065,71
22,43682,43854,172,3.458753577873395,-6.051127798790134,-60.248222102378556,72
23,45283,46487,1204,0.43617478595088244,-5.592337419328743,-85.5402399106994,1429
24,47385,47558,173,1.0143450326375927,-3.9152270141535723,-75.47533358102004,898
25,47722,49670,1948,-2.7167474372888023,1.9440266359841587,-35.5864240626385,164
26,49727,51744,2017,6.6992806147120945,-8.664323764245836,-52.288699001388075,57
27,51819,53082,1263,-3.576031104208198,-9.479147599847252,69.33089669215015,75
28,53187,54175,988,3.228889599816199,-4.234523630699897,-52.673920540580674,105
29,54242,54990,748,2.5533864461167184,-7.167951693311039,-70.39295143441696,67
30,55074,56721,1647,5.5462126718817615,-7.74207240115048,-54.3832055393281,84
31,56811,59054,2243,2.1507372291184197,-10.052719023354314,-77.92386366999415,90
32,59120,60157,1037,1.9517100194350974,-7.392550371166493,-75.21076650251588,66
33,60236,61839,1603,4.054806577075482,-8.068076878723886,-63.31708172387873,79
34,61911,63389,1478,1.865867638966165,-9.234829078068117,-78.57734968539711,72
35,63460,65959,2499,-0.7521571645057179,-6.486706853894859,83.38588401160341,71
36,66009,68361,2352,7.538024170663974,-9.36616670560808,-51.17239445009003,50
37,68433,74373,5940,2.308285317724412,-11.606235085020046,-78.75160688756162,72
38,76113,77610,1497,2.317932558171279,-8.584153817988636,-74.88911206764467,1740
39,77678,82334,4656,3.931259786928152,-10.17420649553442,-68.87373066116707,68
40,82416,84727,2311,6.014876800792834,-6.362575147224476,-46.60908805551394,82
41,84792,86311,1519,2.9848469835019102,-9.64032128524694,-72.7963713861588,65
42,86500,87184,684,2.2801731542242294,-5.417733077840481,-67.17512834630621,189
43,87259,87418,159,3.1603378677594662,-7.730346807995346,-67.76416324052617,75
44,87449,87847,398,3.4332308734719845,-4.922987683324365,-55.108556763008586,31
45,87882,88810,928,4.831391554225419,-5.762257888601923,-50.021694938791974,35
46,88869,90921,2052,5.543989737503466,-7.016961386796538,-51.688297053198085,59
47,90978,94287,3309,4.78068988476943,-9.136763775245711,-62.379785965159535,57
48,94360,95405,1045,4.894625200219778,-3.6683557395570006,-36.85031548746495,73
49,95450,95775,325,5.127368815651948,-4.210919569354729,-39.39500423236047,45
50,97231,99147,1916,6.678005496605536,-7.237779123987082,-47.30352688622915,1456
51,99191,99275,84,2.677515658030515,-5.461926300973133,-63.88523479975871,44
52,99293,100365,1072,0.667869528394661,-3.281719724760876,-78.4967123266116,18
53,100423,102420,1997,4.452966928464605,-7.808755963787661,-60.30591764389106,58
54,102464,103272,808,0.40913266034884543,-6.7332854489920635,-86.52282841428035,44
55,104650,105360,710,0.05274032375245952,-3.978091445856336,-89.24043452058216,1378
56,105403,105548,145,0.4797541077283398,-5.422493283159241,-84.94393151454416,43
57,105733,107018,1285,-0.9854390303754883,-3.2585373226022796,73.17375958954686,185
58,108462,109332,870,4.246208359382521,-8.081326388382237,-62.28101102784866,1444
59,109446,109578,132,0.2985333859085557,-4.776266173420538,-86.42346547413428,114
60,109604,111962,2358,2.296191988149232,-6.704718112445207,-71.09499852999902,26
61,112054,112112,58,-0.13930186361403685,-4.515100808194248,88.23284612706901,92
62,112136,112357,221,-1.5606302183130936,-1.5890883364949673,45.517660759155596,24
63,114090,115501,1411,1.4987140283384264,-5.598582255547186,-75.01357458782219,1733
64,115546,115679,133,2.7239824351459703,-5.579310646476642,-63.977018181407736,45
65,115704,116352,648,-1.820328542573094,-1.569505854434496,40.768247412464596,25
66,116410,118424,2014,2.139345616817522,-10.747479778243587,-78.74210808604185,58
67,118494,120915,2421,0.4161638744458571,-9.256180002945555,-87.42567817544855,70
68,120976,124137,3161,7.363232093957265,-10.356665995567795,-54.588486516588176,61
69,125482,125979,497,2.297117344011241,-5.200967741422261,-66.17033612389227,1345
70,126031,126689,658,0.2232812245591873,-4.991900710114564,-87.43894134387662,52
71,126750,127524,774,1.5654967269918103,-2.5064333653857176,-58.01145476208957,61
72,127604,128539,935,2.063412596917985,-6.945263469459434,-73.45350636218912,80
73,128602,132921,4319,5.331745150348354,-10.63522129991955,-63.374063085210544,63
74,133018,134044,1026,1.8358875502503338,-4.335982525836101,-67.05183604009027,97
75,134099,135827,1728,5.726456799102166,-5.8486169496976,-45.60466147872653,55
76,135878,138591,2713,3.648732976676783,-9.890482826633345,-69.75029970189854,51
77,138658,140143,1485,3.8711840803493516,-7.162240141040641,-61.60881976562456,67
78,140207,141132,925,3.056008517026413,-6.39163701295584,-64.44631916836288,64
79,141240,142002,762,5.715091331539355,-5.159115499231916,-42.07313318924573,108
80,142067,144784,2717,5.323192009764782,-8.542917848041341,-58.07248380175721,65
81,144851,145520,669,4.136085352771943,-4.845962402024043,-49.518857193626225,67
82,145613,146854,1241,1.9003587104340767,-4.580033820581448,-67.46534206799306,93
83,146924,147603,679,2.196804299210058,-4.690024674764942,-64.90164096856446,70
