,start,end,length,delta_x,delta_y,angle,interval
0,1402,1526,124,-4.2035991876278445,-7.565266304380074,60.9414985018683,1402
1,1639,5052,3413,-8.074663839423664,-7.294171736597903,42.09278436157334,113
2,5089,5179,90,1.0844055918028772,-2.5871174829947137,-67.25871732885356,37
3,5203,6493,1290,-4.995759522705953,-4.340370748545169,40.98447017308644,24
4,6534,6759,225,-2.7412231337991386,-6.009176239395799,65.47881531859026,41
5,10600,12397,1797,0.4860979086684267,-4.960690893330749,-84.40345587858413,3841
6,12452,12588,136,0.7962144939411075,-5.548299805346417,-81.83346587747207,55
7,12630,17453,4823,-2.522208298127765,-3.3602838013644174,53.10833312387501,42
8,20177,21582,1405,-1.599200905520604,-1.8274099279537666,48.81021774642577,2724
9,22873,23173,300,1.4448324855943895,-4.169250979162598,-70.88650431149513,1291
10,23198,25835,2637,1.7057556616376104,-3.826209972533391,-65.97229676055386,25
11,26725,27166,441,3.4650744737416375,-3.655490891733564,-46.53182464935226,890
12,27215,29914,2699,3.284009912663521,-6.56660020286408,-63.429994365139635,49
13,30105,31139,1034,-1.1599042269337332,-0.908810198687874,38.079471797758494,191
14,31900,32344,444,1.3184562637000283,-3.5010003001865044,-69.36391911843087,761
15,35660,35881,221,-0.20927802782075844,-4.594703163163516,87.39211312319355,3316
16,35915,36179,264,-1.537375682392394,-1.786797641753239,49.291020865508294,34
17,38279,38377,98,-0.9103358860652406,-2.4696817165998937,69.76588464949508,2100
18,38535,38840,305,-2.8714227980488687,-3.3435897329376445,49.34452930895947,158
19,40979,41330,351,-2.660431010480167,0.3772947219768099,-8.071697955269952,2139
20,42446,43454,1008,-0.7854561413107604,-0.13324416164984143,9.627953174513626,1116
21,43499,44811,1312,2.984185428468166,-2.859703410141563,-43.77971398421363,45
22,49420,49775,355,-0.8359451116446905,-0.48476489711015347,30.109462407833565,4609
23,50968,51623,655,3.5822746627085564,-6.919228408782004,-62.62815582718672,1193
24,52361,54809,2448,-0.6181722983286448,-3.7330078025652114,80.59735784785303,738
25,55118,56218,1100,0.826238350262102,-2.2181043653758366,-69.56976301616426,309
26,59092,59341,249,1.8617090363777322,-4.406097953416818,-67.0944785281918,2874
27,59377,60735,1358,0.663257064717854,-4.337157683645472,-81.30543859303059,36
28,60823,62135,1312,2.763732243171333,-4.168231884595713,-56.4537646525415,88
29,62168,63694,1526,2.3901455866390364,-7.696845163414082,-72.74856310654307,33
30,63746,64213,467,2.847492897819137,-3.387878113760266,-49.95313339517818,52
31,65292,66024,732,-0.9182581688384204,-1.3077168156469128,54.92407329880786,1079
32,68245,71004,2759,4.998602634596423,-6.718880354358262,-53.35209382211072,2221
33,71059,71417,358,3.9125159329563246,-5.998895645247856,-56.887366881138746,55
34,71457,73702,2245,1.5284901471884496,-5.852011999558826,-75.36190889344832,40
35,73750,73965,215,4.270085109417366,-4.865836397845811,-48.7309618563153,48
36,74010,74795,785,0.7430389618666027,-0.7948464956521946,-46.929422575283596,45
37,76955,77519,564,-3.6099967528943893,-0.3953561868342774,6.24995674971046,2160
38,87370,88882,1512,1.8448685146725268,-3.2704345954132776,-60.57243762513132,9851
39,89010,92079,3069,-1.094532375898197,-5.022246283822284,77.70538445940842,128
40,94134,95102,968,-2.523202645195738,-2.6597871215971622,46.50953477138398,2055
41,96739,97863,1124,0.7364543201900489,-2.9880832232640273,-76.15460622681482,1637
42,97920,98210,290,-1.756253129960598,-1.5265136200987826,40.996767778695684,57
43,98260,98582,322,-1.3012995871762456,2.850302531653327,-65.46103194013301,50
44,98614,99827,1213,-0.4994605058503936,-1.050285771676002,64.56670456147776,32
45,100263,100398,135,-3.057084326281114,-1.2087424513341176,21.573377281453276,436
