,start,end,length,delta_x,delta_y,angle,interval
0,1532,1615,83,-5.4720849330444,-2.017550785228835,20.23886668637527,33.0
1,1648,1954,306,-18.090632366232086,-0.008663685379062258,0.027439204957085944,24.0
2,1978,2252,274,-8.796627704263472,0.8295258488130344,-5.387086464223729,21.0
3,2273,2718,445,-9.256432147696387,0.3811113851246688,-2.357684620200388,28.0
4,2746,3565,819,-10.23388189522882,-1.2800897747776787,7.129726943186041,29.0
5,3594,4481,887,-7.142088261980476,-1.4672724833516355,11.609331944468494,2211.0
6,6692,8325,1633,-6.025271905566896,-4.404337755927301,36.165960806017665,91.0
7,8416,11154,2738,-3.4158214978662613,-3.7190002721252853,47.43319607628823,54.0
8,11208,11347,139,-1.9620324285300654,2.1057426874000242,-47.02335869677891,49.0
9,11396,14822,3426,-8.203983040332702,-5.6550297305062,34.57861037691707,41.0
10,14863,16582,1719,-2.9967074567479983,-3.201611127639879,46.89339117535745,45.0
11,16627,18503,1876,-3.673028512339698,-1.3117520630543282,19.653217633252105,84.0
12,18587,22235,3648,-1.848649858867546,-3.823167050647143,64.19442820718429,62.0
13,22297,24139,1842,-3.308627111445446,-3.4812942262483517,46.45671278301521,57.0
14,24196,26717,2521,-3.8705884617229174,-5.079996586045624,52.69523198260974,62.0
15,26779,28784,2005,-2.164232888402566,-2.5754781215313756,49.95889999310984,62.0
16,28846,32867,4021,-1.8570520785500975,-4.838333477200706,69.0021688553153,70.0
17,32937,34768,1831,-3.637418664518705,-2.0866091713677264,29.84078474096615,64.0
18,34832,38426,3594,-2.9135417884485264,-6.643376728856538,66.31950310247757,54.0
19,38480,40615,2135,-2.3688190396455724,-1.312307479280875,28.986114716582705,73.0
20,40688,46115,5427,-2.2501475673779225,-2.9898720043613594,53.03524938157295,57.0
21,46172,49439,3267,-1.9099190422320476,-1.9822454223502746,46.064579740866996,278.0
22,49717,49846,129,-2.262056867067429,-0.12918687712773647,3.268631907182524,2787.0
23,52633,54885,2252,-1.7878866442708414,1.0428634436210444,-30.25475306863999,
