,start,end,length,delta_x,delta_y,angle,interval
0,2354,2669,315,-9.12913403577096,-7.831911487671405,40.62639226703036,2354
1,2729,4270,1541,-4.816145682424917,-6.219299380362159,52.24625878620501,60
2,4341,4421,80,-0.11817868844109114,-3.0021144530641237,87.74570694204063,71
3,4436,6377,1941,2.6794487589214384,-9.497172032356403,-74.244583678787,15
4,6434,12520,6086,5.5787890784952765,-9.578756005127602,-59.7829352373989,57
5,12589,13455,866,0.163039246900766,-2.2897098580051534,-85.92711673324214,69
6,13530,19357,5827,1.7671648176220316,-3.501777421931237,-63.22229855649316,75
7,19458,24479,5021,1.071888068701682,-0.7602840223385385,-35.34785794344172,101
8,24686,27114,2428,2.071840305654632,-0.9021946145535651,-23.53099047325228,207
9,30731,32491,1760,2.704565206231422,-3.042320695879525,-48.36351356305615,3617
10,34509,35510,1001,1.0075746527894154,-2.3845462693846855,-67.09382480406751,2018
11,40548,40688,140,1.630972529581797,-4.057511001050258,-68.10165857565099,5038
12,40721,44901,4180,9.666330420435031,-6.567794996290317,-34.19417556066643,33
13,44983,45097,114,-0.25369266219610154,-3.220277532031929,85.49555595042341,82
14,45119,49318,4199,1.667109764917484,-8.390877001331305,-78.7627397104663,22
15,49793,49997,204,1.2139226903340443,-6.834774218657117,-79.92873339784582,475
16,51348,52839,1491,2.1277312829978143,-4.112030082767845,-62.641120032641965,1351
17,52892,53286,394,0.817640893049898,-3.9625374403973836,-78.34106187454896,53
18,53358,57760,4402,5.041374303659779,-12.367908776394714,-67.8233380388987,72
19,57897,60022,2125,2.142709455373094,-10.415794395137809,-78.37543670801536,137
20,61717,64960,3243,0.9192184036247681,-7.933326746805804,-83.39072697765127,1695
21,65020,65199,179,0.8441652593487561,-5.68331607243573,-81.55140334844086,60
22,65257,68158,2901,-0.28734609926247856,-4.923177194522353,86.65966485093298,58
23,68238,68406,168,0.11943244148196186,-4.67093595312727,-88.53530765508268,80
24,68470,69800,1330,-0.5248969180602359,-3.8083101784926185,82.15240407352263,64
25,69860,71222,1362,0.03879020920550147,-4.4061167083277155,-89.49559714263637,60
26,71280,72157,877,-1.8110343057525,-3.3536870406251893,61.63038091612885,58
27,72221,74176,1955,1.7765672102997598,-4.6524271892801465,-69.10023620507184,64
