,start,end,length,delta_x,delta_y,angle
0,98,134,36,-1.3834998595471433,0.24898038333047623,-79.7980155975635
1,151,200,49,-15.925724710160125,-0.15917242898746053,89.4273664208835
2,270,348,78,-4.175895711415791,4.3018107784839685,-44.1490774647284
3,373,408,35,-0.8852770435498769,-4.1710549727601745,11.982807427801156
4,427,672,245,-38.05932329382004,-4.522241576135485,83.22383646788448
5,690,836,146,-10.487523050832905,3.5407856173503376,-71.34434748777389
6,946,1070,124,-6.128029788635388,-5.230959319114291,49.515533271776945
7,1221,1297,76,-18.022233817107335,-2.6584645713963653,81.60879710479097
8,1374,1549,175,-14.320216775132664,-5.441696581946914,69.19315931552872
9,1639,3213,1574,-8.497071338664696,-4.854439862658879,60.26035198366004
10,5089,5184,95,0.25943355297685855,-2.52464529351127,-5.867143135326865
11,5203,6507,1304,-5.928802339275109,-4.578561688168477,52.32261865523614
12,6534,6785,251,-16.710014207684893,-7.4734384536080825,65.90374901780432
13,10596,12316,1720,2.040869088089295,-6.5397039183515915,-17.33176572866988
14,12452,12601,149,-0.22201356610833045,-4.7463517397163315,2.6780938123077838
15,12630,13674,1044,-1.7606679842877782,-1.9570693258148424,41.97597861587303
16,17484,17535,51,0.27832829917564084,-1.7252947253743969,-9.16412582352243
17,17559,17662,103,-12.27127260369538,-6.647930405140599,61.55349377016462
18,19749,19797,48,2.4477228637087194,-3.586398810121281,-34.31359836883784
19,19811,19874,63,3.1593834470519653,-4.719945858767218,-33.79710876096128
20,19899,20073,174,-22.125411376349916,-10.029054661758764,65.6160602576855
21,20177,21644,1467,-8.819421053137376,1.2368849054081892,-82.01658931925894
22,21644,21754,110,0.91984236326077,-1.8128665028584834,-26.90308389617802
23,22869,23178,309,3.306551872432564,-5.765913840170185,-29.832777616796523
24,23198,24077,879,1.332429288915634,-1.254693840878673,-46.72105200406676
25,25970,26096,126,-10.60357210804412,-4.097192481898617,68.87359862232832
26,26725,27196,471,3.1023161742352983,-3.4203788538512185,-42.20832788807919
27,27215,27924,709,1.2463856447724169,-3.093121688339636,-21.947165580382265
28,29974,30082,108,3.936975946399997,-1.6282599312171584,-67.53092396260843
29,30105,31196,1091,-9.129123059705819,-1.658425481520581,79.70375079333573
30,31900,32027,127,0.9104761696496837,-4.754548087925343,-10.840663384625682
31,32394,32560,166,1.1423599537954203,-4.687809656009279,-13.695329166377649
32,35655,35814,159,1.6442320995190585,-6.386565168944742,-14.43737012258172
33,35915,36215,300,-6.588735500862157,-1.772270587524531,74.94464596871923
34,38189,38255,66,3.1608404108264523,-1.560957054715871,-63.71788642422251
35,38279,38419,140,-15.55946782648401,-2.8170999523863713,79.73755654893701
36,38436,38514,78,-3.6690495951834663,0.9754303384822407,-75.11207980544138
37,38535,38884,349,-12.743364763606081,-6.8697669583466165,61.671523508151544
38,39329,39557,228,-1.4584750442872263,3.001020295930843,-25.91943036110293
39,39601,39645,44,-4.201952460471048,-4.803088927291668,41.18085524027836
40,39805,40017,212,-12.916617712794732,-2.2055132604480576,80.31019164735127
41,40121,40328,207,-12.640280665175453,-1.81614276191344,81.82375634787924
42,40464,40558,94,-13.77794338414698,5.7636210112324875,-67.29935428786243
43,40577,40601,24,-23.525643607122518,1.6690776422125282,-85.94182688583413
44,40615,40696,81,-12.377995872781455,0.09793624414571411,-89.54667811979007
45,40723,40848,125,-24.91925929091714,-5.257072860841163,78.08731717325533
46,40979,41358,379,-14.10811201862846,-2.959400169979233,78.15307040752573
47,42446,43500,1054,-5.3081414003916905,3.395904835086256,-57.39075608252036
48,44997,45037,40,0.6912841908269911,3.690894870317024,10.608278674890814
49,45056,45713,657,-7.970328471277227,-2.467699234838932,72.79691400486516
50,47334,47487,153,2.4412414574401566,-4.637160047321501,-27.764644639748543
51,49053,49178,125,-7.990765195383446,-6.655276457469995,50.21006635649987
52,49420,49793,373,-6.141123751113398,1.7433250268101546,-74.15196446614432
53,50968,51623,655,3.5822746627085422,-6.919228408781976,-27.371844172813283
54,51673,51897,224,1.181765175501937,-4.1808813039729955,-15.783440692865835
55,52361,52946,585,-0.23588604270402413,-0.2535415663826228,42.93401819643858
56,54884,55048,164,-0.46246997147643754,-6.11955328126561,4.321770577948112
57,55103,56268,1165,-2.1024299385934455,-1.3478849115528817,57.33573789690596
58,56268,56430,162,2.663568611082141,-6.06760486352016,-23.700604020233083
59,59092,59352,260,1.3766730879628994,-4.250461170064881,-17.946513227728822
60,59372,60816,1444,-7.687862301276951,2.5030660523589177,-71.96543736765841
61,60818,61158,340,4.880772520612936,-1.9882686656441138,-67.83560954041153
62,62168,62957,789,1.6392093348128753,-5.978413611799354,-15.332989687880053
63,63746,64230,484,2.99229807494126,-3.6566041060441563,-39.294391194668044
64,64250,64276,26,0.6194116785492128,-5.685789781975444,-6.217301486598967
65,64294,65053,759,-3.6162231854889626,-7.020470082864364,27.252860594753894
66,65273,65672,399,-0.1683158913401286,-0.8775049358741001,10.85813095940633
67,66060,66516,456,1.5464011760315657,-5.824557707452186,-14.868818209761509
68,68245,69072,827,5.030304750468957,-5.289403675729005,-43.56176588373891
69,71059,71435,376,3.8693544911450033,-5.804788908729819,-33.686618026513294
70,71457,72621,1164,1.464578714184185,-5.026809185653022,-16.243669704422004
71,73750,73981,231,3.255035157479142,-4.168164140380881,-37.987266071620844
72,74015,74873,858,-3.2916725020013757,1.3207933336875612,-68.13672993650266
73,76313,76381,68,3.1699730330325337,-1.6328859054565612,-62.74653577919534
74,76408,76926,518,-18.279123428340796,-5.511292796335951,73.22154707167078
75,76955,77561,606,-10.360123430820835,-2.8724500898949685,74.50342240948582
76,78509,78641,132,4.845092082431478,-4.99840656848734,-44.10767877484874
77,78977,79165,188,-1.9518420891760826,0.6899203041138406,-70.53295656949241
78,80733,80947,214,-5.455156067776571,-1.2234947512652212,77.35876423561861
79,83066,83091,25,-0.6536900785735469,-3.3672129554262398,10.98639347020062
80,83272,83469,197,-12.41663045047838,-0.28212557239059777,88.69837281970511
81,83967,84501,534,2.368826895372763,-3.7576122472042215,-32.227638309618946
82,86645,86997,352,-5.391538564960356,-6.5694431594428835,39.3757082205378
83,87370,87754,384,1.108570066458526,-2.227795921019606,-26.455325588691768
84,88913,88985,72,2.7364648289360787,-2.732536534014514,-45.041154621482704
85,89010,89432,422,-1.8020402056647384,-1.4094411945587808,51.96974417523662
86,92163,92332,169,0.922814681983894,-5.4070889537575795,-9.685215288403196
87,92518,92665,147,1.540951877115603,-3.1967205379784076,-25.73599493609938
88,94134,95102,968,-2.5232026451956955,-2.6597871215971622,43.49046522861554
89,96739,97881,1142,2.0523848992359035,-4.221247663352472,-25.929177691673246
90,97919,98228,309,-1.7664911306804356,-0.9988486282957609,60.51435007181102
91,98260,98585,325,-1.376690787064419,2.69188325148329,-27.086243308686807
92,98614,99393,779,-1.0382268651769948,0.5918320237572345,-60.31508082344787
93,100082,100245,163,4.495876611119783,-3.5417960083458695,-51.76939729697991
94,100263,100419,156,-10.926492375612455,-2.8943214865435607,75.16364777092484
95,104232,105326,1094,3.067134454471642,-5.487545170386355,-29.20198196892437
96,105406,105678,272,1.4629258980630766,-4.963890022200005,-16.420962248196467
97,106505,106852,347,3.6087932144982773,-2.638968785526501,-53.82346110378614
98,107571,108506,935,2.852014990061406,-4.449855999514753,-32.65674377058585
99,108539,108871,332,2.4628261346494753,-4.741147677071254,-27.449972595772827
100,108904,109372,468,2.805285728210279,-3.627104079009598,-37.71919118629332
101,110371,110529,158,2.2217531599100795,-5.435923175211457,-22.23065965549239
102,110601,111635,1034,2.0916497417623816,-2.5957010320053087,-38.86232017626941
103,111675,111830,155,1.2737119768022325,-6.123755745449458,-11.749721533229094
104,113248,113735,487,2.9395712217257994,-3.4619110636704846,-40.335187846941324
105,113828,114103,275,0.5251658759568301,-2.5314493743578907,-11.720136864673583
106,114198,114540,342,-0.6254663676309633,-1.4626674449742154,23.152537749614353
107,115436,116510,1074,1.5969115040417279,-6.757583410771701,-13.295876326284388
108,117368,117507,139,-5.054890873422863,-4.482958075974963,48.43160637233846
109,117512,117752,240,0.49966364311865163,1.6390277495505217,16.954035623559587
110,117780,118110,330,-10.233179416590275,-0.8915552434018537,85.02073718202504
111,120895,121231,336,-15.66701599611848,-1.8003803180718307,83.44459154173477
112,122524,122901,377,-5.190326498211675,-1.34533459376361,75.46870609719366
113,124121,124627,506,1.84364802725932,-2.9066498206627926,-32.38639460911201
114,124708,125341,633,-0.3111484469693977,-0.5630499316542199,28.925589723696017
115,126072,126527,455,5.050721616310895,-1.7489922786002126,-70.89976593395463
116,127528,127907,379,3.513669543136203,-1.2347858510288177,-70.63732919880752
117,128772,129341,569,4.5804022996326665,-3.8471369982411545,-49.972681306996186
118,129370,129879,509,0.8870840953080688,-2.8335705277270478,-17.38337082600262
119,131012,131913,901,2.8565283927981255,-5.260720754139967,-28.50159879622034
120,131989,132681,692,4.7814462148590025,-4.257741842865045,-48.31584470245421
121,133213,133825,612,0.9036005895175379,-3.9805938169104564,-12.789485857477233
122,134854,135094,240,-6.125533530347923,-1.939043056566831,72.43477065836834
123,135271,135636,365,-7.541365961099274,-5.113623975641801,55.85972174388348
124,136299,136594,295,-6.355435471216012,-3.8219172410294533,58.97889886579327
125,137844,139005,1161,3.810880876159601,-4.500644608888649,-40.25596161920356
126,139047,139499,452,-8.26331293962474,3.4328335269489543,-67.4405035817102
127,139499,139595,96,3.6616038631601384,-5.3737879167074,-34.26982406702925
128,140146,140344,198,2.8190847768656937,-4.335425672436699,-33.033696631923824
129,140404,141023,619,3.823985259237986,-2.4046728890833435,-57.83669765809757
130,142012,142288,276,-1.6112171793150338,1.3150800629252615,-50.77857849870196
131,144326,144506,180,3.3618752274398247,-5.016819366729123,-33.82686363924454
132,144890,145193,303,-2.5505519309677993,-0.6049227790892786,76.65750275503926
133,146490,146924,434,-7.2032253408893325,-0.029734082231016146,89.76349098318177
134,147871,148727,856,0.7929629340379307,-0.10196533785679662,-82.67267209667281
135,150993,151081,88,3.479774932528244,-2.447227471099339,-54.88236199151469
136,151110,152331,1221,-9.91988445232775,-5.495583386774243,61.01369125180753
137,153287,153855,568,1.6617374620362426,-3.299403753798572,-26.732010205330173
138,155903,156314,411,1.504888023402998,-2.5627569158548624,-30.42207364940339
139,156360,157117,757,5.36464063631152,-5.49889114571458,-44.29198015815275
140,157404,157750,346,0.8778780267359281,-4.194341717546337,-11.821390855498997
141,157968,158381,413,1.7300434760856405,-3.111631602188311,-29.073726096397998
142,159318,159427,109,-2.047453373255138,-6.013711436114136,18.801869881055875
143,159456,159672,216,-10.484596186955883,5.783200243935482,-61.11930289821391
144,159774,159894,120,-21.244938744825134,-3.835327362837461,79.76667120872109
145,160194,160405,211,-19.335770829361692,4.30600401192855,-77.44531219826285
146,160821,160955,134,-16.254629050595256,-1.7827653997446617,83.74096497346629
147,161107,161169,62,-13.380323593234039,-5.925462745727117,66.11389076712908
148,161920,162168,248,-20.026859253289558,-12.205834042587611,58.63881196802905
149,162200,162346,146,0.30820100597411226,-6.992062691530904,-2.523889513333596
150,162379,162515,136,-23.848613439843106,-10.30105118904217,66.63879340918339
151,163037,163301,264,-15.962975255740076,-3.897435089994275,76.279399004524
152,163384,163572,188,-14.07366380740838,5.694357716002941,-67.97120767806979
153,163621,163757,136,-7.731138405522017,1.1079955949034428,-81.84413625624786
154,163780,164046,266,-34.79203539495957,-6.642949362521151,79.19044469623428
155,164090,164384,294,-20.97766099659954,0.09517538113733792,-89.7400515606702
156,164444,164783,339,-29.64525772107615,9.337537446495716,-72.51683640302457
157,165814,166435,621,2.640316895003295,-5.071334274461634,-27.503087717774786
158,167016,167145,129,-7.254110523904174,-5.500800865530465,52.826913334288264
159,167178,167341,163,-9.293743982059723,-2.896531693679748,72.68958828650636
160,169651,169699,48,-13.381917175699854,8.626940451989938,-57.191278317057666
161,169699,169777,78,5.735298475362754,-8.552200978894419,-33.84669482116972
162,169798,169876,78,-0.6775527869186959,-0.6199131971111314,47.54367765863402
163,169911,170019,108,-19.68375087938749,-10.478090488211194,61.97265213756088
164,170511,170617,106,-9.56738270007358,-3.174160747157501,71.64575704195461
165,171992,172136,144,3.899622142410294,-6.71032018567891,-30.162499362235685
166,172168,172555,387,-11.493814045243056,-4.828627046032906,67.21240298139254
167,176187,176274,87,2.702992445080241,-4.347873390000416,-31.868452142708545
168,176310,177211,901,-11.820451193213287,3.239547102196198,-74.67367774977423
169,177212,177375,163,-0.411447913670159,-6.4124952390342,3.671263125358495
170,177645,178252,607,-0.6751502111593766,-2.260459604373807,16.629743429299744
