,start,end,length,delta_x,delta_y,angle
0,83,115,32,-2.1241425098529447,-3.41765770228443,31.861776551187692
1,134,152,18,-1.0036862540819698,-2.3416575119164804,23.201045161735276
2,163,214,51,-4.403789641003215,-4.4561512302108355,44.66139016205919
3,272,409,137,-28.903949678120668,4.41275400399438,-81.31970311197641
4,474,578,104,-0.39736896733526805,-6.0113819055112,3.781907427299637
5,660,826,166,-16.549190832333878,3.7796727459400614,-77.13486775370887
6,894,1152,258,-7.283999275121644,-5.694386523886507,51.98289572737627
7,1271,1470,199,-5.436526733817757,-7.72626512577034,35.1318388696948
8,1544,1602,58,-1.3818073779211204,4.166130649487769,-18.349466644839627
9,1625,1819,194,-10.429331110164341,-1.3339717632430421,82.71111496419948
10,4808,5198,390,-0.9687452419859568,-0.15751079360809683,80.76494554731956
11,6984,7940,956,-3.02484143502555,0.07116484638962106,-88.65226214917395
12,8729,8847,118,2.304486390563838,-4.636571047549978,-26.42847215359579
13,8880,10373,1493,-6.240724699223534,4.963658263664129,-51.502464737873346
14,10373,11223,850,5.177100823688733,-7.854570670063126,-33.38965626361471
15,12696,13561,865,4.657303773295439,-7.509572101420261,-31.806457423543172
16,13594,14536,942,3.389328545007885,-7.217786612266238,-25.153813102499612
17,14560,14902,342,2.818572151409853,-6.163624672241738,-24.57420753974224
18,14968,15484,516,1.9381241335030666,-4.989364637035294,-21.228713496038363
19,15512,16668,1156,3.8186659852433564,-5.499273280152707,-34.77590682669465
20,16699,16978,279,1.959163658995493,-5.056221322780345,-21.18014648358221
21,19857,19952,95,1.0951023977754204,-4.598085244171003,-13.396273548995579
22,20011,20436,425,-5.623251216559694,-1.155430096577021,78.38883113223797
23,21900,22102,202,1.2877552317588936,-5.537716291436851,-13.09105121397861
24,25698,25749,51,5.040784828666929,-2.425723101022058,-64.3022408770211
25,25776,25967,191,-7.9333340772381575,0.6683505548663788,-85.18443887599771
26,25969,26104,135,1.501293670744559,-5.7528688541772794,-14.625958510503116
27,26119,26365,246,-2.0177657875698287,-2.186469222689709,42.702123736212926
28,27948,28868,920,3.8085576654919606,-6.766699516118479,-29.37247580062549
29,28929,29356,427,3.009930729261143,-6.000767046125844,-26.637930717187963
30,31946,32005,59,1.5714255640514523,-3.062566448383251,-27.16269576062337
31,32035,32535,500,-6.4543331631073215,4.059615213503633,-57.831127062235126
32,32536,32969,433,3.1143385907171535,-4.631755926795805,-33.91642549393837
33,37745,38177,432,-5.9605442877032715,-8.486165654731863,35.08357864880191
34,39246,39386,140,3.0536942847423063,-8.582842677590492,-19.585077837524167
35,41092,41242,150,4.457615350135228,-6.226260032112961,-35.60031014930935
36,43682,43871,189,4.008976610646002,-6.784572682202835,-30.57866937506707
37,44009,44091,82,1.3356755197943215,-7.873219518657535,-9.628439542338688
38,44174,44364,190,1.589930670618969,-5.50173811108796,-16.11860528501204
39,44570,44625,55,-0.23968914457124413,-4.3520826466917555,3.152356585590835
40,44975,45171,196,-3.7439404560827967,-3.9404813650418617,43.534891717017715
41,45265,45670,405,-1.5860622613889603,4.051095869940141,-21.381057206532077
42,46611,46963,352,1.2902020610234786,-4.754206449020998,-15.183307156644673
43,47020,47069,49,-0.9669418667499912,-7.224887786465999,7.622875111232865
44,47094,47181,87,-0.296818384173406,-5.790446068073408,2.9344144852417418
45,47375,47621,246,-9.459995645204842,-7.633363229084381,51.09960009375826
46,47707,47955,248,-6.187986942166518,2.113595687412598,-71.14166253198117
47,49727,50110,383,2.663205507007447,-5.891253774327083,-24.325865890887602
48,51819,52138,319,-7.543739191562551,-6.893617793882768,47.57831579360109
49,53187,53529,342,1.6500069149224572,-2.777898982467377,-30.70931955809641
50,54242,54578,336,1.8589179309557693,-6.34108397422996,-16.338741725324624
51,55074,55359,285,3.811873012153228,-4.452990239375396,-40.56436733704243
52,56811,57382,571,1.7863435191451345,-7.1526462983661645,-14.022535911745743
53,59120,59366,246,1.3348664090286348,-7.604857321237958,-9.955603506622953
54,60236,60619,383,3.420795431511479,-6.351248289106749,-28.306997132947295
55,61911,62345,434,1.163848614380342,-7.664265894989455,-8.634620140237791
56,63460,64999,1539,0.167356159531451,-7.277566396405092,-1.3173513463405748
57,66009,66094,85,3.7903946676148337,-6.6318401818100625,-29.74990705685134
58,66120,66735,615,-0.19263162260465094,-2.87689319298606,3.8307048822974514
59,68433,69133,700,0.8468650607217398,-5.488503278181042,-8.771450649962404
60,74473,74546,73,1.616633185950164,-3.2632551810627035,-26.35404858086888
61,74564,74682,118,-5.041212847034629,-1.4983140695190968,73.44736559116642
62,74730,74931,201,-0.7528452875758376,-1.2383225828517368,31.297748643848468
63,76113,76356,243,1.987795143928352,-7.530073088576955,-14.787652235790105
64,77678,78516,838,3.5661674419676785,-6.7489634477086895,-27.852073522833543
65,82416,82912,496,4.243818788336597,-2.880037898220877,-55.837497849835636
66,84792,85692,900,1.6429226138604207,-7.945404978107987,-11.682770020438923
67,86500,87227,727,2.363223845781519,-5.63477245750272,-22.753179267102198
68,87259,87416,157,3.8012447104239016,-6.419762757699203,-30.630457045118398
69,87451,87849,398,3.4770364273541645,-5.5071072107267725,-32.26719068699603
70,87882,88838,956,4.6574822750620655,-5.926549970953758,-38.16264953099272
71,88869,89029,160,3.0606635411258196,-5.002902964115634,-31.457357377943968
72,90978,91612,634,4.166745972921177,-5.189471575420754,-38.761781235253636
73,94360,95290,930,5.383942182638677,-4.763290212927572,-48.50011615956152
74,95450,95581,131,4.608922451419559,-5.177227549644684,-41.67643005530488
75,95852,96042,190,3.994967801110036,-2.9802238263706897,-53.27726551360882
76,97231,98609,1378,6.792565240514705,-8.236173759790958,-39.51320021739362
77,99191,99277,86,3.8679211124284762,-7.079689064521162,-28.64956853385963
78,99313,100423,1110,-5.698362181318359,4.194326431745907,-53.64476737081985
79,100423,100844,421,3.7896371826237925,-5.0155558766382455,-37.07384471252504
80,102469,103291,822,3.1177772288463075,-6.73932639597767,-24.826415466850747
81,104196,104589,393,-1.8281596076856772,-7.1683983797569795,14.307188043494397
82,104650,105253,603,-0.21559161494336365,-4.427250906984753,2.787901508601899
83,105403,105545,142,0.7227863940391472,-5.508828518673752,-7.474801250778006
84,105733,107093,1360,-7.373527770036219,-1.039459607299321,81.97578626557441
85,107094,107500,406,2.972263462184472,-4.174781707884662,-35.44921657148392
86,108462,109332,870,4.246208359382521,-8.081326388382237,-27.71898897215134
87,109446,109588,142,1.5826471899829357,-6.907560051480942,-12.904766048981047
88,109612,110400,788,-0.5741837726106382,-3.2912126389000065,9.896202399356483
89,112134,112402,268,-14.051207068689422,-4.99214387329144,70.44077929585332
90,114090,115454,1364,1.0798034618151462,-5.45623092192406,-11.194347729254
91,115546,115676,130,1.9156394000975752,-5.14531647912861,-20.42067117103479
92,115704,116405,701,-6.935195818488609,-0.7742366447338611,83.62994675243509
93,116410,116948,538,0.6963447858058629,-7.901491671512616,-5.036366313371605
94,118494,118633,139,-0.30456914392838996,-8.03818355155434,2.16991593932135
95,120976,121650,674,5.628789171384156,-5.877521927584894,-43.761625877856055
96,124200,124276,76,2.2877246548144683,-6.9111908015806875,-18.3154439089769
97,124350,125481,1131,-9.597899814919202,-1.6150340802366827,80.44834593061063
98,125482,125977,495,2.129998036886832,-5.440477709537035,-21.380808962574882
99,126031,126696,665,0.41162529432908457,-5.037717223968528,-4.671186319555227
100,126750,127281,531,1.915796539958876,-2.6412203366560476,-35.95507460455131
101,127604,128186,582,2.2612794043926954,-7.664650257158556,-16.437486704528368
102,128602,129477,875,4.604079932279021,-7.01860601717199,-33.26415780816015
103,133018,133086,68,-0.504624812506961,-4.385958519667696,6.563285309182029
104,133112,134087,975,-0.7090074197091951,-3.9689405564972446,10.128421397471307
105,134099,134252,153,3.2662206600925003,-5.938330279858235,-28.81182344208444
106,135878,136247,369,1.916259212908301,-6.340908278099818,-16.815121080215576
107,138658,138824,166,3.329082086590404,-5.589005508269381,-30.780074109204058
108,140207,141132,925,3.056008517026399,-6.391637012955854,-25.553680831636978
109,141240,142027,787,6.034017833027718,-4.586167726508407,-52.76327507875018
110,142067,142739,672,5.0933692378198,-6.431990650038543,-38.37502302203174
111,144851,145520,669,4.136085352771971,-4.845962402024028,-40.48114280637406
112,145599,146896,1297,2.701467581475086,-3.8614937936293217,-34.976302397640005
113,146924,147515,591,2.084802410431095,-4.6832430195415355,-23.996817161134885
114,147660,148606,946,8.276905185984518,-5.770372310012846,-55.11712359046317
115,149401,149517,116,3.3502222452659396,-4.860284926920031,-34.57871823009306
116,151685,152598,913,3.738210464949603,-7.643951851490527,-26.0605568491684
117,153205,153914,709,2.064867431383888,-5.029024432477399,-22.32256572901301
118,154328,155473,1145,10.106242263593955,-5.811748596088577,-60.098289208382596
119,155548,156321,773,3.6842671445463395,-4.64003587187058,-38.45017091806548
120,159139,159207,68,3.5580648682245197,-6.881787521104016,-27.340151045719303
121,159235,159487,252,0.17732862640053781,-5.084775508439748,-1.9973479343533092
122,159511,159589,78,-3.5169797984897997,6.600405674097615,-28.050608871602705
123,159603,159647,44,-1.3671025055959944,-1.2488046261888002,47.58929466908222
124,159676,159941,265,-1.925186677686483,-1.3688942776261683,54.58546218864605
125,162404,163371,967,7.207285970401301,-8.947322587374401,-38.85228907381151
