,start,end,length,delta_x,delta_y,angle
0,320,402,82,-15.237358385999912,-2.1885039829497686,81.82664579646278
1,497,646,149,-6.193199744522403,-4.560914051108384,53.630618730686926
2,716,1023,307,-1.4634722738785513,2.6926942927241413,-28.523963944682066
3,1058,1344,286,-3.73477296112182,-11.1199925360076,18.56519731923254
4,1363,1465,102,-5.426590685934087,-5.08899526271405,46.838808763427515
5,1499,1727,228,-6.27582595323797,-7.730102765515937,39.07205324840732
6,1756,2422,666,-17.73267801534962,-4.974624505810425,74.32936965719126
7,6213,6390,177,-1.0101105680080593,2.383303421285518,-22.96858766577134
8,6427,6472,45,-2.822948523970325,-0.8063274911400384,74.05890560616002
9,6487,6549,62,-2.5180062738349136,-0.5472226206107536,77.73892105022324
10,6572,6713,141,-4.51880250377053,-4.5286904538906185,44.93738181538163
11,6725,7472,747,-19.193760668563215,-2.7243965540464643,81.92130171981513
12,10754,11339,585,-3.160250251205966,-1.2218426544459078,68.86208010055712
13,12713,12836,123,-1.9603674640810027,2.271108336412013,-40.79999038752173
14,12861,12929,68,0.12790195273990435,-0.3490229216558163,-20.1257220478467
15,12956,13041,85,-3.8570015928337824,-4.000618765188136,43.952896506993746
16,13064,14405,1341,-25.16936798112357,-6.610079329078431,75.28505125842544
17,19311,19482,171,1.900353560533759,-1.6560902365386454,-48.92901287563816
18,19581,19772,191,-23.657485785677622,-3.9763836368750276,80.45882772578686
19,19958,20316,358,-7.256151238334837,-0.04536376168651657,89.6418048438296
20,21014,22512,1498,-8.752835148820836,-2.4738394037963616,74.21796111222135
21,22628,22784,156,0.947685647342098,-5.013582172935969,-10.703966300929187
22,22885,23679,794,-26.417362333876184,-8.186374944684133,72.7825147426768
23,29594,30131,537,-3.6009909692234743,5.254608785707745,-34.422897085066246
24,30138,30620,482,2.936849936744636,-12.315786941241228,-13.412394773630407
25,31479,31624,145,3.1700591991661042,-5.578032185705808,-29.610062379677423
26,31939,32087,148,-5.248397719574427,-2.0742978005975914,68.43483109413127
27,32111,32211,100,-3.225077660743324,-1.8554343966064266,60.08755178237742
28,32274,32361,87,-4.971046311014163,-1.1116257222423371,77.39489314112919
29,32388,32609,221,-24.220399978111757,-3.2275105017233017,82.40971740064165
30,32677,32852,175,-5.2470219072101685,5.8686567232931,-41.799116709836674
31,32898,33090,192,-6.915791805913386,-1.2104357960610486,80.07237001209413
32,33185,33491,306,-24.08219340967935,-2.8687246839124043,83.20681006990382
33,41801,43200,1399,-16.301488806811705,-4.493979734264499,74.58758121730699
34,45582,46249,667,-1.9627795042722909,-0.8963523362751431,65.45500506821377
35,49690,51508,1818,4.607364405320297,-4.392517137847449,-46.36751845170841
36,51658,51994,336,-0.3251616364484988,0.09066688040763893,-74.41959791222668
