,start,end,length,delta_x,delta_y,angle
0,126,298,172,-9.846764068687008,-1.8270421725339645,79.48845507477782
1,360,451,91,-2.5425663651889323,0.2939247309907671,-83.40578688819062
2,468,569,101,-1.972778111014847,-1.7235149973380999,48.857955423413706
3,590,958,368,-2.249281847523889,-0.0016534112671990897,89.95788279247836
4,988,1553,565,-9.110381127646818,-3.7141825271782096,67.8199241413369
5,1622,2108,486,-9.556304174043746,-1.8141163388803392,79.25118459076049
6,2159,6226,4067,-12.139831790354037,-5.972739126768531,63.803034766522785
7,6350,6710,360,0.006012100359825467,-0.9863580358972825,-0.3492278648157154
8,9012,9151,139,0.9504950091037756,-4.977509414617657,-10.810932063686648
9,9176,9323,147,1.3831595696440502,-4.158645700558779,-18.397050981028215
10,9389,9583,194,-5.385610580311976,-0.30851252251667916,86.72141757546662
11,9622,9767,145,-7.5651985798971,-2.2556965830645197,73.39712788810563
12,11477,11540,63,-3.566533634305898,-3.2610364314852376,47.561970500404385
13,11560,11677,117,-2.9668634086365273,-0.7194162502804033,76.36978335096094
14,11701,11908,207,-5.926486828051708,-1.1512160447132374,79.00723197699789
15,11993,12167,174,2.5145654809869598,-9.024216303384193,-15.57030451716935
16,12212,12281,69,-7.435605784475911,-5.837667449676914,51.864668513205686
17,12423,13080,657,-22.415176789066365,-9.83642663877076,66.3067470666703
18,13309,13383,74,-3.689571737639696,-0.4437811280287889,83.14142061158152
19,13403,13618,215,-5.274073608053612,-3.492727831053287,56.48568967896119
20,13637,13724,87,-3.2349436168006775,-1.517145482533408,64.8740480241186
21,13804,14153,349,-17.1410185373755,-7.771542328517555,65.61100241784365
22,14245,14612,367,-17.320621877812357,-4.933090682237136,74.10250361004442
23,19641,20527,886,-1.5735660212115903,-1.5031781977331917,46.3105482848255
24,23574,24266,692,-1.124074531264597,0.01749627167464496,-89.10826057142383
25,27782,28118,336,-11.219843624603357,2.2577713008611653,-78.6223096629596
26,31210,32887,1677,-1.0576956785260023,-1.5644203218064234,34.06240197807221
27,33203,33472,269,-2.3290452441084,0.15090061273119204,-86.29294428703167
28,33495,37077,3582,-14.184317034706524,-4.887107092215103,70.98896822251197
29,40300,41052,752,-0.4751270998664552,-1.599100933727442,16.547810913429004
30,45544,50407,4863,-4.0802469268605535,-1.5134005526381173,69.64972640319694
31,50476,51466,990,-2.6051345276168405,-0.599809014748871,77.03411672407601
32,51483,52464,981,-3.0142084986469513,-1.6801903826385427,60.863681142218205
33,52628,52873,245,-4.754769640572917,-1.4478521928575816,73.06423360117766
34,53267,53339,72,-1.1933971135599393,-0.11021012378311923,84.72370522388908
35,53361,54329,968,-9.280838592762649,-4.117275543811104,66.07640153301665
36,64751,65763,1012,-0.39841704508690157,-1.6652131637903977,13.455576426283862
37,68792,68896,104,-0.1835406858255766,-1.5198642706564982,6.885765917774542
38,69057,70262,1205,-1.2563035592180398,-0.6789891382598654,61.61029363545691
39,71642,71806,164,3.793448793262016,1.389231013101849,69.8863362846188
40,71845,71990,145,1.842403790267582,-4.152981910384,-23.923699506160673
41,72014,72227,213,-4.890215119004381,-2.0160064977510075,67.59594128190292
42,72257,72394,137,-5.382523982436396,-0.9193200698683626,80.30756684562036
43,72420,72527,107,-3.0899553506076813,-0.9783574248734368,72.43090573652198
44,72546,73863,1317,-25.7165526594503,-10.859258714226726,67.10725740928905
45,76011,76246,235,-0.5288941030536165,0.5278999599624967,-45.05389904101888
46,76278,76426,148,-1.7249186033930641,-1.3785608402261573,51.36803237831799
47,76457,76652,195,-20.049897311021937,-2.418137875682646,83.12300080193694
48,77351,77509,158,-22.322207271951783,-4.197116636786632,79.35132942132324
49,77621,77725,104,-0.7688619860807506,0.22979505933879807,-73.35981156547192
50,77740,77939,199,-7.560947713049387,-3.4768907348391167,65.30473282972379
51,77986,78181,195,7.38838116592504,-13.955542115426908,-27.897761628164993
52,78239,78490,251,-16.576936395136414,7.811024109415925,-64.77026663538906
53,78521,78633,112,-20.741429779635126,-6.1491105705928675,73.48674654414242
54,78647,78737,90,-6.105395346968066,-3.644484321849845,59.16581996006902
55,78768,79007,239,-13.15259252704692,-6.385234360153177,64.10465831805102
56,79092,79255,163,-2.2697285071976694,-4.7731986491784255,25.4317979488434
57,79275,80792,1517,-38.28256678298612,-6.706423536240166,80.06362678558627
58,82218,82292,74,-10.40309448786958,-1.2073423427372774,83.38009176431231
59,82312,82369,57,2.2076895020708918,-1.2164002649878825,-61.14596541773034
60,82385,82473,88,3.030136377139115,-1.9399821585978998,-57.37143668171074
61,82500,82614,114,3.713617421584871,-1.5965069062328325,-66.73683426455176
62,82778,82833,55,-1.9466236402724917,-0.5793922282168325,73.42491194696132
63,82853,82897,44,3.344607165590034,-0.4308637813415288,-82.65938973196319
64,82915,84277,1362,-15.908240380634197,-9.034332284603153,60.4076411874449
65,84425,85790,1365,-12.29197374386682,-5.658022363186134,65.28328131374984
66,86973,87278,305,-8.406581887398517,-2.029395321040937,76.42814628254898
67,90031,90770,739,4.640698397405714,-4.271669870056286,-47.37105395071196
68,99012,99559,547,4.497885417375258,-6.952888749813084,-32.89918648049079
69,99672,100215,543,-3.281451975149139,-3.382881877966028,44.12803637881477
70,101097,101242,145,1.3698402940549244,-2.236007548873772,-31.492792135471372
71,103395,103618,223,-9.421373754282627,-3.205924638400532,71.20748086208222
72,103749,103875,126,3.0866738652334362,-1.0387723106739344,-71.40013692168175
73,103907,104157,250,1.213535883776018,-3.1693210221549464,-20.951888217829985
74,104180,104384,204,-8.758520404583038,-1.66381655486056,79.24394172172688
75,104672,104779,107,-0.5993948077884994,-1.4337597819627632,22.687758444761275
76,104803,105764,961,-7.550658883277663,-2.3280635377603005,72.8641155160757
77,111650,111816,166,-5.913823761955172,-1.4399696673387012,76.31522895304813
