,start,end,length,delta_x,delta_y,angle
0,66,113,47,3.113380680131982,-3.6312690380783152,-40.60915579051124
1,137,354,217,2.4124258341363003,-9.449358754087243,-14.321715832011064
2,405,494,89,-1.848780074639862,-1.0778964156932176,59.75648163885417
3,511,676,165,-10.813189146384971,1.1504400316459424,-83.92701566762972
4,686,848,162,-13.806779917811042,-5.391602273880579,68.66915777205637
5,916,1350,434,-11.61609684131514,-10.11358346841736,48.95545941418744
6,1380,1881,501,-5.2298311554599195,2.0779689633868514,-68.33058946746814
7,1882,2342,460,3.2866084521134837,-4.0755785287663,-38.88323207280292
8,2365,2706,341,-1.063470452509307,-3.1697511439327,18.546910654998914
9,2738,3060,322,-6.40333429374904,1.4843879193805236,-76.94851632608186
10,3065,3341,276,1.286447515251993,-4.811552285649114,-14.968841862169898
11,3363,3955,592,0.904188011691005,-0.4441164807789022,-63.84078446706816
12,4007,4382,375,-4.248929292540538,1.0097193634356785,-76.63214009990469
13,5383,6462,1079,-0.1361690418621606,-2.3490923015670973,3.3175326826690843
14,6488,7293,805,1.9947225975851524,-3.5850975690913174,-29.09124932750134
15,7322,7530,208,6.504835588496789,-3.435428623218911,-62.159916471383646
16,7554,8359,805,4.17620757345766,-5.1387485718426404,-39.10040215748841
17,8600,8982,382,3.167856883622264,-6.41913644891288,-26.266432812624046
18,9475,10503,1028,1.256911936079888,-4.268387587249066,-16.40811761000997
19,10523,11387,864,5.13515928884172,-5.748751716813118,-41.773303087679636
20,11480,12257,777,3.2749554471249382,-4.13321875171961,-38.39154160996332
21,12289,13591,1302,3.069149769946364,-6.12004389057806,-26.633374054604296
22,13823,14206,383,2.970707674970882,-3.3233971484202414,-41.792791254193
23,14243,14726,483,2.347907951199801,-2.6370184303935957,-41.680738353349064
24,14880,15614,734,3.8096147483581433,-2.8186316191496417,-53.50325588609621
25,15656,16156,500,2.485344075604189,-6.162222271358644,-21.965178716269758
26,16196,17244,1048,3.5980617991480415,-3.887825452845661,-42.7833021598863
27,18003,18772,769,1.8840076164455297,-5.111350519425031,-20.23352938618131
28,18865,19338,473,2.399870184642836,-5.064470749382522,-25.354587075850983
29,19364,20039,675,1.8232424780395178,-3.816216533972522,-25.536689033284787
30,20072,21292,1220,1.4808167983652964,-7.252889972600485,-11.539437617950494
31,21817,22627,810,0.8420656576487033,-6.268271953227696,-7.651180488357869
32,25607,26297,690,2.0684337898237857,-5.111211775091192,-22.032470200155064
33,26327,28847,2520,4.321828521860709,-11.100025135424161,-21.273602176687916
34,29790,30102,312,1.1827294995841413,-2.1813266038318346,-28.466837753091554
35,30432,30580,148,0.7899315638664319,-6.54795097071792,-6.878805226774758
36,30603,30777,174,2.4087160225998474,-6.759434410240246,-19.613462018042984
37,30967,31560,593,7.130855681988962,-5.6084562000531974,-51.814759831342904
38,31579,32451,872,7.692634400871015,-6.077434320033973,-51.69010353381807
39,32478,32775,297,1.4778469691776195,-4.243255875949274,-19.202275197244077
40,32798,33653,855,2.8198794471866364,-3.070856462193305,-42.56036724425679
41,33684,34624,940,3.094195924515148,-2.5593095595546913,-50.40474867326354
42,34647,35065,418,2.50938701260705,-3.158244046366619,-38.46894452838487
43,35096,35550,454,2.3834167881069135,-2.866124770026687,-39.746289061712815
44,35755,37114,1359,2.5875603850543314,-5.151620790103081,-26.669501480869947
45,37155,37979,824,1.925372208349458,-4.851098257607958,-21.64783522668361
46,38010,38617,607,1.8162487184327603,-4.240345770000403,-23.18669093441614
47,38682,39460,778,1.8091040609991609,-4.736533665395527,-20.904198811237503
48,39481,40366,885,3.431724711386167,-4.41603667884732,-37.85096214090031
49,40593,41792,1199,3.081959202865235,-6.066359983640396,-26.932433832591872
50,42139,43522,1383,2.716178272631936,-7.452553112711726,-20.024915959973363
