,start,end,length,delta_x,delta_y,angle
0,189,419,230,-13.593850151333015,-10.732834722764593,51.707635655438416
1,442,619,177,-17.148595890481147,-6.6409558399114985,68.83063454634272
2,749,940,191,-25.905293722535347,-4.327969692929784,80.51525420615557
3,956,1121,165,-16.10067734445508,-15.609499854707622,45.887416888031474
4,1158,1336,178,-7.535248076686202,-1.7113824520451573,77.20422200788032
5,1365,1466,101,-15.172590781540436,-5.043797234065977,71.61173748178325
6,1488,1590,102,-16.08564675070747,0.3925446842685716,-88.60206487629866
7,1719,1963,244,-36.472312483475775,-10.92353855352178,73.32692512849174
8,1987,2127,140,-21.028060086071804,-6.852133675357237,71.95145506777061
9,2204,2398,194,-45.18884500649561,-8.317006348652669,79.5714212288363
10,2429,2545,116,-16.78318510797949,-5.739561360164075,71.12019211749617
11,2576,2778,202,-26.914686637182157,-9.571563304441867,70.42328926153095
12,2797,2941,144,-18.853464149970748,-6.631191710075299,70.6220681939763
13,2964,3130,166,-21.41095042454441,-7.854033952061002,69.85578974372932
14,3234,3489,255,-31.320607626785616,-13.06346773794877,67.35954033229378
15,3509,3634,125,-15.598158084342572,-4.385943348851143,74.29489764802122
16,3675,3882,207,-27.18276401305323,-9.673641564664493,70.41067312505668
17,3905,4145,240,-28.43793314226481,-8.371550596507745,73.59664085806335
18,4183,4355,172,-18.229759160784383,-4.32705230435792,76.6472657985441
19,4382,4567,185,-18.38312443651168,-5.704532005256709,72.76017695325578
20,4636,4899,263,-26.50186833961878,-6.751263018494484,75.7080768938123
21,4933,5114,181,-17.088460316516063,-3.7279148438625924,77.69350924061035
22,5144,5234,90,-10.31129935232363,-1.2598799092037893,83.0338785106834
23,5280,5578,298,-29.50941570563306,-7.595657591550079,75.56552850743466
24,5615,5827,212,-15.909801015744677,-3.905084182324785,76.20929883967095
25,5882,6061,179,-26.108733947527668,-7.481641025854373,74.0099730247953
26,6113,6235,122,-12.858720319787636,-3.3089019934495383,75.56930570173563
27,6288,6450,162,-19.835371734169982,-7.167185216156355,70.13351201679203
28,6522,6742,220,-28.665552484122543,-6.850098032638968,76.56028646944529
29,6803,7022,219,-22.885202912363738,-12.704719624337073,60.96315672270095
30,7091,7287,196,-26.16238464743799,-9.681148504375244,69.69347252964032
31,7302,7405,103,-11.76846673239119,-4.1084128253886405,70.75572706139641
32,7427,7657,230,-27.617085749628572,-15.044536296379107,61.42045467242568
33,7683,7790,107,-14.925028115328018,-5.819531852508447,68.69831201512704
34,7814,8548,734,-31.849233935443323,-14.928004282099423,64.88711809086054
35,8621,9040,419,-4.972456848011163,-2.8388617380034873,60.277205637166695
36,9051,11202,2151,-2.7543454090646406,-13.532895056611423,11.504255701290132
37,11420,11659,239,-7.1075888770027404,5.59002664926183,-51.81540770612328
38,11784,12890,1106,-4.86024682134294,-6.884386441682594,35.22136961000508
