,start,end,length,delta_x,delta_y,angle,interval
0,284,621,337,-3.585577818269954,-0.14384705443038115,2.2973735699478723,284
1,664,4858,4194,-6.383704304460892,3.1359457246381055,-26.162224263571748,43
2,5455,6793,1338,-3.881004213309083,-0.9894049170532782,14.302070307174214,597
3,6875,11792,4917,-5.863926519750379,3.675111924673601,-32.076699320039445,82
4,11857,18315,6458,-4.225707672914126,0.4474381472692954,-6.044229948585429,65
5,19062,24917,5855,-4.537377190986987,3.153089619919342,-34.79600069529949,747
6,61977,69408,7431,-3.4390710571062755,2.3748626845681713,-34.62715591407567,37060
7,89341,95114,5773,-5.199344988480718,1.1172962033909073,-12.127950328257391,19933
8,102231,105565,3334,-3.075215496054682,1.7214887972524622,-29.239863263039194,7117
9,140009,140470,461,-1.3848213209199116,-1.2854123393631767,42.86794466607012,34444
10,140977,141131,154,-5.056515018441871,-3.762184714276799,36.65025063903535,507
11,143289,145266,1977,-0.6168395603130108,4.999350309499022,-82.96617036969057,2158
12,146681,147086,405,-2.485265071465662,1.7486246554153837,-35.1300979216247,1415
13,147532,148379,847,-0.8801190862716055,2.0812300128076515,-67.07727074080724,446
14,152532,154610,2078,-4.355965961859738,4.418522902100875,-45.408478258409794,4153
15,162427,165799,3372,-1.0652653140468828,9.135413800853343,-83.34887274244466,7817
