,start,end,length,delta_x,delta_y,angle,interval
0,386,488,102,-3.6127702913908024,-2.4266403125149907,33.88862943367187,386
1,509,579,70,-5.026604350912692,-3.42569603091232,34.2749372860856,21
2,606,637,31,-2.6236517980553344,0.3693935258379355,-8.014204462740121,27
3,655,698,43,-2.538076605619267,-2.3360292306632857,42.62626455303278,18
4,718,919,201,-7.295281926031834,-1.2251567597180042,9.533193907173992,20
5,943,984,41,-4.443147548975588,-1.5887582599470988,19.67577754175293,24
6,996,1160,164,-9.400521065451386,-1.6510596165427813,9.961538075560517,12
7,1184,1220,36,-2.188154270773566,0.6906868960643209,-17.518206240593617,24
8,1243,1390,147,-8.634616157461323,-1.2449170998488768,8.204224721966407,23
9,1408,3713,2305,-17.128374759772584,1.9864578871471963,-6.615306774547928,18
10,3761,7631,3870,-17.665912333999543,-1.8965011299654009,6.127446848004913,48
11,7709,12677,4968,-8.142564782641927,-0.1674866036326108,1.1783661210648466,78
12,12714,12809,95,0.10348793811701285,-0.4958803764029369,-78.21183225020877,37
13,12842,15854,3012,-8.176730088981728,2.1437561961417373,-14.691025923780906,33
14,15891,18594,2703,-10.080043896506652,-1.1749481083813578,6.648497507757033,37
15,33482,38568,5086,-0.6714207705119009,5.266558020935719,-82.73469142600437,14888
16,39810,43471,3661,-2.666638524236774,6.2686871774754565,-66.95557088569464,1242
17,43549,50029,6480,-3.9592774863831153,-1.9171214602852444,25.8367263797932,78
18,50439,50657,218,-1.219949775060357,-2.5568663601931547,64.49293410371078,410
19,50680,54951,4271,-0.4756983597373221,2.355148596463664,-78.58089952591565,23
20,55351,55458,107,-1.6546464939531802,-0.28341310781001994,9.71948567719168,400
21,55487,56021,534,-5.2922723597559695,-1.6547372103233755,17.362921699642712,29
22,57841,59552,1711,-1.1301581817149042,-0.006347437012749424,0.32179347414376774,1820
23,60208,65090,4882,-4.012130572102052,-2.2633991214183027,29.429037809973902,656
24,65176,65366,190,-1.8376063284395059,1.9459342176175483,-46.640007715850714,86
25,65410,66315,905,-1.1550085286525302,-0.7016397376980734,31.277668180142474,44
26,69216,76981,7765,-11.232324785411436,-1.1643757167041144,5.91830949462658,2901
27,77178,77321,143,-0.29568736226710257,-3.7808283367934337,85.5281694008737,197
28,77354,81639,4285,-3.849573219368523,2.4392104676161637,-32.35963071959944,33
29,81691,85840,4149,-4.96147668345094,0.008274323792093696,-0.0955528811967118,52
30,85937,86217,280,-8.249385049187055,-9.565316707800164,49.224636745720986,97
31,86252,86296,44,-0.0010143063840075683,-0.45395068398563865,89.87197865258761,35
32,86315,86523,208,-3.2693247409879405,-4.329710484251976,52.94388040817014,19
33,86543,86753,210,-1.9318484649743652,-1.0718324009195328,29.022485544075778,20
34,86781,93591,6810,-11.038276513867373,1.5403667793210474,-7.94419556534025,28
35,93646,96797,3151,-7.0415559800752305,-2.8649596172711824,22.139665773627314,55
36,97158,97209,51,-0.6059809379225385,-4.755062695256569,82.73742474922197,361
37,97402,97468,66,-0.16633228260965893,-0.839605387895503,78.79435677108617,193
38,97488,97560,72,-2.3758428337847306,0.21301407808951467,-5.1233444670347765,20
39,97575,97692,117,-3.9076701971626164,-2.917237026635462,36.74285731452904,15
40,97721,99071,1350,-7.3666097901414105,-0.47892137151809777,3.7197044655065,29
41,99977,105454,5477,-10.86233126396209,1.8455755799626559,-9.642812371552527,906
42,105518,112443,6925,-7.338607134549932,2.155573646856297,-16.369128873591148,64
43,112517,115593,3076,-3.0933985780938826,1.3916316592867446,-24.221619288446515,74
44,115915,115991,76,0.7918340170252804,0.4082458245879792,27.27427165494185,322
45,116009,127639,11630,-4.922364573727762,4.209610958912279,-40.53709384039294,18
46,127687,129350,1663,-3.2993819878984993,-0.4726630017136415,8.152611493334678,48
47,137391,145031,7640,-7.189557465660954,5.0804380533834745,-35.246604749570864,8041
48,145205,145500,295,-1.3172545493262646,-3.392351755384965,68.77874469533734,174
49,145540,145774,234,-2.5540836759601007,0.09740433678030058,-2.1840138597517624,40
50,145801,150949,5148,-6.832573564608964,-0.8229064071073822,6.86755203737053,27
51,152356,152540,184,-1.0445522305052748,-3.011304690533862,70.86951787812208,1407
52,152567,158038,5471,-4.7509505672066155,-1.6649413223874063,19.312697604550348,27
53,158692,158768,76,-1.92856118874883,-5.9797339237506435,72.1246467890207,654
54,160491,160549,58,-2.5815967061430456,0.29288833040681084,-6.472667255665299,1723
55,160573,160788,215,-11.137542055741676,-8.821569256478597,38.38123432947024,24
56,160921,161031,110,-1.3747740088633407,-2.148529907006264,57.386151499494446,133
57,161516,161609,93,-1.0186242641302101,-4.549599405370557,77.3799913410901,485
58,161925,162016,91,6.400667076498962,-2.7470943499830867,-23.22846567606503,316
59,164612,165024,412,-0.2926917608515396,-0.49284429388266915,59.29465115062171,2596
60,165975,166810,835,0.25179282085159116,2.5861172938462715,84.4390236449797,951
61,167076,167842,766,0.22135681457422152,-0.012699533057627832,-3.283535214005672,266
62,175193,179768,4575,1.5441990659345919,3.7549849592839877,67.64558720218234,7351
0,646,858,212,-4.940256847737402,-5.546091474512949,48.30651081199185,646
1,888,1326,438,-2.0226856642134976,0.6250408997111236,-17.171951362324787,30
2,1357,1632,275,-2.0869269332669944,-1.285226841572296,31.62669709675885,31
3,1664,5206,3542,-7.596569150978993,4.078079194981754,-28.228313751927306,32
4,5241,9928,4687,-7.851434893957219,1.920105570452435,-13.742230971830525,35
5,10045,10410,365,-2.1781668029537116,-0.42579107069838074,11.06077775133786,117
6,10453,18128,7675,-4.814228295008888,1.0749976112323765,-12.587418582678845,43
