,start,end,length,delta_x,delta_y,angle,interval
0,102,153,51,-7.059503808319789,-0.20446444707035027,1.6589941907960766,102
1,168,213,45,-4.067220444237321,-2.41448738497067,30.69529837597378,15
2,229,273,44,-4.8427742871877655,-0.39361471966586237,4.646715801989684,16
3,291,337,46,-7.533703790257363,-1.764078667129425,13.178836304321786,18
4,352,592,240,-19.997233103383806,-3.5037080180489397,9.937899671693563,15
5,612,910,298,-28.23169679871205,-10.878407761756677,21.072972726716664,20
6,1390,1432,42,-6.535424959853458,-1.7999010825871977,15.3979231374086,480
7,1451,1660,209,-28.307492290229376,-0.8673470436223596,1.7550047011726826,19
8,1680,1765,85,-10.194854514954429,-1.2753567884650607,7.130549744531762,20
9,1847,1887,40,-6.568409021735604,-0.21942198794299372,1.9132913957216824,82
10,1905,2151,246,-32.84106529205725,-9.305654018266083,15.820301047822625,18
11,2238,2306,68,-9.849439258627669,0.6647098892419763,-3.8608704705686234,87
12,2327,2379,52,-7.714193990723913,-2.1297473951951815,15.433851945974274,21
13,2395,2464,69,-10.583475516672351,-2.9918400350555316,15.785053747323959,16
14,2474,2576,102,-16.24746065900169,-6.0159901899011174,20.318212711166726,10
15,2601,2670,69,-11.05610140751564,-1.6017206029510334,8.24320973881998,25
16,2684,2760,76,-11.364021208992938,-3.836736052582708,18.655779795150302,14
17,2777,2857,80,-8.847718077550226,-4.87810686903812,28.869735476190495,17
18,2877,2938,61,-9.033062210607639,-1.8562643329557602,11.612433754895108,20
19,2959,3015,56,-7.711018287527324,-0.33128909306040555,2.4600902515423124,21
20,3035,3190,155,-20.524767722427868,-5.030403915906376,13.771135171574915,20
21,3206,3265,59,-8.076883602302885,-0.1595630758239821,1.1317609843034502,16
22,3296,3359,63,-8.782188291488794,-0.06449378086544755,0.4207556135449428,31
23,3381,5361,1980,-44.064085984856646,-7.563749403737262,9.740091076498494,22
24,5957,7121,1164,-2.768713047256611,-6.060686543289478,65.4475821196203,596
25,7228,9000,1772,-6.882877254101416,-4.473015022223365,33.01886272847964,107
26,9059,9423,364,-5.901017130970487,-2.293814399198098,21.241855154249443,59
27,9463,9500,37,-0.15511737030529105,-0.6115646128915131,75.76762594022709,40
28,9519,9572,53,-2.3642062949990077,0.8001038624881147,-18.69704677225014,19
29,9593,9653,60,-4.624646097953956,-1.4348458113619529,17.2370611972102,21
30,9673,9763,90,-7.380837508559978,-0.44477152233827155,3.448491032136687,20
31,9782,13445,3663,-32.59984340768821,-8.44799704198843,14.528173452680548,19
32,13519,13585,66,-0.0753493546703794,-0.02889181987485756,20.978731170743742,74
33,13608,16766,3158,-20.283973151507823,-6.954641868330256,18.924990155355985,23
34,16827,17067,240,-4.003937479567057,-1.2905919494230602,17.865724317874495,61
35,17289,17315,26,-0.7759023535922722,-0.5812759063614266,36.839125541274335,222
36,17330,17375,45,-2.000668038386152,0.3921241903073138,-11.089209510311255,15
37,17397,17448,51,-2.883319425069743,-1.709768980317321,30.66736103852666,22
38,18676,19444,768,-14.595032007627537,-4.7863190412110015,18.15647252207976,1228
39,19479,19840,361,-4.712322384544834,-1.4363198496500615,16.951265763870264,35
40,19873,23533,3660,-15.70791651533574,-9.40720937052312,30.91668894057165,33
41,23592,23690,98,-1.2072275717783612,-1.4986826038207965,51.14765801908717,59
42,23708,27129,3421,-19.10541855558786,-8.255513872350221,23.36933074965896,18
43,27923,27976,53,-3.430490291875529,-0.2856703824492257,4.760261155691202,794
44,27999,28142,143,-10.262389309386876,2.8839167871406204,-15.696322312223277,23
45,28161,28659,498,-15.272286043572123,1.2894993560440184,-4.826261452019017,19
46,28691,30324,1633,-11.789980172864574,-0.6082820856899787,2.9534504239287522,32
47,31646,31740,94,-6.269936133703638,2.237190107973433,-19.63702342935198,1322
48,32301,32336,35,-1.6238377868844083,-0.3150270437986791,10.979087190388059,561
49,32353,32431,78,-3.9906826241768414,2.139025148790026,-28.191523207658214,17
50,32455,32513,58,-5.630490179225646,0.7454480571744142,-7.541806531772552,24
51,32541,32645,104,-7.549100117976963,1.86806712376287,-13.898953825159177,28
52,35113,37926,2813,-4.86802100344029,-5.793243213964118,49.95990362891884,2468
53,37979,38112,133,-1.3231226103391407,0.05261557167483488,-2.2772361399382866,53
54,38158,38259,101,-1.077747170017588,-0.8448912800471646,38.09438816903495,46
55,38354,38408,54,-1.1676974854290023,-0.7512973105642828,32.757255008497964,95
