,start,end,length,delta_x,delta_y,angle,interval
0,249,295,46,-0.6805010578891455,-1.6431823992325434,67.50379115533218,249
1,312,358,46,-1.6551431401317416,-0.7973908738312332,25.72316317049464,17
2,376,445,69,-4.856820214323861,-1.6633246238862398,18.90489291697723,18
3,493,521,28,-2.29582561009002,-1.5950834728148067,34.790627633281105,48
4,540,598,58,-6.081946227597186,-3.2471500703274643,28.097751055868585,19
5,612,689,77,-8.127939826116176,-4.87085034385089,30.93309519902262,14
6,708,781,73,-6.750646438926822,-2.3645753547168766,19.304026454330593,19
7,803,854,51,-6.575397299743486,-2.8797020074056405,23.651064476391863,22
8,872,934,62,-8.288139196694658,-2.5629557202277624,17.1832687698727,18
9,953,1057,104,-13.782463732157751,-6.090520971013845,23.840810084335544,19
10,1076,1224,148,-17.876359140894806,-6.308319728479674,19.43723172619481,19
11,1241,1341,100,-12.854552153609873,-3.213335412768373,14.034973932392601,17
12,1361,1403,42,-6.458699598170199,-0.8144612158991151,7.187231290122223,20
13,1415,1544,129,-14.601820222942862,-1.7491354100401395,6.830847459038422,12
14,1560,1593,33,-2.7786967614781304,-0.6956024500299236,14.054256543311894,16
15,1603,1665,62,-7.891138371279624,-1.5408495567107394,11.048740496300784,10
16,1678,1705,27,-3.672960392986539,-0.5514322741193212,8.53821371632338,13
17,1721,1765,44,-6.54909169621024,-3.126445055186764,25.519158770991655,16
18,1780,1810,30,-4.710632062338007,-0.43301272111644096,5.252007478414646,15
19,1829,1874,45,-7.695770238536639,-1.256253162714657,9.271157784803222,19
20,1890,1995,105,-13.498197710454122,-6.44540334636342,25.524523539654172,16
21,2014,2079,65,-7.607109517314541,-1.8356287792885126,13.566377017645607,19
22,2101,2154,53,-8.15850638627144,-2.0604758665893144,14.173968217243331,22
23,2167,2207,40,-7.118194881076093,-3.6319846400165403,27.032473245860427,13
24,2225,2334,109,-14.508960712250769,-6.473677558108037,24.045701778597238,18
25,2355,2433,78,-11.555260080686978,-1.691844312711325,8.32968260345504,21
26,2453,2785,332,-31.350559726778215,-8.477006551666122,15.13061933598496,20
27,2812,3271,459,-18.378844486520165,-3.1162155091168415,9.623234338234312,27
28,3306,3356,50,-0.9155625574049395,0.4234129872184127,-24.818752666815993,35
29,4299,5363,1064,-13.673570037329597,-2.3970093902384093,9.943055005672226,943
30,5839,5946,107,-4.403752744214273,-0.17388385661624284,2.2611710667165044,476
31,5974,6109,135,-6.140202249687505,-1.3198004818331128,12.13082091118702,28
32,6255,6453,198,-7.895934051266607,-4.241594137212644,28.24411970132353,146
33,6494,6684,190,-9.939748736676478,-2.5288537095341894,14.27425198913402,41
34,6709,9823,3114,-33.705807428057796,-1.4643090514553165,2.487583360770872,25
35,9876,12360,2484,-11.496362947448304,-3.09781189928799,15.080742747641057,53
36,12425,12729,304,-3.625973221039999,-2.7918720961309447,37.59500847404767,65
37,12766,12866,100,-3.8065656722581878,-1.0026484493442922,14.756521899103664,37
38,12888,12948,60,-3.224514220464485,0.6676188177736577,-11.697512832927332,22
39,12970,13169,199,-9.018609632993318,-3.931733563841348,23.55517185020286,22
40,13195,20560,7365,-22.43477780704491,-2.390119935785407,6.08114695823582,26
41,20658,27315,6657,-11.413285096376157,-2.2991236745483263,11.389395163942686,98
42,27396,28697,1301,-4.887119719255182,0.1379248101943773,-1.6165784526461404,81
43,28750,29409,659,-1.9475248455331382,-1.3572892212743568,34.873811946417156,53
44,30692,31950,1258,-5.583026574131836,-2.658940043073045,25.466322789004135,1283
45,32022,32362,340,-2.8867444434412874,-2.1278769302178375,36.394668136216325,72
46,32416,41054,8638,-11.909058391096266,-3.43722433525609,16.099339411448156,54
47,41182,45523,4341,-2.879515653085406,-1.9071974892190724,33.51781256931081,128
48,45634,45878,244,-3.040588021458035,-0.6167109527815029,11.465549493572848,111
49,46794,47024,230,0.37883555550946824,-2.1253511626871386,-79.89339330645052,916
50,47203,47626,423,-1.9012503548654962,-0.9288595054218689,26.037910608329295,179
51,56089,67462,11373,-2.4666330293566716,-2.835157089297496,48.9761976966731,8463
52,67602,73471,5869,-4.186653230872949,-5.3362655624010245,51.883470353390585,140
53,74049,77153,3104,-4.896448043469576,1.0354450651571625,-11.940346396355027,578
54,77331,79164,1833,-3.8939606128843707,-1.2175980012847418,17.363880886054186,178
55,79340,83364,4024,-5.274165595626883,-1.2615272551529984,13.451838991800214,176
56,83431,86237,2806,-4.615173667407703,-4.09033187715616,41.54989991330906,67
57,86318,90707,4389,-3.8572377467302914,-2.560656456517492,33.57849630234045,81
58,90801,92337,1536,-1.2184784139520843,-3.5761238270050058,71.18468793302964,94
59,99123,99330,207,-2.309869261206856,-2.443678853689761,46.61241680400326,6786
60,105699,109831,4132,-4.087983010003214,-5.346171248379292,52.59643949557934,6369
61,115470,116324,854,-5.4578951380852345,-6.332797952286938,49.24373173611146,5639
62,141297,143181,1884,-2.6106675572395233,-1.3798127157939035,27.85773686941766,24973
63,156516,156929,413,-3.8019789475415138,-3.4400607035215955,42.13904480776082,13335
64,181943,182223,280,-1.9222787101580678,-4.272841865784599,65.77783195851617,25014
65,198760,199642,882,-3.0554591720166115,-6.364250722904984,64.35446644673732,16537
66,218119,219323,1204,-2.6353409074271923,-0.9653432981638304,20.11812610454752,18477
67,230247,233289,3042,-2.7003069052178716,-4.997485052898355,61.61617655468804,10924
68,241110,242184,1074,-3.5340797830454562,-4.000293475233477,48.540846908756144,7821
69,245164,245319,155,-3.7466321149756965,-4.723250760182594,51.577434913464536,2980
70,245349,248384,3035,-10.28649160835461,0.02273532729951455,-0.12663561382906147,30
71,248509,249952,1443,-3.0895851943772357,-2.0883637239868165,34.056200243551565,125
72,250027,250337,310,-2.663493094099195,-4.573742758649786,59.785860758391166,75
73,250419,256915,6496,-16.048813674766194,-14.120914841049967,41.343670079014295,82
74,256997,257766,769,-2.0967363514402138,0.7505695000267707,-19.69586286819939,82
75,258841,260527,1686,-7.365233091822759,-0.8301534812611209,6.430806914714229,1075
76,265400,267505,2105,-4.060935541974914,-5.110542276398888,51.52866822202681,4873
0,209,344,135,-1.7171369284542095,-0.5965357881820097,19.15729898349104,209
1,383,477,94,-4.259048861032596,-2.7519272002044346,32.86798041590151,39
2,503,555,52,-4.187945232354096,-3.1173994045512075,36.66305482307638,26
3,572,672,100,-8.502852281163399,-3.1825785041376093,20.520643664872814,17
4,691,813,122,-12.851015341599748,-6.223478575926251,25.839938453889747,19
5,834,910,76,-10.47349418325686,-5.800388447248693,28.9783846825107,21
6,933,994,61,-9.46820252342637,-4.64473203549538,26.13077344015386,23
7,1018,1072,54,-8.144265831147564,-3.5534464466959435,23.572253547413325,24
8,1089,1127,38,-4.722630066604765,-4.858752284973306,45.81394350652596,17
9,1140,1199,59,-8.888021625984095,-1.5363238911602792,9.806860302885747,13
10,1267,1345,78,-10.085606970731163,-5.744529020108061,29.664840881807095,68
11,1364,1393,29,-3.5429021562834038,-3.5395426835738277,44.97282243666356,19
12,1408,1444,36,-5.3255627334618225,-1.57613057188955,16.486419207089888,15
13,1460,1497,37,-6.582331531039316,-0.7722450586081919,6.691403700372767,16
14,1510,1609,99,-15.220365193536836,-5.0829089590637295,18.46697240125033,13
15,1636,1687,51,-8.351931696914761,-0.6067592353224427,4.1551794578066605,27
16,2009,2079,70,-5.688328179850544,-1.1546295461197502,11.47413522321763,322
17,2103,2148,45,-4.565604059778167,-2.2563421826881864,26.298790810693866,24
18,2169,2263,94,-11.32492488365476,-4.221744755750109,20.444623438044946,21
19,2282,2391,109,-16.297112687249026,-1.9854716210926426,6.946094319663395,19
20,2410,2461,51,-7.726726867556863,-2.612919564750328,18.68381035694638,19
21,2481,2793,312,-23.35057626036135,-8.419440331447447,19.827615654083925,20
22,2820,3133,313,-19.70552371607642,-4.898473247421634,13.959846880565054,27
23,3298,3392,94,-10.402202659807926,-5.362773414085083,27.273011080407198,165
24,3403,3440,37,-4.617441736838629,-2.6238519283486994,29.607316225614575,11
25,3457,3494,37,-5.074792004554794,-5.07958040155701,45.02701840227555,17
26,3512,3619,107,-11.226848875700426,-9.01470489163404,38.763053306242476,18
27,3642,3694,52,-7.469443425864043,1.6386635849202662,-12.373655741369726,23
28,3709,3921,212,-19.208564055704414,-6.595713950183281,18.951118912421855,15
29,3943,4061,118,-10.289084081620373,-6.288100121113203,31.430889434488076,22
30,4088,4258,170,-18.18939023826408,-6.4836809590953095,19.61881273365871,27
31,4279,4549,270,-22.85952659535188,-6.4965100167762415,15.86476144648999,21
32,4647,6350,1703,-15.926089303839547,-3.510585761161323,12.430908982029743,98
33,6411,6621,210,-7.869010666374905,-1.604011022154225,11.521272343947025,61
34,6647,6719,72,-3.7083843259896554,1.2371066178439492,-18.448554210703033,26
35,6744,6988,244,-11.269797319721576,-5.388888122871563,25.555765592845898,25
36,7286,7445,159,1.150741586829767,-4.63242347453712,-76.04951519361735,298
37,7887,10626,2739,-24.490241281727577,-6.9077090798864305,15.751618203569295,442
38,10681,12587,1906,-13.01419242223757,-4.188864848473287,17.84175665293681,55
39,12634,12938,304,-2.3668872613362737,-0.605479094421284,14.349248128288336,47
40,12967,15921,2954,-9.849523284974708,-4.148523406954425,22.840352568643958,29
41,15976,19159,3183,-8.204444222153683,-3.2514600686011477,21.618657184165745,55
42,19300,19371,71,-1.8514715259528742,-0.10585738198132333,3.2723080757000256,141
43,19398,19468,70,-4.231409757244421,-2.5115754684907046,30.691471836818728,27
44,19500,20224,724,-12.685386916104775,-3.994877182416076,17.480237332095932,32
45,20901,22854,1953,-5.8628784403343275,-2.308911436419919,21.49545011201257,677
46,22939,23022,83,0.8608370417686473,0.5511861617683991,32.631067446151576,85
47,23041,23400,359,5.698428621290503,-4.790961859071885,-40.05549162415225,19
48,23432,23754,322,-7.371344757764774,-2.39413409525784,17.99324336416278,32
49,24009,24365,356,-9.095200957027771,1.483844202676508,-9.265934479347441,255
50,40938,47948,7010,-7.832267581637453,-1.78815706209096,12.860571375421776,16573
51,58863,61059,2196,-1.3975793047045357,-4.882434948135852,74.02642246166972,10915
52,64113,70108,5995,-2.7639363585257968,2.722850953448088,-44.57097365348996,3054
53,70258,75003,4745,-5.439866467158339,-3.5810002160461494,33.35644058256474,150
54,75115,78968,3853,-0.969597909041596,-5.866088936566271,80.61451566358198,112
55,79054,79187,133,0.5855796552640271,-2.3860973986992775,-76.21137066724295,86
56,79214,83082,3868,-6.21449525796011,-3.3366391315929746,28.231899525147156,27
57,83182,83887,705,-2.4008920743999767,-3.963763398465275,58.796281319178036,100
58,83959,89862,5903,0.3371830461870928,-3.5053099779149193,-84.50550506930759,72
59,89913,94112,4199,-0.6740880176313055,-5.493820111642719,83.00481119220677,51
60,97867,103029,5162,-3.845706757708882,-1.6324629960686252,23.000723693574926,3755
61,103127,105300,2173,-4.458404503296904,-0.2314916382052843,2.9722726730031237,98
