,start,end,length,delta_x,delta_y,angle,interval
0,233,378,145,-0.8896265980561964,-1.4085968581875647,57.72474889455855,43.0
1,421,678,257,-2.080700891539763,-1.1480027089755396,28.88721093117562,59.0
2,737,908,171,-2.2792972013927937,-1.1957071742705097,27.681264248438616,35.0
3,943,1133,190,-4.805102658728089,-0.9914234099865951,11.658083646512372,783.0
4,1916,2115,199,-2.3767810329276813,-1.1592126820430906,25.999593312594545,364.0
5,2479,2649,170,0.19077112555305575,-0.019787537591639648,-5.921769258963594,239.0
6,2888,2969,81,-1.43773981149657,0.5342196194502691,-20.383508052267945,30.0
7,2999,3074,75,3.4916244379332966,2.334894036321643,33.77115438204409,17.0
8,3091,3289,198,-7.953191934379859,0.7487320373351452,-5.37810736211244,540.0
9,3829,3927,98,-0.5794628168124234,-0.3031466375381484,27.616366849349493,105.0
10,4032,4110,78,-2.24528870808021,0.5660297874292439,-14.149250964490298,226.0
11,4336,4532,196,-1.4859652702673998,3.5720581758829155,-67.41283893440713,192.0
12,4724,4806,82,-0.4225525876327083,-1.1090913925946495,69.14366613986643,243.0
13,5049,5168,119,0.5023648936650602,3.892412106309237,82.64590968270481,172.0
14,5340,5416,76,-0.2425414587731609,-1.6498204690582554,81.63680611437927,140.0
15,5556,5689,133,0.42144114588080583,-0.12810313683247898,-16.907408575267933,407.0
16,6096,6329,233,-2.4946886185727237,1.6236849234891366,-33.05836237003281,38.0
17,6367,6507,140,-1.347464168087086,-0.1963421167896655,8.290355134846072,383.0
18,6890,7015,125,-0.6263062425748984,-0.9658697992585275,57.039110252718686,177.0
19,7192,7244,52,-1.2554822303270328,-0.4946534409027663,21.504181179035506,285.0
20,7529,7621,92,-2.6863481519572474,-0.856278668684439,17.679781564434972,597.0
21,8218,8305,87,-3.558517439193949,-2.9600652295818435,39.75454450800158,675.0
22,8980,9055,75,0.6329401646081578,-1.787158052417368,-70.49788323746637,352.0
23,9407,9618,211,-1.1921757745055572,0.4350193491311529,-20.04678886179859,24.0
24,9642,9717,75,-1.4235831829872012,-1.2348311195116821,40.93871497631656,323.0
25,10040,10195,155,-0.9377512190659019,1.1592255852044673,-51.02900176530227,199.0
26,10394,10531,137,-2.6121009833283324,0.7918864561374477,-16.865243235956946,282.0
27,10813,10930,117,-1.1700905586189947,0.34592831256175316,-16.469910369161724,161.0
28,11091,11202,111,-3.0781461227992395,-0.16125091128189695,2.9987397491959453,395.0
29,11597,11673,76,1.152695589545047,0.2263964990877554,11.11180342255417,27.0
30,11700,11870,170,-1.2307420914508782,-1.3677660867219288,48.018513452907,1090.0
31,12960,13982,1022,-6.721862313722681,-4.3245813024924615,32.755632049855386,58.0
32,14040,14892,852,-5.401809485967419,-2.385560112140965,23.827327523664668,41.0
33,14933,15452,519,-4.879479382814097,-1.0189546691318014,11.795255489994238,497.0
34,15949,15999,50,-2.1544066405242575,0.06473427842351498,-1.7210703217279462,206.0
35,16205,16277,72,-1.674569243090687,-0.9686192717372961,30.04632977515132,19.0
36,16296,16377,81,-0.712240097662729,-0.6715500815475366,43.31571675791512,17.0
37,16394,16474,80,-0.641287912577539,0.9556095430538676,-56.13533321841262,149.0
38,16623,16749,126,-0.3995107797865529,1.9895953305407232,-78.64599960196544,396.0
39,17145,17264,119,-0.8975744444757794,1.517187189409114,-59.39125903146318,278.0
40,17542,17665,123,-0.9583325238248364,-0.7601449751941942,38.42129027392492,187.0
41,17852,17972,120,2.6701606004421308,-5.450362045729676,-63.899527069054706,319.0
42,18291,18390,99,-2.441283904855922,0.14539845259595552,-3.4084066979743626,1872.0
43,20262,21837,1575,-1.4329831066569625,-4.752334011992517,73.22023455829996,60.0
44,21897,22091,194,-1.1334710462214161,1.0653861453948963,-43.22647350460417,91.0
45,22182,22251,69,-0.30743297171063944,-3.0788349809728714,84.29770807186851,16.0
46,22267,22386,119,-0.860189869447197,-3.2494603612980484,75.17288403184888,1850.0
47,24236,25021,785,1.3025216157397779,-7.2205991367652445,-79.77440105285997,127.0
48,25148,26385,1237,-0.1079002352495877,-2.0307234023840834,86.95851241670061,60.0
49,26445,27958,1513,4.922200141072437,-4.583156256768007,-42.95719898223984,51.0
50,28009,28127,118,0.4908368232326268,-2.288954372134171,-77.89694816762466,1657.0
51,29784,29883,99,-0.368087259539962,0.7025935561261605,-62.350053259815255,3782.0
52,33665,33733,68,5.3663967718634495,-4.569840963749769,-40.41658600106315,29.0
53,33762,33931,169,0.910980378944501,-2.094148116104904,-66.49036279485763,6193.0
54,40124,40208,84,0.8295077721810884,1.3597756582783092,58.61543869626055,20.0
55,40228,40331,103,2.7195803107155996,-2.583115411883,-43.52581823851295,5008.0
56,45339,45607,268,-0.6427173454560773,-1.3084462012972438,63.83942685089239,3690.0
57,49297,50661,1364,-2.358963787854904,-1.2579141015888666,28.068706389923047,6848.0
58,57509,57749,240,-1.8254992887665225,-2.138931306202764,49.520461126996565,867.0
59,58616,59407,791,-0.987994634679481,2.559372576589098,-68.89191498977478,5143.0
60,64550,65914,1364,3.876929016498096,-4.535314633191106,-49.47514097900725,2004.0
61,67918,70408,2490,2.6246161168685944,-8.059969333296735,-71.96288608588542,58.0
62,70466,71113,647,4.16273907009527,-4.945371055351529,-49.9111872706416,41.0
63,71154,74921,3767,4.331251444356965,-6.7605532019684915,-57.35372516635047,51.0
64,74972,75445,473,3.119107300768917,-0.33923030569295065,-6.207022618653469,4773.0
65,80218,80871,653,0.7459268726328645,-4.719874269315142,-81.01927741220499,3093.0
66,83964,86288,2324,1.7865792359206836,-3.293345462701623,-61.520984463146114,67.0
