,start,end,length,delta_x,delta_y,angle,interval
0,117,368,251,-2.6759430175071515,-5.396445687410363,63.62450276871301,117
1,408,828,420,-6.849899501151668,-1.2515073519229105,10.353995145182886,40
2,868,1656,788,-5.573326827521399,-2.9237916896444176,27.68170050636259,40
3,3606,3757,151,-4.5689110995272415,-0.15574669635101657,1.9523632918163505,1950
4,5312,6463,1151,-7.722743920502566,0.4432647693617042,-3.2850196511877163,1555
5,6509,7313,804,-7.578462013677722,0.4208233625607818,-3.178305329376786,46
6,7346,7784,438,-6.863842172290518,0.38300786508072804,-3.1938380058046265,33
7,9038,10092,1054,-5.683960783527041,-1.2913247981708906,12.799622251940496,1254
8,10156,11629,1473,-8.699930361683343,-3.3266259304698025,20.92554728901734,64
9,11726,12870,1144,-6.296123095779976,-1.6040045435658215,14.292675776650098,97
10,12923,14064,1141,-7.252343897698836,-0.758802242235916,5.973041827683406,53
11,14118,14326,208,-3.2709803839797758,0.252775137726303,-4.418926274286912,54
12,14371,15845,1474,-8.066564872057228,-2.9225842222981697,19.91587726993063,45
13,15936,17097,1161,-5.40998395831997,-2.747196341871259,26.921514858802244,91
14,17146,18895,1749,-4.798121426520268,-4.916086440189105,45.69574022914524,49
15,20355,20981,626,-6.7384687762152,0.3680399775349201,-3.126260166980276,1460
16,21040,22582,1542,-2.6605017881477124,-2.658664452261604,44.98020900590859,59
17,25912,27489,1577,-3.006573902649137,-0.9449698363164458,17.4479968056047,3330
18,30629,31202,573,-4.920654323735093,0.669261792160114,-7.745314227739024,3140
19,35071,38067,2996,-5.418055851722315,-2.3091901896522273,23.083835213767617,3869
20,38136,39766,1630,-2.974154112756082,-0.5784968457916335,11.007051052968002,69
21,40633,42717,2084,-3.114561243075272,-1.579671129557994,26.893621148546895,867
22,45472,52173,6701,-5.682688745833005,-7.105221036387235,51.347509415504376,2755
23,53365,56899,3534,-2.551975614322089,-1.7019877653922748,33.70049103357943,1192
24,101574,102285,711,-2.55596268562887,-0.406051380238992,9.026822559949126,44675
25,102325,103052,727,-4.493314950452358,-0.6492033251205243,8.221319463815782,40
26,103210,104547,1337,-2.649561098389327,0.39006706224516563,-8.374897165073763,158
27,105110,106690,1580,-1.488118435048122,-0.36294155758884017,13.706446486436226,563
28,110779,112697,1918,-0.5961175342255984,-1.9659371798367147,73.13148522517857,4089
29,113127,115631,2504,-0.33017229351385424,0.30675410264193204,-42.89432597192632,430
30,119028,120170,1142,-1.4954865161084143,2.213060816225024,-55.95094941357539,3397
31,130988,134302,3314,-5.6075628772497765,-0.6848293355876223,6.962825819592018,10818
32,134379,140293,5914,-1.1628681927523132,-4.506854196987504,75.5319819604687,77
33,150931,152853,1922,2.8152165359619943,-0.9854940834593151,-19.293097553886962,10638
34,162622,164512,1890,-0.5211518205256738,-1.2774341462829994,67.80612896338991,9769
35,171910,173917,2007,-2.34016618471054,-0.47003068258189273,11.356948528833126,7398
36,173972,174604,632,-2.236304207091848,1.2112171682689592,-28.44066488201251,55
37,212022,212261,239,-2.1389549121534515,-0.8748047473508933,22.24392331550609,37418
38,212294,212790,496,-1.0826352301175035,0.9392067123710035,-40.94226194578194,33
39,218201,221808,3607,-1.200115462030226,-1.729547633081026,55.24361370086886,5411
40,227708,227883,175,-0.5287472458741149,1.3205723409201227,-68.17920698546428,5900
41,227913,228128,215,0.6372684115154925,0.17231794541304168,15.130981559377632,30
42,228151,234118,5967,-0.9516081898290167,-2.9530949557926647,72.13893268450904,23
43,236923,239681,2758,-1.703424155479837,-6.3087373256031185,74.88987400512171,2805
44,239731,242603,2872,-1.6709183512786865,-3.8455542408613326,66.51473997835451,50
45,242663,245098,2435,-0.9259852777376238,-3.761723643430045,76.17102540466551,60
46,245142,250452,5310,-5.384339230511856,-8.107480422676261,56.4110713839377,44
47,251700,255207,3507,-4.1744354930919485,-1.7851617666864286,23.153561082785696,1248
48,255258,258818,3560,3.089192318930486,-3.54028173155271,-48.892577720269486,51
