,start,end,length,delta_x,delta_y,angle,interval
0,5479,5987,508,5.4378010164835615,-3.9771132536339593,-36.18108951280664,549.0
1,6536,8921,2385,0.10754409894830985,-8.23346299435596,-89.25165479026509,7786.0
2,16707,19067,2360,2.135782538424337,-1.2128852127788576,-29.591721743382077,55.0
3,19122,22192,3070,6.461201105059544,-4.096670101224603,-32.37639627598568,54.0
4,22246,25939,3693,4.718110632313923,-1.842997534265706,-21.336707239909774,3928.0
5,29867,32104,2237,2.0910561228991043,-1.8808651506631833,-41.970777702433104,5251.0
6,37355,39018,1663,2.6997165318144454,-1.2178772022595297,-24.280754197452943,47.0
7,39065,40583,1518,2.577629471508999,-0.855901539153308,-18.36874019525129,6657.0
8,47240,48146,906,13.913286599759985,3.53995075269809,14.274856903541828,3345.0
9,51491,51574,83,0.8841503672595792,0.23268217987947537,14.744231356195597,17.0
10,51591,53289,1698,4.647933503909925,-1.4809996857515415,-17.673759834682453,15500.0
11,68789,71652,2863,3.895350152534462,0.4151620115002004,6.0835542329238725,78.0
12,71730,73141,1411,4.861715271804044,-1.9472034376488665,-21.826979886547335,6442.0
13,79583,80063,480,2.547666926119902,-1.121513337543547,-23.759666170026318,529.0
14,80592,81236,644,6.528127041207796,-1.0383305310119795,-9.037470015941157,4866.0
15,86102,88344,2242,8.156077282941212,0.7072914103954702,4.956265275989165,
