,start,end,length,delta_x,delta_y,angle,interval
0,1552,1681,129,-10.302429747731935,-2.0384383889977755,11.19198508526627,1552
1,1701,1796,95,-6.831943202356285,-1.2166600633975975,10.097607161290332,20
2,1880,1953,73,-6.375831468319859,-1.3317827683135022,11.798296621485376,84
3,1973,2082,109,-9.508663184807588,1.0854498067234317,-6.51233959394877,20
4,2098,2152,54,-5.004531982439417,-2.9510284629511574,30.526629174422663,16
5,2169,2227,58,-7.57537301513436,0.26198525070221024,-1.9807168539616764,17
6,2241,2281,40,-4.139864643564152,-1.0450276798165987,14.167228617349092,14
7,2299,2352,53,-7.12575002595284,-1.4109333011209628,11.199975251614594,18
8,2369,2421,52,-7.065352521479625,-2.3857034128463823,18.657888212315388,17
9,3130,3187,57,-8.671850911957563,-4.413615348404875,26.974221778428177,709
10,3204,3284,80,-12.378944360209275,-3.4680438123484834,15.650569975896524,17
11,3404,3446,42,-6.561463721434393,-1.6012792405987426,13.714561700990998,120
12,3468,3503,35,-5.927893261134059,-1.9202138947971434,17.9486195987429,22
13,3534,3760,226,-27.48238269122176,-0.8530514018267468,1.777886495254695,31
14,3834,3910,76,-9.10582461363353,-0.4386587269406874,2.758001575254834,74
15,4044,4171,127,-16.65247878578458,0.24769578250402446,-0.8521780220867836,134
16,4205,4267,62,-8.23348875180136,1.8032503001714417,-12.35352842012025,34
17,4298,4400,102,-12.765181861358684,0.3994793279430837,-1.7924548387011412,31
18,4418,4520,102,-16.354049947406878,0.33929384085169545,-1.188532301452104,18
19,4544,4699,155,-20.557103376272494,1.7081323783363302,-4.749913672020246,24
20,4719,4826,107,-15.5790571626938,9.828207479931677,-32.24619727937024,20
21,4963,5095,132,-16.19417128169971,0.5825994594216013,-2.0603771390431125,137
22,5121,5234,113,-15.333915813540841,0.7917378093374055,-2.9557346864401683,26
23,5259,5392,133,-16.13883130125666,0.8165900745829759,-2.8965727414403255,25
24,5561,5757,196,-16.55958000878026,-5.176927006470677,17.36051233240046,169
25,5782,5866,84,-10.272333553169986,-1.293599408224182,7.177500033795601,25
26,5888,6005,117,-12.434985371278444,-0.9328820605038857,4.290336167810428,22
27,6023,6100,77,-8.959308879185684,-1.1388234134005302,7.244055091090726,18
28,6133,6263,130,-12.064626137131313,-0.5509134137530793,2.614511314967484,33
29,6289,6384,95,-9.34945249802415,-2.9429646897119994,17.47264730238295,26
30,6406,6490,84,-12.196427430222286,1.1353275008024326,-5.318160350221909,22
31,6592,6669,77,-8.543203986492998,-2.8686848056796634,18.561309306926766,102
32,6688,6746,58,-7.559327934179109,-5.010094516023258,33.535216407060226,19
33,6763,6803,40,-7.022011739677325,1.0632279334475356,-8.609959058517958,17
34,6838,6880,42,-6.592784359335198,-2.2048064825515183,18.491337389199707,35
35,6899,6952,53,-7.309548548593696,-2.1736515195131147,16.560978285866582,19
36,7352,7422,70,-10.412561284312659,-0.2373319624718988,1.3057081106967303,400
