,start,end,length,delta_x,delta_y,angle,interval
0,143,374,231,-7.178469145239546,-4.664362929281239,33.01465328303364,143
1,571,658,87,-6.176491614002373,-3.345970338807831,28.445587363386156,197
2,2889,2981,92,-11.427165271230123,1.0633204546262647,-5.316177819846869,2231
3,3007,3091,84,-9.954107812607276,-1.7524293114215581,9.984656166064275,26
4,3118,3217,99,-11.545002857485997,0.6119737310295434,-3.0342761285326554,27
5,3237,3357,120,-9.088430704536961,1.0392265665447056,-6.523216721079781,20
6,3379,3460,81,-9.326073450750968,-0.009279377713987458,0.05700888019745757,22
7,3486,3870,384,-19.730440886808182,0.13826888729629871,-0.40151631891537126,26
8,3907,5434,1527,-27.223612215418527,-1.5575101827171594,3.2744216730547375,37
9,5868,5927,59,-4.025950470897612,-0.3063655249182631,4.351689309804679,434
10,5984,6296,312,-11.717476701345433,-2.923449300677774,14.00899615349427,57
11,6329,6409,80,-4.835259110389401,-0.2731303939465448,3.2330441285041593,33
12,6427,6504,77,-4.565501149087709,0.7632079788471273,-9.490295755180586,18
13,6521,9598,3077,-42.76018139262527,1.8842753810655068,-2.5231704861803648,17
14,9682,11722,2040,-25.969344195438566,-0.4274530216950012,0.9429981159656301,84
15,11765,12088,323,-6.995759163720166,-1.039460828353171,8.451427255178693,43
16,12115,13075,960,-21.695380256302485,-0.9960684144971879,2.6286917835270636,27
17,13112,15623,2511,-22.80860455365429,-0.42019558005100066,1.055422312680563,37
18,15657,16810,1153,-15.45583420029115,0.7180612841717675,-2.659987039436093,34
19,16890,20065,3175,-28.67182895443203,-7.839769215478398,15.292645545361042,80
20,20109,20904,795,-8.959771543715902,0.03431147374884347,-0.2194132981098802,44
21,20937,21527,590,-11.603703440245283,0.8365174969057705,-4.1233517043119114,33
22,21574,22766,1192,-15.660420311638902,1.2243252355118983,-4.470267836809392,47
23,22796,25146,2350,-18.170233080951917,-2.0796001634012526,6.529145971857868,30
24,25184,25330,146,-4.041657668033196,-1.77560125011847,23.71708468882801,38
25,25355,25463,108,-6.435498152245771,-1.502433749684272,13.140924701784295,25
26,25495,25642,147,-7.525848448289267,-2.733656996153428,19.962829732717772,32
27,25672,25750,78,-4.152307569547801,-1.5483734368210378,20.450218249247584,30
28,25771,27931,2160,-22.178752299987906,1.3183102922648118,-3.401672282006905,21
29,27970,29328,1358,-12.75357972468501,-1.4060634899542066,6.2913679129958995,39
30,29367,30279,912,-8.425902557501516,-3.28937534097345,21.325101098490517,39
31,32652,33605,953,-7.937004147106109,1.468246179607874,-10.480523028164685,2373
32,35791,36321,530,-6.732245579677567,-2.947313737160343,23.64335077503898,2186
33,38233,42418,4185,-14.54228478869068,-1.9276843546877274,7.550945755139409,1912
34,42474,46809,4335,-13.996298976834467,-3.209228509740157,12.91418894716903,56
35,46862,49320,2458,-9.95307266605181,-1.5841715328795516,9.04357097123238,53
36,49407,52345,2938,-11.005573399552162,-1.8307536569920444,9.444549070788913,87
37,53283,53342,59,-4.135690408360361,-2.501420081949121,31.167116165611564,938
38,53370,53452,82,-5.417683776130346,0.4306197279420303,-4.544549232821788,28
39,53479,53600,121,-2.3630197574796625,-0.4979091230886752,11.898671031684756,27
40,53628,53797,169,-9.539036525566104,-3.241347984737871,18.767671324163228,28
41,57507,59830,2323,-6.6833572615798715,-3.309792544410257,26.34594902792984,3710
42,72124,80345,8221,-15.237653660081662,-1.4272767778482276,5.351153652431406,12294
43,80411,87548,7137,-15.316922836622552,-0.3065831427792389,1.14667776527309,66
44,87637,92210,4573,-13.758852396334234,-0.8623687117964352,3.586457394368138,89
45,92299,102248,9949,-18.97816958852144,-4.7709952662851975,14.111383174470781,89
46,102541,102873,332,-3.5954684174361944,-2.3929169237573547,33.645230693834044,293
47,112130,115590,3460,-11.345443201208724,-2.6622364380686037,13.205680623456992,9257
48,115673,120162,4489,-16.33014531747733,-1.89558682830733,6.621203745175579,83
49,120346,121228,882,-6.6985470917968115,0.7451939523968178,-6.347888321152209,184
50,125510,125645,135,-4.730648404229839,-0.8491293643726578,10.17596405473679,4282
51,125678,134016,8338,-20.287686421264326,-4.384410991077758,12.194760097456012,33
52,138289,142066,3777,-14.046303794235754,-0.07081932244247469,0.2888741381206827,4273
53,145638,149562,3924,-16.800967154734764,-4.736120503975272,15.742916364217397,3572
54,153556,155884,2328,-15.880713959638584,-1.731376090092219,6.222030286965995,3994
55,156015,158192,2177,-11.049235222470202,-1.521141363684265,7.838600981123653,131
56,160743,160881,138,-4.122993732754338,0.3908358477366036,-5.4151256505331755,2551
57,160995,165696,4701,-19.781536109887085,0.1847142610833714,-0.5349958636112293,114
58,165787,166936,1149,-6.142219558358079,0.6012775770770133,-5.591016281075482,91
59,167035,172171,5136,-16.72623036962331,-5.971851617761828,19.648349127558586,99
60,172238,178852,6614,-10.906334024317559,-2.9581005582492708,15.175120620927839,67
61,181059,183742,2683,-8.696735364157362,-1.8154275405343157,11.791066406147648,2207
62,183902,187928,4026,-14.816249902627803,-3.2420859845947376,12.342893297967063,160
63,187990,189297,1307,-10.801694483923086,-0.19636179233530981,1.0414535317858966,62
64,198206,202118,3912,-12.889981799175231,-2.1491680476988506,9.465945304030406,8909
65,202440,206427,3987,-14.976476810402104,-2.349742267955925,8.916760278475593,322
66,206499,209857,3358,-9.635186955349909,-3.260033215742922,18.693076480935474,72
67,213131,213398,267,-2.420176010205921,-0.3102240001038865,7.304479072358173,3274
68,213721,221288,7567,-25.944993577761323,-7.851589475994892,16.837098566722737,323
69,221347,225043,3696,-10.955730141223725,-2.6997046929595,13.842997169311504,59
70,227581,227820,239,-5.200559484206437,0.1943193414293063,-2.1398661211723304,2538
71,227884,228045,161,-4.431563749308893,-1.3786116478104589,17.280354048876315,64
72,228092,233340,5248,-24.09218835130163,1.3420126545236997,-3.1882650099978243,47
73,236200,240645,4445,-13.595668481241518,-0.20739825085770747,0.8739638541929798,2860
74,246623,247230,607,-9.264259595581692,1.1834964267850694,-7.280025315023878,5978
75,247303,247639,336,-5.729817009223439,-1.442047139171848,14.126490069517631,73
76,247703,251066,3363,-20.433812264065196,-2.018782414172435,5.642293632131011,64
77,251121,251221,100,-3.6133412363129054,-0.3095885504653779,4.897102576007632,55
