,start,end,length,delta_x,delta_y,angle,interval
0,3790,4019,229,-2.7388529467092297,-1.4633166224027434,28.114735655677613,336.0
1,4355,4593,238,-2.819138194173206,-0.8627203422921639,17.015301080607117,5153.0
2,9746,15312,5566,8.237548653186906,-8.641316983383462,-46.3703414945332,33.0
3,15345,15526,181,1.0377939367760263,-5.5661549612075305,-79.43862887859763,24.0
4,15550,17647,2097,4.2731740924740365,-6.1314948033379295,-55.126508076493636,72.0
5,17719,30580,12861,9.43448026634917,-11.024966802053967,-49.44514739487328,101.0
6,30681,34542,3861,7.3073456990061345,-4.579354942845157,-32.07447925504378,54.0
7,34596,41748,7152,7.4775570448098705,-12.22784495752444,-58.55343022877979,80.0
8,41828,45851,4023,6.75917362139451,-3.8399414042729063,-29.60125846144913,61.0
9,45912,47655,1743,6.784268554195634,-2.9325607241126477,-23.376846066880912,41.0
10,47696,54997,7301,12.530933064080699,-11.108270435433553,-41.55595980227915,47.0
11,55044,77434,22390,12.07826319552727,-13.259884941125506,-47.670002738778635,53.0
12,77487,77752,265,3.207552696497075,-1.6514999349836472,-27.242965217589365,48.0
13,77800,86259,8459,2.14069668022357,-7.526623010968635,-74.12336700233242,45.0
14,86304,91970,5666,7.5296618920364295,-5.161008652611301,-34.42766295114694,57.0
15,92027,96763,4736,9.070915681385202,-5.394959199517899,-30.74221536743527,78.0
16,96841,99168,2327,6.199743634680331,-3.661533470247079,-30.565858199047646,57.0
17,99225,109213,9988,8.799775539848198,-10.625736622563394,-50.36991550721188,62.0
18,109275,114160,4885,6.583277208584988,-6.82299001545384,-46.024376767636426,184.0
19,114344,115555,1211,4.770369241711023,-2.591431125452189,-28.512353976335902,65.0
20,115620,128975,13355,11.358876781135592,-9.19854795412408,-39.0009471303629,75.0
21,129050,134378,5328,5.081373701080409,-5.678676639732359,-48.177294594549416,44.0
22,134422,136254,1832,4.240381804593412,-2.3488895950093394,-28.98353797701727,7481.0
23,143735,155685,11950,8.787906142045742,-6.295303376554656,-35.6162925390899,85.0
24,155770,158336,2566,3.3886971915703583,-4.406006667761986,-52.43580936218114,68.0
25,158404,160470,2066,5.031428391637888,-6.313824453303255,-51.44898229293749,119.0
26,160589,162972,2383,5.309787943319435,-4.563412651440387,-40.67688617964736,61.0
27,163033,166521,3488,8.013105986417159,-4.799727916516375,-30.920963708799672,62.0
28,166583,169442,2859,5.955649000277404,-5.793078662622605,-44.2072333219023,67.0
29,169509,173425,3916,7.62296517964181,-8.889612836833436,-49.38645747990687,4794.0
30,178219,183031,4812,7.090923894555587,-10.09187877495549,-54.90671680632506,51.0
31,183082,192753,9671,9.965882159538594,-10.437424958464817,-46.32393260650729,71.0
32,192824,195414,2590,3.989486867092495,-7.1399376673073505,-60.805438868422286,60.0
33,195474,197338,1864,2.7273449320309027,-4.807189770190277,-60.43171856964544,50.0
34,197388,206030,8642,10.523458684632587,-11.478233000850679,-47.48481975560121,73.0
35,206103,211480,5377,6.826450421971558,-7.350497678755929,-47.11695997193056,57.0
36,211537,215099,3562,4.229690268621638,-6.963090422772822,-58.72364634740051,82.0
37,215181,216640,1459,5.252794009289289,-4.590751830102988,-41.15228257688826,65.0
38,216705,221848,5143,7.133548704188129,-9.39912294444784,-52.80299330625588,60.0
39,221908,226053,4145,4.873678950649179,-4.641862596323932,-43.604443903648075,63.0
40,226116,228745,2629,4.391734128466055,-5.725708834921832,-52.51106648932262,54.0
41,228799,230574,1775,3.737648198232094,-3.7299114788577015,-44.94063908050367,66.0
42,230640,235399,4759,7.5356282591652075,-9.209531192557833,-50.70851639636472,154.0
43,235553,242981,7428,5.253712070850966,-7.038919923657062,-53.263060254672446,51.0
44,243032,246637,3605,6.188941313745076,-7.001218655080521,-48.523942467661726,68.0
45,246705,250654,3949,6.281342893483185,-3.8731540675666167,-31.65849941160328,52.0
46,250706,261772,11066,5.084420732407793,-8.769449085196925,-59.89535981063086,80.0
47,261852,263926,2074,4.430881904937493,-4.315311131180806,-44.24294693837204,60.0
48,263986,264205,219,0.444167085229239,-5.587285445360678,-85.45477086160678,37.0
49,264242,269651,5409,9.959245380956546,-6.675465444730577,-33.83308653307098,
