,0,1
0,B,468.0
1,C,249.0
2,P,1950.0
3,B,973.0
4,C,147.0
5,P,58.0
6,C,114.0
7,B,337.0
8,P,170.0
9,C,226.0
10,B,724.0
11,C,257.0
12,P,114.0
13,C,330.0
14,P,118.0
15,B,655.0
16,C,81.0
17,B,406.0
18,P,598.0
19,C,215.0
20,P,130.0
21,B,341.0
22,P,5706.0
23,B,689.0
24,P,4969.0
25,B,832.0
26,P,127.0
27,B,718.0
28,P,121.0
29,B,608.0
30,P,291.0
31,B,1050.0
32,P,4231.0
33,B,1123.0
34,C,629.0
35,P,101.0
36,B,313.0
37,P,56.0
38,B,311.0
39,P,513.0
40,B,427.0
41,P,10409.0
42,B,428.0
43,C,159.0
44,B,817.0
45,P,4265.0
46,B,1081.0
47,P,193.0
48,B,1240.0
49,P,518.0
50,B,6908.0
51,C,7947.0
52,B,1424.0
53,P,371.0
54,B,5328.0
55,P,262.0
56,B,2735.0
57,C,3272.0
58,B,1149.0
59,C,6132.0
60,B,1408.0
61,C,962.0
62,P,162.0
63,C,372.0
64,B,570.0
65,C,6458.0
66,B,2851.0
67,C,3802.0
68,P,4382.0
69,C,198.0
70,B,557.0
71,C,460.0
72,B,1674.0
73,P,4253.0
74,B,11190.0
75,P,133.0
76,C,3903.0
77,P,6092.0
78,B,3020.0
79,P,476.0
80,B,529.0
81,P,346.0
82,B,1288.0
83,P,81.0
84,B,592.0
85,P,113.0
86,C,77.0
87,B,1419.0
88,P,786.0
89,B,348.0
90,P,105.0
91,B,378.0
92,P,339.0
93,B,867.0
94,P,119.0
95,B,417.0
96,C,123.0
97,B,2643.0
98,P,15333.0
99,B,2360.0
100,P,6885.0
101,B,10667.0
102,C,2410.0
103,B,3926.0
104,C,1714.0
105,B,6175.0
106,C,6102.0
107,P,4343.0
108,B,3406.0
109,C,5904.0
110,B,1680.0
111,C,3076.0
112,B,3174.0
113,P,3328.0
114,B,5542.0
115,C,2851.0
116,P,2353.0
117,B,1180.0
118,C,1863.0
119,B,3741.0
120,C,4078.0
121,B,4105.0
122,C,2109.0
123,B,2395.0
124,P,2128.0
