,category,start,length
0,C,245,180.0
1,B,959,534.0
2,C,959,119.0
3,P,1104,128.0
4,C,1476,221.0
5,P,1871,117.0
6,C,2184,338.0
7,P,2552,600.0
8,C,3259,95.0
9,B,5140,1786.0
10,P,5140,452.0
11,C,5668,153.0
12,P,5864,389.0
13,B,6888,410.0
14,C,6888,3859.0
15,B,11060,313.0
16,C,11060,252.0
17,B,11862,550.0
18,C,11862,283.0
19,P,12210,123.0
20,B,13517,1184.0
21,C,13517,116.0
22,P,13662,371.0
23,B,14534,470.0
24,P,14534,467.0
25,C,15126,2257.0
26,B,18275,892.0
27,P,18275,2947.0
28,C,21326,1307.0
29,B,27467,4834.0
30,C,27467,647.0
31,P,28202,143.0
32,B,28649,304.0
33,C,28649,226.0
34,P,28917,224.0
35,B,30373,1208.0
36,C,30373,1407.0
37,B,32811,716.0
38,C,32811,149.0
39,P,32991,105.0
40,B,41450,8354.0
41,C,41450,6237.0
42,B,48510,569.0
43,C,48510,5601.0
44,B,54801,690.0
45,C,54801,194.0
46,B,55637,642.0
47,C,55637,267.0
48,B,56742,838.0
49,P,56742,446.0
50,B,57667,479.0
51,C,57667,2199.0
52,B,61045,1135.0
53,P,61045,276.0
54,B,64207,2886.0
55,C,64207,896.0
56,B,71788,6685.0
57,C,71788,1691.0
58,P,73714,690.0
59,B,75422,1018.0
60,C,75422,476.0
61,B,79887,3989.0
62,C,79887,4334.0
63,B,89062,4841.0
64,C,89062,2502.0
65,B,104580,13016.0
66,C,104580,820.0
67,B,105891,491.0
68,C,105891,126.0
69,B,108381,2364.0
70,C,108381,355.0
71,B,109863,1127.0
72,C,109863,15136.0
73,B,138334,13121.0
74,C,138334,2922.0
75,B,142197,941.0
76,C,142197,500.0
77,P,142961,704.0
78,B,153474,9759.0
79,C,153474,3477.0
80,B,159081,2130.0
81,C,159081,2292.0
82,B,168449,7076.0
83,C,168449,4613.0
84,B,176458,3396.0
85,C,176458,8802.0
86,B,189822,4427.0
87,C,189822,3355.0
88,B,198871,5694.0
89,P,198871,700.0
90,C,199625,5835.0
91,B,207300,1675.0
92,C,207300,8331.0
93,B,216676,1045.0
94,C,216676,439.0
95,B,218099,984.0
96,P,218099,219.0
97,B,223004,4686.0
98,C,223004,4383.0
99,B,230541,3154.0
100,C,230541,3599.0
101,B,240523,6309.0
102,C,240523,1223.0
103,B,242848,1102.0
104,P,242848,5096.0
105,B,250292,2348.0
106,P,250292,269.0
107,B,252136,1575.0
108,C,252136,268.0
109,B,252949,545.0
110,C,252949,831.0
111,B,255784,2004.0
112,C,255784,1356.0
113,B,262101,4961.0
114,P,262101,2717.0
