,category,start,length
0,C1,142,124.0
1,B,1448,1182.0
2,C2,1448,135.0
3,P,1964,118.0
4,C2,2297,8288.0
5,C1,10832,265.0
6,B,11409,312.0
7,P,11409,140.0
8,B,12560,1011.0
9,C2,12560,265.0
10,B,13436,611.0
11,C2,13436,56.0
12,P,13574,116.0
13,C1,13885,357.0
14,P,14300,2489.0
15,C1,17041,7401.0
16,B,30410,5968.0
17,C1,30410,2795.0
18,B,38082,4877.0
19,C2,38082,74.0
20,P,38180,97.0
21,B,39825,1548.0
22,C1,39825,532.0
23,B,42622,1928.0
24,C1,42622,217.0
25,B,48855,6016.0
26,C2,48855,272.0
27,B,49671,345.0
28,C1,49671,408.0
29,C2,50492,125.0
30,B,51415,798.0
31,C2,51415,355.0
32,B,55007,3237.0
33,C1,55007,1065.0
34,B,59159,3087.0
35,C1,59159,74.0
36,B,65284,6051.0
37,C1,65284,3463.0
38,B,70917,2170.0
39,C1,70917,1662.0
40,B,73893,1314.0
41,P,73893,353.0
42,C1,74319,297.0
43,B,76137,1521.0
44,P,76137,3612.0
45,C1,79863,2634.0
46,B,88159,5662.0
47,C1,88159,2832.0
48,B,114687,23696.0
49,C1,114687,90.0
50,B,115830,1053.0
51,C2,115830,246.0
52,B,116692,616.0
53,C1,116692,3205.0
54,B,125414,5272.0
55,C1,125414,715.0
56,B,126671,542.0
57,C1,126671,5259.0
58,P,132132,1458.0
59,B,152559,18969.0
60,C1,152559,223.0
61,B,153735,953.0
62,P,153735,285.0
63,C1,154302,2213.0
64,B,169990,13475.0
65,C1,169990,1850.0
66,B,188155,16315.0
67,C2,188155,225.0
68,P,188651,164.0
69,B,189144,329.0
70,C2,189144,192.0
71,C1,189430,610.0
72,B,191575,1535.0
73,P,191575,250.0
74,B,192135,310.0
75,P,192135,3984.0
76,B,198360,2075.0
77,C1,198360,2534.0
78,B,217849,16955.0
79,C1,217849,2180.0
80,B,230120,10091.0
81,P,230120,1514.0
82,B,237316,5682.0
83,C1,237316,987.0
84,C2,238787,226.0
85,B,239993,980.0
86,C2,239993,9494.0
87,B,265698,16111.0
88,C1,265698,253.0
89,B,266998,1047.0
90,C2,266998,217.0
91,B,267730,515.0
92,C2,267730,190.0
