,0,1
0,C2,180.0
1,B,534.0
2,C1,119.0
3,P,128.0
4,C1,72.0
5,C2,149.0
6,P,117.0
7,C2,338.0
8,P,600.0
9,C1,95.0
10,B,1786.0
11,P,452.0
12,C2,153.0
13,P,389.0
14,B,410.0
15,C2,3859.0
16,B,313.0
17,C2,252.0
18,B,550.0
19,C1,283.0
20,P,123.0
21,B,1184.0
22,C2,116.0
23,P,371.0
24,B,470.0
25,P,467.0
26,C2,2257.0
27,B,892.0
28,P,2947.0
29,C1,1307.0
30,B,4834.0
31,C1,647.0
32,P,143.0
33,B,304.0
34,C1,226.0
35,P,224.0
36,B,1208.0
37,C1,730.0
38,C2,677.0
39,B,716.0
40,C2,149.0
41,P,105.0
42,B,8354.0
43,C2,5663.0
44,C1,574.0
45,B,569.0
46,C2,5601.0
47,B,690.0
48,C2,194.0
49,B,642.0
50,C1,267.0
51,B,838.0
52,P,446.0
53,B,479.0
54,C1,213.0
55,C2,1986.0
56,B,1135.0
57,P,276.0
58,B,2886.0
59,C2,896.0
60,B,6685.0
61,C2,1691.0
62,P,690.0
63,B,1018.0
64,C2,476.0
65,B,3989.0
66,C2,4334.0
67,B,4841.0
68,C1,2502.0
69,B,13016.0
70,C2,820.0
71,B,491.0
72,C2,126.0
73,B,2364.0
74,C2,355.0
75,B,1127.0
76,C2,12697.0
77,C1,2439.0
78,B,13121.0
79,C1,2922.0
80,B,941.0
81,C1,500.0
82,P,704.0
83,B,9759.0
84,C2,3477.0
85,B,2130.0
86,C1,2292.0
87,B,7076.0
88,C2,4613.0
89,B,3396.0
90,C1,3535.0
91,C2,1949.0
92,C1,3318.0
93,B,4427.0
94,C1,3355.0
95,B,5694.0
96,P,700.0
97,C1,5835.0
98,B,1675.0
99,C2,8331.0
100,B,1045.0
101,C1,439.0
102,B,984.0
103,P,219.0
104,B,4686.0
105,C2,4383.0
106,B,3154.0
107,C1,3599.0
108,B,6309.0
109,C2,1223.0
110,B,1102.0
111,P,5096.0
112,B,2348.0
113,P,269.0
114,B,1575.0
115,C2,268.0
116,B,545.0
117,C2,831.0
118,B,2004.0
119,C1,1356.0
120,B,4961.0
121,P,2717.0
