,0,1
0,C,74.0
1,P,347.0
2,B,1087.0
3,P,514.0
4,B,326.0
5,P,664.0
6,B,350.0
7,P,108.0
8,B,581.0
9,P,813.0
10,C,165.0
11,B,1187.0
12,P,1407.0
13,B,1102.0
14,C,253.0
15,P,133.0
16,B,543.0
17,P,1184.0
18,B,446.0
19,P,2919.0
20,B,366.0
21,C,95.0
22,B,2200.0
23,C,388.0
24,B,524.0
25,P,1443.0
26,B,461.0
27,C,207.0
28,P,509.0
29,B,2051.0
30,P,497.0
31,B,1669.0
32,P,1923.0
33,C,1245.0
34,P,4114.0
35,C,2379.0
36,P,1555.0
37,C,1460.0
38,P,3194.0
39,B,803.0
40,P,5175.0
41,C,156.0
42,P,288.0
43,B,4610.0
44,P,3338.0
45,C,10821.0
46,P,9105.0
47,C,439.0
48,B,392.0
49,P,300.0
50,B,2654.0
51,C,973.0
52,B,3741.0
53,P,1737.0
54,B,770.0
55,P,162.0
56,C,412.0
57,P,328.0
58,B,4149.0
59,P,8852.0
60,C,11995.0
61,B,7000.0
62,C,4242.0
63,B,12400.0
64,C,10712.0
65,B,10931.0
66,C,6698.0
67,B,19804.0
68,C,8338.0
69,B,10998.0
70,P,163.0
71,B,2281.0
72,C,18414.0
73,B,4263.0
74,C,4124.0
75,B,4614.0
76,C,6197.0
77,B,623.0
78,C,1767.0
