,category,start,length
0,B,577,577.0
1,P,577,472.0
2,B,3356,2284.0
3,C,3356,319.0
4,B,4613,938.0
5,C,4613,199.0
6,P,4833,135.0
7,C,5215,957.0
8,B,6807,567.0
9,P,6807,482.0
10,C,7477,593.0
11,B,8421,311.0
12,C,8421,410.0
13,B,9132,301.0
14,P,9132,129.0
15,B,9624,363.0
16,C,9624,940.0
17,P,10651,185.0
18,B,11854,1018.0
19,C,11854,1916.0
20,P,13863,209.0
21,B,14716,644.0
22,P,14716,1185.0
23,B,16224,323.0
24,P,16224,154.0
25,B,16761,383.0
26,C,16761,1401.0
27,B,18922,760.0
28,P,18922,369.0
29,C,19337,196.0
30,P,19581,479.0
31,C,20158,950.0
32,P,21370,431.0
33,B,22414,452.0
34,P,22414,625.0
35,C,23097,448.0
36,P,23854,627.0
37,B,24965,484.0
38,C,24965,1710.0
39,B,27184,509.0
40,C,27184,423.0
41,B,31810,4203.0
42,C,31810,278.0
43,B,32508,420.0
44,P,32508,340.0
45,B,33610,762.0
46,P,33610,3340.0
47,B,39801,2851.0
48,C,39801,199.0
49,P,40031,15572.0
50,B,58653,2714.0
51,P,58653,207.0
52,B,64424,5564.0
53,P,64424,2587.0
54,C,67085,227.0
55,B,67627,315.0
56,P,67627,2975.0
57,C,70714,1604.0
58,B,72642,324.0
59,P,72642,10133.0
60,B,83350,459.0
61,P,83350,2564.0
62,B,86465,429.0
63,P,86465,657.0
64,C,87181,156.0
65,B,87768,431.0
66,C,87768,412.0
67,B,91963,3783.0
68,C,91963,259.0
69,B,94997,2775.0
70,C,94997,323.0
71,P,95468,409.0
72,B,102746,6869.0
73,C,102746,3884.0
74,B,116233,9603.0
75,P,116233,3036.0
76,B,129771,10502.0
77,C,129771,13325.0
78,B,147478,3963.0
79,P,147478,7189.0
80,B,155118,451.0
81,C,155118,290.0
82,P,155466,137.0
83,B,155944,341.0
84,C,155944,176.0
85,B,161436,5316.0
86,C,161436,5261.0
87,B,168208,1255.0
88,P,168208,5268.0
89,B,175172,1696.0
90,C,175172,3541.0
91,P,178875,6508.0
92,B,187517,2069.0
93,C,187517,1989.0
94,B,196044,6538.0
95,C,196044,4960.0
96,B,202537,1533.0
97,C,202537,3562.0
98,B,206679,580.0
99,C,206679,3386.0
100,B,219117,9052.0
101,C,219117,2432.0
102,B,226408,4859.0
103,P,226408,405.0
104,C,226873,5076.0
105,B,266502,34553.0
106,C,266502,1734.0
