,category,start,length
0,C2,269,252.0
1,P,586,1429.0
2,C2,2620,244.0
3,C1,2925,71.0
4,P,3047,505.0
5,B,3966,380.0
6,P,3966,227.0
7,C2,4232,104.0
8,P,4369,600.0
9,C2,5082,222.0
10,P,5376,660.0
11,C2,6113,150.0
12,P,6302,157.0
13,C1,6533,138.0
14,P,6729,321.0
15,C2,7145,221.0
16,P,7402,408.0
17,C2,7871,61.0
18,P,7969,464.0
19,C1,8486,74.0
20,C2,8591,48.0
21,C1,8654,195.0
22,C2,9087,254.0
23,P,9510,144.0
24,C2,9882,264.0
25,B,10955,809.0
26,P,10955,133.0
27,B,12044,956.0
28,P,12044,1694.0
29,B,15511,1579.0
30,C2,15511,2663.0
31,C1,18255,143.0
32,P,18424,760.0
33,C2,19248,426.0
34,P,19724,165.0
35,B,20532,643.0
36,C2,20532,569.0
37,P,21155,414.0
38,C1,21623,1594.0
39,P,23333,127.0
40,B,24280,820.0
41,P,24280,1162.0
42,B,26064,622.0
43,P,26064,209.0
44,C1,26291,677.0
45,P,27182,1653.0
46,B,30034,1113.0
47,P,30034,10439.0
48,B,44672,3846.0
49,P,44672,2976.0
50,B,48169,521.0
51,C2,48169,326.0
52,C1,48663,558.0
53,C2,49315,1190.0
54,B,54141,3600.0
55,P,54141,116.0
56,B,54579,322.0
57,P,54579,773.0
58,B,56176,824.0
59,C2,56176,622.0
60,B,68239,11441.0
61,P,68239,1305.0
62,B,87487,17894.0
63,C1,87487,769.0
64,B,90342,2086.0
65,P,90342,599.0
66,B,93775,2834.0
67,C2,93775,1265.0
68,B,100130,5090.0
69,P,100130,5643.0
70,B,118236,12311.0
71,P,118236,2021.0
72,B,136712,16455.0
73,C2,136712,2822.0
74,C1,139595,273.0
75,B,143507,3639.0
76,C2,143507,1647.0
77,B,151035,5881.0
78,C1,151035,3020.0
79,B,168830,14775.0
80,C2,168830,5830.0
81,B,175227,567.0
82,P,175227,607.0
83,B,176368,378.0
84,C2,176368,886.0
85,B,184066,6812.0
86,P,184066,456.0
87,B,185407,885.0
88,P,185407,2079.0
89,B,187804,318.0
90,C2,187804,896.0
91,P,188821,311.0
92,B,189858,726.0
93,C2,189858,6729.0
94,B,199294,2592.0
95,C1,199294,2408.0
96,C2,201842,3562.0
97,B,211338,5934.0
98,C2,211338,5574.0
99,B,219254,2269.0
100,P,219254,350.0
101,B,221285,1681.0
102,C1,221285,2054.0
103,B,230764,7425.0
104,C2,230764,3154.0
105,B,238931,5013.0
106,C2,238931,832.0
107,B,240689,926.0
108,P,240689,2767.0
109,B,243874,418.0
110,P,243874,2187.0
111,C2,246225,4013.0
112,P,250474,1698.0
113,C2,252246,3286.0
114,B,256109,577.0
115,P,256109,2061.0
116,C2,258399,771.0
117,B,262217,2749.0
118,C1,262217,851.0
119,B,263542,437.0
120,P,263542,396.0
121,C2,263973,1207.0
122,C1,265327,158.0
123,C2,265565,216.0
124,P,265822,482.0
125,C2,266378,1871.0
