,0,1
0,B,420.0
1,P,2821.0
2,B,821.0
3,P,734.0
4,C,47.0
5,P,115.0
6,C,113.0
7,P,3113.0
8,C,330.0
9,P,2186.0
10,C,2851.0
11,B,1169.0
12,P,10647.0
13,C,5692.0
14,B,404.0
15,P,10140.0
16,B,727.0
17,C,10298.0
18,B,1958.0
19,P,1330.0
20,C,14447.0
21,B,3914.0
22,P,1895.0
23,B,13294.0
24,C,3700.0
25,B,338.0
26,C,2342.0
27,B,2352.0
28,P,2978.0
29,B,504.0
30,P,933.0
31,C,2268.0
32,B,1481.0
33,C,6013.0
34,B,381.0
35,P,477.0
36,C,994.0
37,P,2845.0
38,B,341.0
39,P,2158.0
40,C,3893.0
41,P,8109.0
42,B,2732.0
43,P,4957.0
44,B,370.0
45,C,3811.0
46,B,475.0
47,C,505.0
48,P,4844.0
49,B,16723.0
50,P,2679.0
51,B,1214.0
52,P,5775.0
53,B,362.0
54,P,3019.0
55,C,3856.0
56,P,1114.0
57,B,327.0
58,C,4283.0
59,B,3362.0
60,P,4880.0
61,C,2529.0
62,B,447.0
63,C,1536.0
64,B,306.0
65,C,3693.0
66,B,364.0
67,P,3109.0
68,B,1646.0
69,P,3873.0
70,B,8930.0
71,P,3153.0
72,B,11620.0
73,P,6333.0
