,category,start,length
0,B,409,409.0
1,C,409,137.0
2,P,574,7688.0
3,B,9786,363.0
4,C,9786,180.0
5,P,10005,290.0
6,C,10352,446.0
7,P,10890,112.0
8,C,11023,130.0
9,P,11174,6204.0
10,C,18389,134.0
11,P,18574,19965.0
12,B,42760,1040.0
13,P,42760,399.0
14,C,43216,325.0
15,P,43606,705.0
16,B,45259,903.0
17,P,45259,21763.0
18,B,71295,2093.0
19,P,71295,4221.0
20,B,76559,382.0
21,C,76559,189.0
22,P,76785,8080.0
23,B,88387,2681.0
24,P,88387,20984.0
25,C,111638,1000.0
26,P,112706,3097.0
27,C,115967,810.0
28,P,116844,2896.0
29,C,119885,472.0
30,P,120489,2682.0
31,C,123332,239.0
32,B,124284,713.0
33,P,124284,20958.0
34,C,147326,459.0
35,P,147844,16075.0
36,C,165396,444.0
37,P,165932,1572.0
38,C,167842,1114.0
39,P,169080,4541.0
40,C,174372,257.0
41,P,174735,7643.0
42,B,183519,348.0
43,P,183519,2192.0
44,C,185929,224.0
45,P,186273,812.0
46,B,188689,1604.0
47,C,188689,535.0
48,P,189277,2961.0
49,C,192984,344.0
50,P,193509,10511.0
51,C,205740,1117.0
52,P,206913,5567.0
53,C,212848,544.0
54,P,213561,4647.0
55,C,218834,190.0
56,P,219084,3740.0
57,C,223198,421.0
58,P,223692,7568.0
59,C,231768,770.0
60,P,232615,5886.0
61,B,239222,317.0
62,P,239222,1645.0
63,B,241474,316.0
64,P,241474,1548.0
65,C,243099,1270.0
66,B,244736,367.0
67,P,244736,494.0
68,C,245355,1051.0
69,P,246549,2565.0
70,C,249407,269.0
71,P,249724,2518.0
72,C,252477,547.0
73,P,253245,2657.0
74,C,256089,268.0
75,P,256426,3847.0
76,C,260639,341.0
77,P,261056,5486.0
78,C,267204,1657.0
79,P,269029,1380.0
