,category,start,length
0,B,409,409.0
1,C2,409,137.0
2,P,574,7688.0
3,B,9786,363.0
4,C1,9786,86.0
5,C2,9889,94.0
6,P,10005,290.0
7,C2,10352,256.0
8,C1,10651,127.0
9,C2,10800,63.0
10,P,10890,112.0
11,C1,11023,130.0
12,P,11174,6204.0
13,C1,18389,134.0
14,P,18574,19965.0
15,B,42760,1040.0
16,P,42760,399.0
17,C2,43216,325.0
18,P,43606,705.0
19,B,45259,903.0
20,P,45259,21763.0
21,B,71295,2093.0
22,P,71295,4221.0
23,B,76559,382.0
24,C2,76559,189.0
25,P,76785,8080.0
26,B,88387,2681.0
27,P,88387,20984.0
28,C1,111638,1000.0
29,P,112706,3097.0
30,C1,115967,810.0
31,P,116844,2896.0
32,C1,119885,472.0
33,P,120489,2682.0
34,C2,123332,239.0
35,B,124284,713.0
36,P,124284,20958.0
37,C1,147326,459.0
38,P,147844,16075.0
39,C2,165396,444.0
40,P,165932,1572.0
41,C2,167842,1114.0
42,P,169080,4541.0
43,C2,174372,257.0
44,P,174735,7643.0
45,B,183519,348.0
46,P,183519,2192.0
47,C2,185929,224.0
48,P,186273,812.0
49,B,188689,1604.0
50,C2,188689,535.0
51,P,189277,2961.0
52,C2,192984,344.0
53,P,193509,10511.0
54,C2,205740,1117.0
55,P,206913,5567.0
56,C1,212848,544.0
57,P,213561,4647.0
58,C2,218834,190.0
59,P,219084,3740.0
60,C1,223198,421.0
61,P,223692,7568.0
62,C1,231768,770.0
63,P,232615,5886.0
64,B,239222,317.0
65,P,239222,1645.0
66,B,241474,316.0
67,P,241474,1548.0
68,C2,243099,1270.0
69,B,244736,367.0
70,P,244736,494.0
71,C2,245355,1051.0
72,P,246549,2565.0
73,C2,249407,269.0
74,P,249724,2518.0
75,C1,252477,547.0
76,P,253245,2657.0
77,C2,256089,268.0
78,P,256426,3847.0
79,C2,260639,341.0
80,P,261056,5486.0
81,C1,267204,337.0
82,C2,267610,1320.0
83,P,269029,1380.0
