,0,1
0,B,444.0
1,C,157.0
2,P,5135.0
3,C,160.0
4,P,368.0
5,C,80.0
6,P,201.0
7,B,834.0
8,P,5370.0
9,B,5490.0
10,C,249.0
11,B,3937.0
12,C,2643.0
13,P,1272.0
14,B,10949.0
15,C,4662.0
16,B,19046.0
17,C,1866.0
18,B,6865.0
19,C,12258.0
20,B,6261.0
21,C,869.0
22,B,5517.0
23,C,6471.0
24,B,4260.0
25,C,1000.0
26,B,2897.0
27,C,565.0
28,B,1187.0
29,C,1388.0
30,B,4462.0
31,C,1046.0
32,B,31890.0
33,C,6045.0
34,B,8349.0
35,C,3291.0
36,B,7365.0
37,C,2273.0
38,B,1097.0
39,C,1926.0
40,B,3692.0
41,C,5521.0
42,B,2798.0
43,C,246.0
44,B,1393.0
45,C,1709.0
46,B,2310.0
47,C,4334.0
48,B,1806.0
49,P,5726.0
50,C,229.0
51,B,14315.0
52,C,4079.0
53,B,2514.0
54,C,4580.0
55,B,4696.0
56,C,3639.0
57,B,10915.0
58,C,1782.0
59,B,2977.0
60,C,1939.0
61,B,2379.0
62,C,2064.0
