,0,1
0,P,268.0
1,C2,608.0
2,P,972.0
3,B,6096.0
4,C1,1410.0
5,B,350.0
6,C1,3983.0
7,C2,134.0
8,P,611.0
9,B,2180.0
10,C2,240.0
11,C1,3902.0
12,C2,1429.0
13,C1,2925.0
14,P,1851.0
15,C2,1662.0
16,P,1866.0
17,B,4604.0
18,C1,2796.0
19,C2,263.0
20,B,2051.0
21,C2,3467.0
22,C1,3351.0
23,P,3463.0
24,B,6266.0
25,C1,2246.0
26,P,2860.0
27,B,25607.0
28,C2,782.0
29,B,4551.0
30,C1,2279.0
31,B,13538.0
32,C2,764.0
33,B,2430.0
34,C1,185.0
35,C2,860.0
36,B,37474.0
37,C2,168.0
38,P,527.0
39,C1,4859.0
40,C2,4822.0
41,C1,1832.0
42,P,2016.0
43,C2,3901.0
44,B,1676.0
45,C2,514.0
46,C1,921.0
47,B,1178.0
48,C2,2739.0
49,B,30096.0
50,C1,2057.0
51,B,10802.0
52,C1,2654.0
53,B,6353.0
54,C1,1576.0
55,B,1288.0
56,C1,2956.0
