,0,1
0,B,339.0
1,C,336.0
2,B,747.0
3,P,240.0
4,C,242.0
5,B,1811.0
6,P,192.0
7,B,380.0
8,P,8124.0
9,B,525.0
10,P,4796.0
11,B,453.0
12,P,2256.0
13,B,455.0
14,P,2881.0
15,C,5623.0
16,B,317.0
17,P,3317.0
18,B,6443.0
19,C,4899.0
20,P,4599.0
21,C,8297.0
22,B,517.0
23,P,4599.0
24,C,2687.0
25,B,403.0
26,C,5601.0
27,B,1102.0
28,C,3772.0
29,P,7536.0
30,C,4443.0
31,B,735.0
32,C,21921.0
33,B,10626.0
34,C,18570.0
35,B,1493.0
36,C,10233.0
37,B,542.0
38,C,6557.0
39,B,790.0
40,C,14800.0
41,B,15205.0
42,P,1373.0
43,B,452.0
44,C,563.0
45,B,5752.0
46,P,4543.0
47,C,7859.0
48,B,388.0
49,C,4638.0
50,B,4752.0
51,P,16052.0
52,C,4702.0
53,P,3241.0
54,C,3390.0
55,B,1404.0
56,P,15292.0
