,category,start,length
0,B,773,773.0
1,P,773,544.0
2,B,2120,684.0
3,P,2120,260.0
4,B,2927,547.0
5,P,2927,6525.0
6,C,10286,2689.0
7,P,13065,3023.0
8,C,16159,15890.0
9,B,32805,554.0
10,C,32805,10627.0
11,P,43696,8794.0
12,C,52673,3071.0
13,B,60525,4781.0
14,C,60525,1120.0
15,B,62296,651.0
16,C,62296,3095.0
17,B,65883,492.0
18,C,65883,1707.0
19,B,73643,6053.0
20,P,73643,7564.0
21,B,81611,300.0
22,C,81611,1569.0
23,B,91066,7842.0
24,C,91066,4012.0
25,P,95184,803.0
26,B,98971,2984.0
27,C,98971,8164.0
28,B,125342,18035.0
29,C,125342,5836.0
30,B,147695,16517.0
31,P,147695,2482.0
32,B,173247,23070.0
33,P,173247,1968.0
34,B,183170,7955.0
35,P,183170,1425.0
36,B,190227,5632.0
37,P,190227,671.0
38,B,218345,27447.0
39,P,218345,700.0
40,B,226302,7257.0
41,C,226302,6473.0
42,B,265874,33099.0
43,C,265874,3296.0
44,P,269232,1222.0
