,category,start,length
0,B,627,627.0
1,C,627,487.0
2,B,1637,523.0
3,C,1637,235.0
4,P,1897,549.0
5,B,2824,333.0
6,P,2824,79.0
7,C,2928,77.0
8,P,3027,3358.0
9,C,6521,6524.0
10,B,13773,593.0
11,P,13773,3802.0
12,B,21391,3816.0
13,C,21391,15120.0
14,B,37236,630.0
15,C,37236,6595.0
16,B,51624,7793.0
17,C,51624,1457.0
18,B,63694,10613.0
19,C,63694,2460.0
20,P,66435,1240.0
21,C,67815,1358.0
22,B,70369,1196.0
23,C,70369,1800.0
24,B,74551,2382.0
25,C,74551,4122.0
26,B,113321,34556.0
27,P,113321,1317.0
28,B,117607,2969.0
29,P,117607,2168.0
30,C,119847,1813.0
31,B,130079,8419.0
32,C,130079,2331.0
33,B,132808,398.0
34,C,132808,4267.0
35,B,137514,314.0
36,C,137514,2148.0
37,B,140255,593.0
38,P,140255,3915.0
39,B,149032,4862.0
40,P,149032,4715.0
41,B,163618,9871.0
42,C,163618,1455.0
43,B,166533,1336.0
44,C,166533,989.0
45,B,170100,2578.0
46,C,170100,5831.0
47,B,176316,385.0
48,C,176316,4532.0
49,B,207830,26982.0
50,P,207830,4589.0
51,C,212516,1348.0
52,B,214413,549.0
53,C,214413,7951.0
54,B,223080,415.0
55,C,223080,1813.0
56,B,238673,13780.0
57,C,238673,5178.0
58,B,249525,5586.0
59,C,249525,3855.0
60,B,263161,9589.0
61,C,263161,2482.0
