,category,start,length
0,B,3506,3506.0
1,P,3506,10793.0
2,B,15992,1120.0
3,P,15992,272.0
4,B,17610,1346.0
5,C2,17610,2135.0
6,B,22362,2617.0
7,P,22362,7067.0
8,C2,29508,6702.0
9,B,36910,700.0
10,C2,36910,1421.0
11,B,38890,559.0
12,P,38890,3229.0
13,B,49138,7019.0
14,C2,49138,6442.0
15,B,67393,11813.0
16,C1,67393,6797.0
17,B,77477,3287.0
18,C1,77477,6178.0
19,B,86078,2093.0
20,C1,86078,383.0
21,C2,86539,1022.0
22,B,93056,5495.0
23,P,93056,2054.0
24,B,109419,14309.0
25,P,109419,3932.0
26,B,117765,4414.0
27,C1,117765,2031.0
28,B,131409,11613.0
29,C2,131409,1855.0
30,B,134206,942.0
31,C1,134206,2359.0
32,B,138766,2201.0
33,C1,138766,3452.0
34,B,145410,3192.0
35,P,145410,2963.0
36,B,148730,357.0
37,P,148730,5537.0
38,B,154630,363.0
39,P,154630,5728.0
40,B,160947,589.0
41,C2,160947,1426.0
42,B,163087,714.0
43,C1,163087,437.0
44,B,166837,3313.0
45,C1,166837,3536.0
46,B,172574,2201.0
47,C1,172574,1390.0
48,B,184942,10978.0
49,C2,184942,3039.0
50,B,191027,3046.0
51,C1,191027,1052.0
52,C2,192193,3331.0
53,B,196063,539.0
54,C1,196063,4598.0
55,B,208718,8057.0
56,P,208718,4146.0
57,B,226402,13538.0
58,P,226402,2153.0
59,C2,228697,2367.0
60,B,231520,456.0
61,C2,231520,5474.0
62,B,237617,623.0
63,C1,237617,3260.0
64,B,241319,442.0
65,C1,241319,2820.0
66,B,244622,483.0
67,P,244622,2389.0
68,B,247465,454.0
69,C2,247465,1421.0
