,category,start,length
0,B,468,468.0
1,P,468,238.0
2,C,777,89.0
3,P,904,2235.0
4,C,3447,362.0
5,B,4404,556.0
6,P,4404,6732.0
7,C,11645,3867.0
8,B,16335,823.0
9,C,16335,10550.0
10,B,37740,10659.0
11,C,37740,1908.0
12,B,40728,1080.0
13,C,40728,3142.0
14,B,74222,30352.0
15,P,74222,2463.0
16,B,84268,7583.0
17,P,84268,3124.0
18,B,99181,11789.0
19,C,99181,381.0
20,P,99661,175.0
21,C,99900,2377.0
22,P,102581,1605.0
23,B,124180,19994.0
24,C,124180,323.0
25,P,124572,1735.0
26,C,126413,2272.0
27,P,128769,13546.0
28,B,205141,62645.0
29,C,205141,2467.0
30,B,242562,34954.0
31,C,242562,1533.0
32,B,260484,16389.0
33,C,260484,4096.0
