,category,start,length
0,B,468,468.0
1,P,468,238.0
2,C2,777,89.0
3,P,904,2235.0
4,C2,3447,362.0
5,B,4404,556.0
6,P,4404,6732.0
7,C1,11645,3867.0
8,B,16335,823.0
9,C1,16335,2484.0
10,C2,18895,925.0
11,C1,19940,7141.0
12,B,37740,10659.0
13,C1,37740,1908.0
14,B,40728,1080.0
15,C1,40728,3142.0
16,B,74222,30352.0
17,P,74222,2463.0
18,B,84268,7583.0
19,P,84268,3124.0
20,B,99181,11789.0
21,C2,99181,381.0
22,P,99661,175.0
23,C1,99900,2377.0
24,P,102581,1605.0
25,B,124180,19994.0
26,C2,124180,323.0
27,P,124572,1735.0
28,C1,126413,2272.0
29,P,128769,13546.0
30,B,205141,62645.0
31,C1,205141,2467.0
32,B,242562,34954.0
33,C2,242562,1533.0
34,B,260484,16389.0
35,C1,260484,4096.0
