,0,1
0,B,368.0
1,P,235.0
2,C2,176.0
3,P,145.0
4,C2,242.0
5,P,2237.0
6,B,329.0
7,C1,113.0
8,C2,579.0
9,P,119.0
10,C2,117.0
11,P,2690.0
12,B,520.0
13,C2,161.0
14,P,432.0
15,B,333.0
16,P,7443.0
17,B,491.0
18,C2,178.0
19,B,665.0
20,P,932.0
21,B,368.0
22,P,1430.0
23,C2,414.0
24,P,1830.0
25,B,355.0
26,C2,1194.0
27,P,3940.0
28,B,445.0
29,P,446.0
30,C2,427.0
31,B,605.0
32,C2,163.0
33,P,3615.0
34,C2,1806.0
35,P,987.0
36,C2,411.0
37,P,3214.0
38,C2,1876.0
39,P,4608.0
40,C2,227.0
41,B,609.0
42,P,484.0
43,B,487.0
44,C2,430.0
45,P,154.0
46,B,4341.0
47,P,2106.0
48,B,4196.0
49,P,1357.0
50,B,4618.0
51,P,2288.0
52,C2,14445.0
53,P,1320.0
54,C2,5587.0
55,P,1267.0
56,C2,14752.0
57,C1,122.0
58,C2,6401.0
59,C1,115.0
60,C2,10214.0
61,B,3406.0
62,C2,4164.0
63,C1,268.0
64,C2,15760.0
65,C1,140.0
66,C2,3636.0
67,B,1842.0
68,C2,6297.0
69,P,1442.0
70,C1,424.0
71,C2,3198.0
72,B,4171.0
73,C2,6779.0
74,B,4792.0
75,C2,2919.0
76,C1,1646.0
77,C2,6309.0
78,C1,285.0
79,B,1931.0
80,P,3459.0
81,C2,416.0
82,B,3245.0
83,C2,15488.0
84,B,2825.0
85,C2,944.0
86,B,1914.0
87,C2,645.0
88,B,4252.0
89,C1,309.0
90,C2,1137.0
91,B,2251.0
92,C1,134.0
93,C2,8900.0
94,C1,340.0
95,C2,1803.0
96,C1,224.0
97,C2,8198.0
98,P,724.0
99,C2,5683.0
