,category,start,length
0,P,211,2227.0
1,B,4786,2264.0
2,C,4786,352.0
3,B,19130,13992.0
4,C,19130,1391.0
5,B,26735,6214.0
6,P,26735,1053.0
7,B,41474,13686.0
8,C,41474,1888.0
9,B,50697,7335.0
10,C,50697,8598.0
11,B,66576,7211.0
12,P,66576,2242.0
13,B,70970,2152.0
14,P,70970,2669.0
15,B,78175,4536.0
16,C,78175,3712.0
17,B,90449,8528.0
18,C,90449,3750.0
19,B,105112,10913.0
20,C,105112,880.0
21,B,122518,16526.0
22,C,122518,651.0
23,P,123210,303.0
24,B,131818,8305.0
25,C,131818,1196.0
26,B,180645,47631.0
27,C,180645,3120.0
28,B,202197,18432.0
29,P,202197,1123.0
30,B,206018,2579.0
31,C,206018,1719.0
32,P,207826,303.0
33,C,208297,2216.0
34,B,212728,2215.0
35,C,212728,648.0
36,B,216242,2866.0
37,P,216242,2769.0
38,C,219045,1109.0
39,P,220179,221.0
40,C,220427,568.0
41,B,224572,3577.0
42,C,224572,4690.0
43,B,230867,1379.0
44,C,230867,2982.0
45,B,237564,3715.0
46,C,237564,632.0
47,P,238240,373.0
48,C,238664,1704.0
49,B,248951,8583.0
50,C,248951,373.0
51,B,257322,7998.0
52,P,257322,1604.0
53,B,263509,4583.0
54,C,263509,3001.0
