,category,start,length
0,P,100,48.0
1,C,164,143.0
2,P,334,227.0
3,C,631,57.0
4,P,770,120.0
5,C,907,74.0
6,P,1002,4000.0
7,C,5295,84.0
8,P,5394,1375.0
9,C,7085,585.0
10,P,7861,4389.0
11,C,12433,1947.0
12,P,14452,6491.0
13,C,21132,234.0
14,P,21392,2882.0
15,C,24355,208.0
16,B,25593,1030.0
17,P,25593,760.0
18,C,26427,441.0
19,P,27155,3979.0
20,C,31226,11032.0
21,P,42558,3872.0
22,B,70426,23996.0
23,C,70426,4384.0
24,B,95035,20225.0
25,P,95035,474.0
26,B,118611,23102.0
27,P,118611,736.0
28,B,134542,15195.0
29,P,134542,445.0
30,B,135620,633.0
31,C,135620,10689.0
32,B,146734,425.0
33,C,146734,27796.0
34,B,184375,9397.0
35,C,184375,9062.0
36,B,193762,325.0
37,C,193762,32559.0
38,B,231512,4592.0
39,P,231512,828.0
40,B,246509,14169.0
41,C,246509,13760.0
