,0,1
0,P,140.0
1,C,105.0
2,P,276.0
3,C,276.0
4,P,606.0
5,C,449.0
6,P,554.0
7,B,398.0
8,P,420.0
9,C,322.0
10,P,3252.0
11,C,5798.0
12,P,936.0
13,C,1098.0
14,P,1065.0
15,B,608.0
16,C,15246.0
17,P,675.0
18,B,3409.0
19,C,10911.0
20,P,1189.0
21,B,843.0
22,C,201.0
23,P,3593.0
24,B,17262.0
25,C,5041.0
26,B,11050.0
27,C,966.0
28,P,255.0
29,B,2051.0
30,C,647.0
31,P,3596.0
32,B,8768.0
33,C,247.0
34,B,416.0
35,C,217.0
36,B,1444.0
37,C,8329.0
38,B,41501.0
39,C,8250.0
40,B,10073.0
41,C,7262.0
42,B,1072.0
43,P,4799.0
44,B,389.0
45,C,5153.0
46,B,8454.0
47,C,4921.0
48,B,20870.0
49,C,1573.0
50,B,27185.0
51,C,2475.0
52,B,667.0
53,C,5192.0
54,B,3833.0
55,C,2072.0
