,0,1
0,B,327.0
1,C2,138.0
2,B,387.0
3,P,1012.0
4,C2,281.0
5,P,860.0
6,B,415.0
7,P,3942.0
8,C2,303.0
9,P,159.0
10,C1,73.0
11,P,401.0
12,C1,165.0
13,C2,127.0
14,P,1139.0
15,B,340.0
16,P,508.0
17,B,2378.0
18,P,6719.0
19,C2,7857.0
20,P,4672.0
21,C1,509.0
22,P,345.0
23,B,3856.0
24,C2,5834.0
25,C1,1004.0
26,B,5207.0
27,C1,4690.0
28,C2,30016.0
29,B,1029.0
30,C2,5762.0
31,B,351.0
32,P,3982.0
33,B,1120.0
34,C2,871.0
35,P,7971.0
36,C2,20146.0
37,B,622.0
38,C2,821.0
39,C1,15756.0
40,P,464.0
41,B,7231.0
42,C1,175.0
43,P,213.0
44,B,306.0
45,P,726.0
46,B,451.0
47,P,123.0
48,C2,9404.0
49,B,7563.0
50,C1,5204.0
51,B,4482.0
52,C1,124.0
53,P,114.0
54,C1,288.0
55,C2,205.0
56,C1,225.0
57,B,785.0
58,C2,611.0
59,P,2839.0
60,B,749.0
61,P,915.0
62,C2,653.0
63,P,9168.0
64,C2,950.0
65,B,6739.0
66,C2,934.0
67,B,928.0
68,C2,485.0
69,P,2199.0
70,B,2668.0
71,P,723.0
72,B,1328.0
73,C2,9956.0
74,B,378.0
75,C1,934.0
76,B,5345.0
77,C1,310.0
78,B,1195.0
79,C2,263.0
80,P,161.0
81,B,1037.0
82,C1,103.0
83,B,608.0
84,C2,21045.0
85,B,301.0
86,C1,8189.0
87,C2,2300.0
